farm_id,theta_deg,L_geo,L_energy
0,0.0,0.6107741671387238,0.4193363643843838
0,5.0,0.549138454437341,0.3713446701531171
0,10.0,0.41194630252220354,0.27320660553431797
0,15.0,0.3015612758616888,0.1956357196859667
0,20.0,0.24876192333862113,0.15835719779477964
0,25.0,0.24649998585457322,0.15769723700464233
0,30.0,0.24626619426983498,0.15815655749988122
0,35.0,0.23995018289391867,0.15317798523936887
0,40.0,0.22407689726152802,0.1417825838737713
0,45.0,0.21587128160837976,0.136144811129005
0,50.0,0.22326612189381012,0.14111583605628053
0,55.0,0.22400161167158472,0.14165615607619808
0,60.0,0.22047548519225546,0.139354754584753
0,65.0,0.22136845432856966,0.14006582972903803
0,70.0,0.22382789045686813,0.14179505866353492
0,75.0,0.22323700025940785,0.14142234004322052
0,80.0,0.22709532229425766,0.14415819760594473
0,85.0,0.23986719032028736,0.1533016209379543
0,90.0,0.2442686573647158,0.15660624674640578
0,95.0,0.23874402203976763,0.15228749862167867
0,100.0,0.2133445080913806,0.13507988867863518
0,105.0,0.2024546211145768,0.12779763054244697
0,110.0,0.2125072626371881,0.1346066196727419
0,115.0,0.2202506332862888,0.13989593619570773
0,120.0,0.2081645169923666,0.13166187005404761
0,125.0,0.19201984632708657,0.12074086192279598
0,130.0,0.20032305206959178,0.12634490186034464
0,135.0,0.20367676566972726,0.1285781111184784
0,140.0,0.19416555722413542,0.1221505412388626
0,145.0,0.18388837575184447,0.11517857205736948
0,150.0,0.17160002982883382,0.10683212516609464
0,155.0,0.16500127645928653,0.1024431306782636
0,160.0,0.170857225174313,0.10639361802441949
0,165.0,0.22791022130158956,0.14469288998884766
0,170.0,0.35520713747924404,0.23258193046959652
0,175.0,0.5410694070211357,0.3682555321694012
0,180.0,0.6120991671155205,0.42005556988422665
0,185.0,0.5516196999734201,0.37281818239470477
0,190.0,0.41525708775342596,0.2751720774127543
0,195.0,0.3037649865372868,0.1969264690335628
0,200.0,0.24576651804247363,0.1565082467739517
0,205.0,0.24282029095234314,0.15543629186385843
0,210.0,0.2453401232740996,0.1575810404571707
0,215.0,0.2407026252624337,0.15354581744868212
0,220.0,0.22754705589706703,0.1438062298864129
0,225.0,0.2207189170969508,0.13893472596102796
0,230.0,0.22482069256878534,0.14210866624258323
0,235.0,0.22522269656844607,0.14246107173070655
0,240.0,0.2210747271828829,0.13981912837230615
0,245.0,0.22165005781563074,0.14031757101021536
0,250.0,0.22371375921113934,0.14182108906151747
0,255.0,0.22457166057313982,0.14229404317050598
0,260.0,0.22824098102530543,0.14489063947592573
0,265.0,0.24118843608799578,0.15414621586910682
0,270.0,0.24415263411340593,0.15658834059857818
0,275.0,0.23915846251880457,0.1525410794082911
0,280.0,0.2139258588694546,0.13546571149164266
0,285.0,0.20301029063267495,0.1281707851458581
0,290.0,0.2113993366130521,0.13395921452064985
0,295.0,0.22008779372179665,0.13985114327190673
0,300.0,0.20740462588615038,0.1312473814808247
0,305.0,0.19283499199618526,0.12124074563360254
0,310.0,0.19978901162854135,0.12604492752167062
0,315.0,0.20244285449713129,0.12787229220936824
0,320.0,0.19338376986372918,0.12167960696963731
0,325.0,0.18335602615220203,0.11490286072260525
0,330.0,0.17033999054791615,0.1061713815864036
0,335.0,0.16276828907171825,0.10118816476430204
0,340.0,0.1748054156330664,0.10868574561037392
0,345.0,0.23538253429376566,0.14905873601995445
0,350.0,0.3603889610485206,0.2357567003882256
0,355.0,0.5421091886592629,0.3690888238548552
