farm_id,ws_bin_ms,weibull_weight,free_power_kw,bad_power_kw,good_power_kw,recovered_power_kw,weighted_recovered_power_kw,recovery_pct_of_free_at_ws
0,3.0,0.07206662710421705,33038.24768,2250.9420577271085,8215.265622761777,5964.323565034669,429.8286822902479,18.05278422392004
0,4.0,0.09485377726198858,384248.2368,69180.77577149044,276881.184971868,207700.40920037756,19701.1683515165,54.05370521153099
0,5.0,0.11115659118399035,937193.56608,216328.7405802954,729220.1686890774,512891.428108782,57011.26279606086,54.72630699483493
0,6.0,0.1192713689615581,1721461.58528,490631.2736739868,1389192.326650491,898561.0529765042,107172.60688404679,52.19756633897532
0,7.0,0.11886098610324408,2749677.38176,882163.3839082012,2253760.9908984927,1371597.6069902915,163029.44410371588,49.88212857583918
0,8.0,0.11089315614535736,4120565.77152,1420872.2668584017,3389000.301513621,1968128.0346552194,218251.92946107654,47.76353888726338
0,9.0,0.097315907363149,5875008.9036799995,2278920.8469412043,4918743.756146895,2639822.9092056905,256896.76168737948,44.93308780438023
0,10.0,0.08056217099535848,7901296.6067200005,3558604.4656978785,6825424.239132301,3266819.7734344224,263182.0931984422,41.345363122503386
0,11.0,0.06302610087745503,9280000.0,5811797.466244716,8877062.149039,3065264.682794284,193191.68111389273,33.03086942666255
0,12.0,0.046646675763538786,9280000.0,8331834.865068608,9279467.442053882,947632.5769852744,44203.909561598804,10.211557941651664
0,13.0,0.032681384216140565,9280000.0,9271487.22353764,9280000.0,8512.776462359354,278.2093183124839,0.09173250498232062
0,14.0,0.021681645742211226,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,15.0,0.013621795957117407,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,16.0,0.008103982021900887,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,17.0,0.004564660500234939,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,18.0,0.0024336261780781806,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,19.0,0.00122771911236851,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,20.0,0.000585854898683134,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,21.0,0.0002643381888510438,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,22.0,0.00011272803122184872,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,23.0,4.5417449873372024e-05,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,24.0,1.728002672940661e-05,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
0,25.0,6.205916732870647e-06,9280000.0,9280000.0,9280000.0,0.0,0.0,0.0
1,3.0,0.060561161515251975,20933.71728,1030.233473798059,4762.160065013073,3731.926591215014,226.0098090536362,17.827347820257817
1,4.0,0.0806977634096072,243467.63280000002,17009.66773198569,176370.18579500922,159360.51806302354,12860.037383482308,65.45449850162733
1,5.0,0.09636477333720148,593825.2336800001,58751.61020737137,463467.1574492927,404715.54724192136,39000.32197600921,68.153982735603
1,6.0,0.10607553062441018,1090753.67688,169955.18436205602,882343.5612945065,712388.3769324506,75566.97509377202,65.31157235886398
1,7.0,0.1092056847864453,1742252.47896,345415.09847276704,1432145.4600039674,1086730.3615312004,118677.133309236,62.37502168341873
1,8.0,0.10601878996268159,2610875.72592,596774.4592415334,2154501.706320227,1557727.2470786937,165148.35782718225,59.66301772290574
1,9.0,0.09754183390652438,3722527.19328,1037829.8369446778,3126078.5488282284,2088248.7118835505,203691.60901005878,56.097607981301245
1,10.0,0.08531608760416247,5006425.005120001,1745853.818451854,4334305.9003130095,2588452.0818611556,220836.60457524308,51.702603738475695
1,11.0,0.07108508140920322,5880000.0,3184017.419037856,5634619.229615007,2450601.8105771504,174201.22920641754,41.67690154042773
1,12.0,0.05649362597257836,5880000.0,5119177.913578356,5880000.0,760822.0864216443,42981.59838198106,12.939151129619802
1,13.0,0.04286024530512921,5880000.0,5877909.595670486,5880000.0,2090.404329514131,89.59524234987981,0.03555109403935597
1,14.0,0.031057366278075458,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,15.0,0.021500654943554926,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,16.0,0.014222238975401457,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,17.0,0.008989067027005953,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,18.0,0.005428193221065833,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,19.0,0.0031313085390260206,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,20.0,0.0017252076870317382,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,21.0,0.0009076143711080649,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,22.0,0.0004558202546255667,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,23.0,0.0002184727323936984,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,24.0,9.99044517195875e-05,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
1,25.0,4.3573685796259277e-05,5880000.0,5880000.0,5880000.0,0.0,0.0,0.0
2,3.0,0.04526987337561199,20364.09232,2142.14992849165,2507.995762934789,365.8458344431392,16.56179460023602,1.7965241401102585
2,4.0,0.060248459415974204,236842.6632,71240.47214182204,100499.82943006611,29259.357288244064,1762.8312001182614,12.353921752491113
2,5.0,0.0728546641298939,577666.72392,207799.20450868792,307421.6550945733,99622.45058588535,7257.960177231629,17.245661981333356
2,6.0,0.0822634405125453,1061073.30472,435022.5214004349,630621.6248101442,195599.1034097093,16090.655207651818,18.434080146924885
2,7.0,0.08798537958175183,1694844.2482399999,745596.9450134046,1054333.6797132161,308736.73469981155,27164.31879339353,18.216230489640402
2,8.0,0.08988670433517726,2539831.48848,1165568.4766597878,1611103.513273325,445535.03661353723,40047.67610704339,17.541913258197077
2,9.0,0.08817323681770749,3621233.93632,1793496.3747851262,2397866.9355617333,604370.5607766071,53289.30858100646,16.689630424450996
2,10.0,0.08333669237500473,4870195.753280001,2677006.4171526097,3450318.5743094105,773312.1571568009,64445.27735082762,15.878461489684211
2,11.0,0.07607161974784138,5720000.0,4048110.740676885,4865336.954877125,817226.2142002401,62167.72181460863,14.287171576927275
2,12.0,0.06717692969994368,5720000.0,5287201.770544663,5679440.089381345,392238.31883668154,26349.36597011585,6.857313266375551
2,13.0,0.0574577340060482,5720000.0,5715709.406186777,5720000.0,4290.593813222833,246.52779804815358,0.07501038135004953
2,14.0,0.04764153311933263,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,15.0,0.03831853280684934,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,16.0,0.029910336062533446,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,17.0,0.02266582977304203,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,18.0,0.01667888998034064,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,19.0,0.0119201978459914,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,20.0,0.008275069245401551,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,21.0,0.005580376357166547,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,22.0,0.0036557430528739825,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,23.0,0.0023265517164716555,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,24.0,0.001438366340495705,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
2,25.0,0.0008638397020011352,5720000.0,5720000.0,5720000.0,0.0,0.0,0.0
3,3.0,0.07304672099770072,15700.28796,223.18641047017948,3534.787653337461,3311.6012428672816,241.90161204336528,21.09261467881562
3,4.0,0.09450553576936845,182600.72460000002,26078.581730725913,122306.04655706079,96227.46482633488,9094.028119140836,52.69829297617961
3,5.0,0.10945086766042453,445368.92526000005,98308.57575859036,328283.85967954533,229975.28392095497,25170.994365601,51.63702963485803
3,6.0,0.1165967274402104,818065.25766,224749.7415827855,631014.166621173,406264.42503838753,47369.102434854656,49.66161577384051
3,7.0,0.11586004415268789,1306689.35922,405277.2219831976,1028541.6497818914,623264.4277986938,72211.44412355642,47.69797989100776
3,8.0,0.10824899911975183,1958156.7944399999,656063.7726079845,1550427.99878398,894364.2261759955,96814.03233206287,45.673779991237566
3,9.0,0.09555715585603407,2791895.39496,1058794.5816989974,2259057.8643347025,1200263.282635705,114693.74556709515,42.99098328692581
3,10.0,0.07994431561918662,3754818.7538400004,1672154.517770554,3155056.489179318,1482901.971408764,118549.58323461628,39.49330363528788
3,11.0,0.0635134558312107,4410000.0,2784355.5978394225,4155659.772751269,1371304.1749118464,87096.26714441838,31.095332764440965
3,12.0,0.047980914290121315,4410000.0,3972727.0744427834,4409941.147891505,437214.0734487213,20977.930984577903,9.91415132536783
3,13.0,0.034496038434549695,4410000.0,4407181.312237632,4410000.0,2818.687762367539,97.2335613856255,0.06391582227590792
3,14.0,0.02361598302745872,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,15.0,0.015400056312621962,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,16.0,0.009567392118567197,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,17.0,0.005662991934553616,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,18.0,0.003193516211013647,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,19.0,0.0017156382160593085,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,20.0,0.0008779260828564406,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,21.0,0.00042785120869589084,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,22.0,0.00019853884255443906,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,23.0,8.770467192468412e-05,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,24.0,3.687436473242627e-05,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
3,25.0,1.4751837715578419e-05,4410000.0,4410000.0,4410000.0,0.0,0.0,0.0
