farm_id,theta_deg,rose_probability,best_rotation_direction_contribution_kw
57,0.0,0.002281646436068267,52.3982340990963
57,5.0,0.001916583006297344,40.842475672394976
57,10.0,0.0021903805786255364,32.20624046245531
57,15.0,0.002281646436068267,9.079145655722048
57,20.0,0.0018253171488546134,-24.840189068303438
57,25.0,0.002281646436068267,-72.88492357283825
57,30.0,0.0020078488637400747,-92.90232033081335
57,35.0,0.0024641781509537283,-122.91608770350051
57,40.0,0.0018253171488546134,-89.94343565987764
57,45.0,0.003103039153052843,-108.31647654960776
57,50.0,0.004289495299808341,-66.41582913249333
57,55.0,0.00547595144656384,16.62464908784152
57,60.0,0.010860637035684951,190.8784726838627
57,65.0,0.017888108058775214,449.12794508975946
57,70.0,0.02947887195400201,876.1169525434458
57,75.0,0.055124577895409324,1645.6782235507114
57,80.0,0.05786255361869125,1594.5236645711013
57,85.0,0.06580268321620882,1654.7125697547876
57,90.0,0.053664324176325634,1096.5616414748424
57,95.0,0.03860545769827507,498.8936249442028
57,100.0,0.030391530528429314,224.3981947070172
57,105.0,0.02436798393720909,127.17950869462426
57,110.0,0.018253171488546136,-58.63431695494968
57,115.0,0.016062790909920598,-135.58990661706287
57,120.0,0.014146207903623255,-120.46643358279623
57,125.0,0.01095190289312768,-165.3712161473889
57,130.0,0.00930911745915853,-169.43212529136653
57,135.0,0.009035319886830337,-122.68763732933223
57,140.0,0.008396458884731221,-94.14095097605728
57,145.0,0.008305193027288492,-60.29390696458159
57,150.0,0.006023546591220224,-0.7078119400836776
57,155.0,0.0063886100209911475,34.61210551518257
57,160.0,0.00547595144656384,54.697519274250766
57,165.0,0.003924431870037419,46.92988418527756
57,170.0,0.004472027014693803,74.50493055620115
57,175.0,0.005019622159350187,96.82538469182781
57,180.0,0.004380761157251073,91.93736191261026
57,185.0,0.0059322807337774935,111.8520494465596
57,190.0,0.004837090444464726,64.45019057844051
57,195.0,0.005567217304006571,17.302799174987655
57,200.0,0.005019622159350187,-60.21562452216495
57,205.0,0.007575066167746646,-233.5187714516395
57,210.0,0.009674180888929452,-446.33469254626993
57,215.0,0.010860637035684951,-545.7772157640792
57,220.0,0.010860637035684951,-521.5159017459155
57,225.0,0.01597152505247787,-559.5933772924244
57,230.0,0.020534817924614403,-309.8664833089191
57,235.0,0.025006844939308204,96.99678876676955
57,240.0,0.0309391256730857,573.6213730764758
57,245.0,0.036962672264305926,996.7482387240588
57,250.0,0.04070457241945788,1276.0396546167524
57,255.0,0.04280368714064069,1345.3341578103089
57,260.0,0.037601533266405036,1063.1885454049768
57,265.0,0.03513735511545131,903.7450722352374
57,270.0,0.0285662133795747,610.26046038622
57,275.0,0.019530893492744363,270.878915316606
57,280.0,0.015241398192936023,110.36575811990193
57,285.0,0.009035319886830337,40.77431360494449
57,290.0,0.007940129597517569,-28.710307188480385
57,295.0,0.005110888016792918,-41.55434276959692
57,300.0,0.003833166012594688,-34.34542397567984
57,305.0,0.003011773295610112,-40.2271182407701
