farm_id,ws_bin_ms,weibull_weight,best_orientation_power_kw,mean_orientation_power_kw,weighted_recovered_power_kw,recovery_contribution_pct
57,3.0,0.1137686540615913,687.006775492037,602.2852569670711,9.638653132639552,0.07993238968632363
57,4.0,0.1564636862140106,12719.75356716863,10836.403648397394,294.67587072180487,2.4437176237756892
57,5.0,0.17870416060971836,36933.2337943431,31415.019915839566,986.1277792228719,8.177859379795487
57,6.0,0.1740918168606576,77006.5224891282,66782.5239643345,1779.9144787620185,14.760653357568614
57,7.0,0.14601250608480096,130062.87176780727,114118.2366025443,2328.11613908789,19.306835084087215
57,8.0,0.10559769617232898,200650.04232765888,177489.21214634005,2445.730308585813,20.28219766842028
57,9.0,0.06570089513096843,301495.8848584011,269930.57537180453,2073.869088355443,17.198389634699094
57,10.0,0.03501297586267265,437257.00976127945,397302.7315517913,1398.9181785593162,11.601089016185359
57,11.0,0.015892752604180122,623085.1766621568,583574.1996709636,627.9381824704875,5.207428756844113
57,12.0,0.0061059357949649895,772551.8858662479,754309.3740616987,111.38760581746867,0.92372631237019
57,13.0,0.0019723470566233203,799051.6143615091,797940.6920056526,2.1911244387106397,0.018170776567647193
57,14.0,0.000531970181490391,800000.0000000001,800000.0,6.192947988053679e-14,5.135750037647425e-16
57,15.0,0.00011896135743022291,800000.0000000001,800000.0,1.3848924710208424e-14,1.1484775221595608e-16
57,16.0,2.1900701872301066e-05,800000.0000000001,800000.0,2.5495772566996825e-15,2.1143390058077326e-17
57,17.0,3.295786013058993e-06,800000.0000000001,800000.0,3.8367998938297307e-16,3.1818199082557642e-18
57,18.0,4.0256265405754426e-07,800000.0000000001,800000.0,4.686446092761404e-17,3.886423032093999e-19
57,19.0,3.96299767116058e-08,800000.0000000001,800000.0,4.6135364928755214e-18,3.8259598276425656e-20
57,20.0,3.122450417276137e-09,800000.0000000001,800000.0,3.635010702158484e-19,3.014478142957304e-21
57,21.0,1.9554239323132192e-10,800000.0000000001,800000.0,2.276413063883338e-20,1.887806663497302e-22
