farm_id,max,mean,A,wake_pool,WCI,spacing_D,aspect_ratio,n_turb_x,pc1_share,axis_deg,ws_mean,ws_std,weibull_A,weibull_k,frac_below_rated,orient_sensitivity,gain_proxy_raw,wd_entropy_norm,exp_wake_loss,lat,lon,country,n_turb_y,n_turb,WCI_x_pool,log_n,WCI_density,ws_x_WCI,pool_density
0,29142879320.48794,28574085999.464138,1.9905914787072123,0.09428392222674602,0.2388,5.0,1.89,81,0.823,165.4,7.376149640677215,3.4339363577139,8.323017697121374,2.270821842662203,0.8496874766075305,0.3556026817006572,0.0551250458430346,0.060333848367418,0.0969243933230238,32.8436,121.4239,China,928,81,0.02251500062774695,1.9084850188786497,0.047760000000000004,1.7614245341937191,0.018856784445349203
2,20660217956.48373,20572556025.673588,0.4261110320989989,0.20386791197489992,0.13775,2.4,1.01,14,0.623,45.8,9.386910087338771,4.523475358771581,10.592506512297383,2.186564924117851,0.6612062121325539,0.3859148635985423,0.0598225488222915,0.0312500455544221,0.1007039203989588,51.6448,2.9165,Belgium,572,14,0.028082804874542466,1.146128035678238,0.05739583333333334,1.2930468645309159,0.08494496332287498
3,13540802940.263298,13087560808.184216,3.4631520626490664,0.11268000352394954,0.16525454545454546,4.1,1.48,3,1.0,55.9,7.43853135927003,3.5423680251429275,8.396005028554166,2.2126145509820314,0.840918055659522,0.3198836152765457,0.0509563224343774,0.0250658144687819,0.0853542976756154,32.6831,121.8054,China,443,3,0.01862088276416686,0.47712125471966244,0.0403059866962306,1.229251118625551,0.027482927688768182
4,10758053611.567602,10397719113.9248,3.465514827768671,0.14746162646880623,0.2095,5.4,1.16,5,0.995,40.6,7.414967550689298,3.1356961261486007,8.337864447231054,2.5044618646631838,0.882943302891933,0.3474065189084424,0.0534031523694128,0.042411016153263,0.0926401185166525,21.2977,111.564,China,364,5,0.030893210745214904,0.6989700043360189,0.038796296296296294,1.5534357018694078,0.027307708605334484
5,15384855814.309584,15364505014.481293,0.13245333845190577,0.053233921319529455,0.17545454545454545,8.4,1.43,8,0.768,65.0,9.784417531020008,4.60590687899081,11.03744327931951,2.2445677191783737,0.6240793169577136,0.3334047375442055,0.0642498684641992,0.0434875809537874,0.0978745667272159,53.9099,1.7927,United Kingdom,339,8,0.009340133467881076,0.9030899869919435,0.020887445887445885,1.7167205304426012,0.006337371585658268
6,7658506512.3627825,7412008187.116427,3.3256618047834743,0.12439852328302672,0.163,8.2,1.79,12,0.773,171.9,6.842877571356384,3.414470909240023,7.72180036041284,2.101698972405111,0.8752506113232028,0.4625506365934109,0.0411682598118799,0.0639927082400004,0.0649905304066226,36.4678,121.5419,China,293,12,0.020276959295133356,1.0791812460476249,0.01987804878048781,1.1153890441310907,0.015170551619881309
7,11922806434.804176,11895215322.931883,0.231951344496494,0.14249589962000522,0.13736363636363635,8.3,2.36,20,0.877,168.7,9.759743179805083,4.543880086919146,11.005667647054018,2.26861243142716,0.6279215067812642,0.4305578521854623,0.0673726981147619,0.0401701801951371,0.1009898517394818,54.0049,6.5218,Netherlands,284,20,0.019573754938711625,1.3010299956639813,0.01654983570646221,1.3406338131532254,0.01716818067710906
8,9431834241.138128,9258831264.03525,1.8685185221474614,0.12594382495170403,0.14175454545454547,2.4,2.55,23,0.896,79.0,7.7728695734632085,3.319678144421851,8.74075067377731,2.4731683674407328,0.8439831449459789,0.3197318061579557,0.0604943515452654,0.0284262183179215,0.0957227302316037,20.9951,111.5761,China,278,23,0.017853109658835648,1.3617278360175928,0.059064393939393944,1.101839593263744,0.05247659372987668
9,10071153163.099611,10018319526.609367,0.5273702475740969,0.16478906261592616,0.12488181818181818,3.4,1.63,189,0.731,95.6,9.308049631794601,4.67812664575024,10.493767140183165,2.0842547236138973,0.654876635204504,0.4405457783299688,0.0709590775877551,0.0241609018972311,0.1096729680728869,54.0305,-3.5107,United Kingdom,267,189,0.02057915775595434,2.2764618041732443,0.03672994652406417,1.162406161745113,0.04846737135762534
10,11032177717.026846,11008860738.922026,0.21180191718097272,0.06441019101619348,0.0951,3.1,1.53,60,0.705,83.5,9.628971669023331,4.558293101097933,10.855076937190471,2.227586647905842,0.6278780393197639,0.3595850378342011,0.0758747591578892,0.0507947997216795,0.1235126185350768,58.1844,-2.8564,United Kingdom,246,60,0.00612540916564,1.7781512503836436,0.03067741935483871,0.9157152057241188,0.02077748097296564
