method,CI_low,CI_high,p_value,mean,median,n_farms
经典配对t,0.6413915860139808,1.258849436503756,7.884950448883749e-09,0.9501205112588684,0.3438371088150263,171
Cluster bootstrap (17国),0.5884334226581857,1.690013187619321,0.0,0.9468350015882087,,171
Cluster bootstrap (3区域),0.8655119135941199,2.312216968908168,0.0,0.9832519067695615,,171
