lon,lat,A_pred_pct
102.0,5.0,15.42351831202893
103.0,5.0,15.42351831202893
104.0,5.0,15.42351831202893
105.0,5.0,15.42351831202893
106.0,5.0,15.42351831202893
107.0,5.0,15.42351831202893
108.0,5.0,15.42351831202893
101.0,6.0,15.42351831202893
102.0,6.0,15.42351831202893
103.0,6.0,15.42351831202893
104.0,6.0,15.42351831202893
105.0,6.0,15.42351831202893
106.0,6.0,15.42351831202893
107.0,6.0,15.42351831202893
108.0,6.0,15.389791072461337
109.0,6.0,15.474106822261128
110.0,6.0,15.474106822261128
100.0,7.0,15.42351831202893
101.0,7.0,15.42351831202893
102.0,7.0,15.42351831202893
103.0,7.0,15.42351831202893
104.0,7.0,15.42351831202893
105.0,7.0,15.42351831202893
106.0,7.0,15.42351831202893
107.0,7.0,15.42351831202893
108.0,7.0,15.488258390684125
109.0,7.0,15.474106822261128
110.0,7.0,15.429190433293922
111.0,7.0,15.429190433293922
100.0,8.0,15.42351831202893
101.0,8.0,15.42351831202893
102.0,8.0,15.42351831202893
103.0,8.0,15.42351831202893
104.0,8.0,15.252724220283328
105.0,8.0,15.252724220283328
106.0,8.0,15.42351831202893
107.0,8.0,15.488258390684125
108.0,8.0,15.474106822261128
109.0,8.0,15.429190433293922
110.0,8.0,15.474106822261128
111.0,8.0,15.474106822261128
112.0,8.0,15.474106822261128
100.0,9.0,15.42351831202893
101.0,9.0,15.42351831202893
102.0,9.0,15.42351831202893
103.0,9.0,15.42351831202893
104.0,9.0,15.42351831202893
105.0,9.0,15.42351831202893
106.0,9.0,15.488258390684125
107.0,9.0,15.429190433293922
108.0,9.0,15.474106822261128
109.0,9.0,15.474106822261128
110.0,9.0,15.474106822261128
111.0,9.0,15.474106822261128
112.0,9.0,15.474106822261128
100.0,10.0,15.42351831202893
101.0,10.0,15.42351831202893
102.0,10.0,15.42351831202893
103.0,10.0,15.42351831202893
104.0,10.0,15.488258390684125
105.0,10.0,15.488258390684125
106.0,10.0,15.474106822261128
107.0,10.0,15.507834061828722
108.0,10.0,15.507834061828722
109.0,10.0,15.507834061828722
110.0,10.0,15.507834061828722
111.0,10.0,15.507834061828722
112.0,10.0,15.507834061828722
101.0,11.0,15.42351831202893
102.0,11.0,15.42351831202893
103.0,11.0,15.488258390684125
104.0,11.0,15.488258390684125
105.0,11.0,15.507834061828722
106.0,11.0,15.507834061828722
107.0,11.0,15.507834061828722
108.0,11.0,15.507834061828722
109.0,11.0,15.507834061828722
110.0,11.0,15.507834061828722
111.0,11.0,15.507834061828722
112.0,11.0,15.507834061828722
102.0,12.0,15.488258390684125
103.0,12.0,15.488258390684125
104.0,12.0,15.488258390684125
105.0,12.0,15.507834061828722
106.0,12.0,15.507834061828722
107.0,12.0,15.507834061828722
108.0,12.0,15.507834061828722
109.0,12.0,15.507834061828722
110.0,12.0,15.507834061828722
111.0,12.0,15.507834061828722
112.0,12.0,15.507834061828722
103.0,13.0,15.488258390684125
104.0,13.0,15.507834061828722
105.0,13.0,15.507834061828722
106.0,13.0,15.507834061828722
107.0,13.0,15.507834061828722
108.0,13.0,15.507834061828722
109.0,13.0,15.507834061828722
110.0,13.0,15.507834061828722
111.0,13.0,15.507834061828722
104.0,14.0,15.507834061828722
105.0,14.0,15.507834061828722
106.0,14.0,15.507834061828722
107.0,14.0,15.507834061828722
108.0,14.0,15.507834061828722
109.0,14.0,15.507834061828722
107.0,16.0,3.225199301969363
108.0,16.0,4.268528869578136
109.0,16.0,4.3956438640661
110.0,16.0,4.496395495355827
111.0,16.0,4.537776778027398
106.0,17.0,3.3314795548879763
107.0,17.0,3.2098448447415446
108.0,17.0,4.28054899659207
109.0,17.0,4.268528869578136
110.0,17.0,4.3956438640661
111.0,17.0,4.537776778027398
112.0,17.0,4.5985533010312425
113.0,17.0,4.652334746228615
114.0,17.0,4.412103963107181
105.0,18.0,3.2714164877587004
106.0,18.0,3.2688203312601307
107.0,18.0,3.314236059432643
108.0,18.0,3.2300065604948567
109.0,18.0,4.275844875688455
110.0,18.0,4.2843037284323495
111.0,18.0,4.537776778027398
112.0,18.0,4.736110457520768
113.0,18.0,4.378086482641273
114.0,18.0,4.243640268669446
115.0,18.0,4.056053478583408
116.0,18.0,4.464478696127839
104.0,19.0,3.2155239747880158
105.0,19.0,3.2099876095430893
106.0,19.0,3.1874144968181635
107.0,19.0,3.236007186304385
108.0,19.0,3.338160242765387
109.0,19.0,3.6442444676546133
110.0,19.0,4.281531113564522
111.0,19.0,4.569388109698772
112.0,19.0,4.570198506820094
113.0,19.0,4.422844051392177
114.0,19.0,4.061474761525884
115.0,19.0,4.456910164047289
