farm_id,theta_deg,state,upstream_turbine_index,downstream_turbine_index,upstream_alongwind_D,upstream_crosswind_D,downstream_alongwind_D,downstream_crosswind_D,pair_velocity_deficit_pct
2,140.0,bad,3,1,19.581452127564194,-75.0293700393637,32.80314715071414,-73.98141237687736,6.466017364279954
2,140.0,bad,37,1,-3.8922475381107944,-75.29403446525222,32.80314715071414,-73.98141237687736,2.67864278135717
2,140.0,bad,17,2,19.27052725914691,-67.97471178863198,29.778912834570026,-68.63847388756248,12.397950568896613
2,140.0,bad,32,2,-7.570614294091765,-68.75745732267141,29.778912834570026,-68.63847388756248,2.605143254138132
2,140.0,bad,35,2,3.8851454254157147,-69.61917882254298,29.778912834570026,-68.63847388756248,4.533408070620515
2,140.0,bad,36,2,12.283623827896786,-69.80582110598297,29.778912834570026,-68.63847388756248,5.588596215102089
2,140.0,bad,23,3,3.507324243399246,-76.08480862910483,19.581452127564194,-75.0293700393637,6.626550111973762
2,140.0,bad,30,3,-10.423109376644433,-76.67391260283036,19.581452127564194,-75.0293700393637,3.2861155244035998
2,140.0,bad,37,3,-3.8922475381107944,-75.29403446525222,19.581452127564194,-75.0293700393637,5.212612864931799
2,140.0,bad,201,3,-22.995310159960347,-72.99430218947441,19.581452127564194,-75.0293700393637,2.1128819113694104
2,140.0,bad,475,4,-14.045409101081631,-89.36548534734877,3.5011109730947467,-89.46055744841998,7.697140546991502
2,140.0,bad,15,5,7.266273375536883,-82.75749178229863,19.868525857128407,-81.55352910192012,4.1480405648868155
2,140.0,bad,38,5,-1.1867771605633948,-81.98173831987705,19.868525857128407,-81.55352910192012,6.056076599409441
2,140.0,bad,471,5,-21.512219324174247,-83.1477610232276,19.868525857128407,-81.55352910192012,2.212392129276245
2,140.0,bad,4,6,3.5011109730947467,-89.46055744841998,11.228840135893691,-89.80719494230317,18.584748388606748
2,140.0,bad,475,6,-14.045409101081631,-89.36548534734877,11.228840135893691,-89.80719494230317,4.6940460260428365
2,140.0,bad,10,7,-4.654861662633671,-93.86944869535884,14.250637957305308,-95.19437287653528,4.3047818822514206
2,140.0,bad,13,7,2.169692650152463,-95.59038220385611,14.250637957305308,-95.19437287653528,11.979193438707714
2,140.0,bad,33,8,-10.14830198041058,-83.87095743498796,14.360660143486214,-84.28299591789025,4.904549321673869
2,140.0,bad,471,8,-21.512219324174247,-83.1477610232276,14.360660143486214,-84.28299591789025,2.775561777541055
2,140.0,bad,7,9,14.250637957305308,-95.19437287653528,20.365222999384812,-94.1881864199232,4.694487434466262
2,140.0,bad,10,9,-4.654861662633671,-93.86944869535884,20.365222999384812,-94.1881864199232,4.762429049632541
2,140.0,bad,13,9,2.169692650152463,-95.59038220385611,20.365222999384812,-94.1881864199232,3.4659620333036307
2,140.0,bad,39,9,-9.78282739227965,-92.28941918986044,20.365222999384812,-94.1881864199232,2.2160109951755014
2,140.0,bad,28,12,-4.524018297182863,-87.70270011249237,20.017858599776833,-87.5049609141452,4.895206736471178
2,140.0,bad,472,12,-17.736153135052852,-86.28939313834917,20.017858599776833,-87.5049609141452,2.5611981435588795
2,140.0,bad,475,12,-14.045409101081631,-89.36548534734877,20.017858599776833,-87.5049609141452,2.67316961274078
2,140.0,bad,33,15,-10.14830198041058,-83.87095743498796,7.266273375536883,-82.75749178229863,6.092010273551969
2,140.0,bad,38,15,-1.1867771605633948,-81.98173831987705,7.266273375536883,-82.75749178229863,10.749352606509484
2,140.0,bad,471,15,-21.512219324174247,-83.1477610232276,7.266273375536883,-82.75749178229863,3.8840163859202823
2,140.0,bad,209,16,-28.968682590279002,-54.67273114413513,11.701217959066597,-56.34380137173861,2.2749025534948384
2,140.0,bad,32,17,-7.570614294091765,-68.75745732267141,19.27052725914691,-67.97471178863198,4.303251656086123
2,140.0,bad,24,18,-11.334312718994926,-62.49554530813422,18.82318222456915,-61.53690766641546,3.6218434564597044
