farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err
0,11,China,0.0005529808202368667,-0.00381371803748742,6.9029894193202885,5.619143204886917,7.063271675081862,-1.5155504429261242,1.0103951363054917,0.8399541055358927,8.010744137737888e-05,0,0.0
1,9,China,0.0,0.0,7.001057526809438,5.818550636282184,7.396145463131566,-0.6244568082957925,0.9202833687344595,0.7577440785904277,0.0,0,0.0
2,11,Belgium,0.20654677345733152,0.14201604865633863,8.066709907480618,6.985254690235641,4.231527881083339,6.985254690235641,0.8118306041256014,0.6506099513621426,0.025604834663236313,0,0.0
3,6,China,-0.1541043158464903,-0.13260049804634785,7.167225698039473,5.7721432841548586,7.53298480430508,-2.0201256120337434,1.331130386315625,1.231535476847104,-0.02150125060086277,0,0.0
4,6,China,2.42676857989233,2.0081757262662707,5.23191826985256,4.757267450503041,5.710178554875131,0.4485378192384115,4.332616246563549,4.1082243706404284,0.46383916084390947,0,0.0
5,7,United Kingdom,0.1532015506378042,0.1838900825157904,4.299282839961976,4.004492254752861,3.5390192815181014,2.7835969976221984,0.5176327820122508,0.49013619402862846,0.03563421071388714,0,0.0
6,4,China,0.36644659919434397,0.25336319267606827,6.223827051662651,5.510633133516848,3.3404482008245724,5.510633133516848,1.7057669929027892,1.150183188806211,0.05887801768149235,0,0.0
7,11,Netherlands,-0.2843055964609171,-0.21598961134799177,4.241732418924619,3.788821397196905,3.1938661082948774,2.9527710540527625,0.7301614021315845,0.602740627096736,-0.06702582067470332,0,0.0
8,4,China,0.19029991806763827,0.12788069812474862,4.222129095344734,3.6890656396532644,4.638119731082284,1.3008682169479884,3.7432639262532277,3.367071588767135,0.04507202735166496,0,8.330535892262712e-15
9,11,United Kingdom,1.0896069597735314,1.083592799041184,5.492415866177103,4.890965477963355,4.8579253423731155,2.951710847452622,0.9318976244821289,0.7014955784456381,0.19838391453266496,0,0.0
10,11,United Kingdom,0.11534982841859844,0.11092455752450464,3.993934364400107,3.6159735660494197,3.670446751693523,1.9245976015856494,0.5947476443499605,0.4645024760461,0.028881252893579814,0,0.0
11,11,Germany,-0.21931955568335332,-0.22724463014874421,5.044237418742351,4.265196029125888,2.970387688802173,4.174115173359504,0.809930048111618,0.6627381673451785,-0.0434792293614988,0,0.0
12,4,China,2.596222722261514,2.5801068364535227,5.428631080741718,3.580691702150622,5.957656708925143,1.688129235202221,3.231380789775927,3.0118728928928533,0.4782462988637626,0,0.0
13,11,United Kingdom,0.20322536618680004,0.2063701061618962,5.277109612501667,3.8499578893898434,5.526134546167384,-0.29312024564650113,1.407781672552679,1.1433226580128208,0.0385107343052628,0,0.0
14,8,China,0.4580654859297189,0.4867271566074595,4.937602399005942,3.7340427435285433,3.594928890212073,-3.6155003721059145,1.5545819106369585,1.2081832156143513,0.09277083266606045,0,6.881616510063309e-15
15,11,Netherlands,0.3438371088150264,0.2537283474485113,6.681740084015339,5.257697554092575,4.337697428154137,5.247908382234169,0.9443506355537856,0.7123019642258713,0.05145921638550181,0,1.4455987187054842e-14
16,11,Netherlands,0.0,0.0,3.3415097731879366,3.01841159058023,2.731107766706008,2.0939971970502347,0.6200302778571012,0.5446852404355412,0.0,0,0.0
17,11,United Kingdom,0.38765748381977577,0.40779069736119694,7.269131828319105,6.079500987219646,4.179466450668665,6.079500987219646,0.786313051196439,0.5536067057442859,0.053329268608052836,0,0.0
18,11,Germany,0.01656882063913108,0.03376989808413474,4.195888065843989,3.6736079118706857,3.0599468597775443,3.0155279264227066,0.6481345735037742,0.5523820020897706,0.003948823319193649,0,0.0
19,7,China,0.7849117484981392,0.8083607831133122,7.785409553312912,6.379092480738308,8.284520434946192,-1.3356935259827476,1.3896361750987243,1.165922748711497,0.10081829904043224,0,0.0
20,11,Netherlands,-0.12933569337449688,-0.10901810596646697,3.6694919885563086,3.3775494895387426,3.087787337169555,2.1903212632567626,0.6800908492703179,0.562854596392785,-0.03524621222170362,0,0.0
21,4,China,0.7980763886564778,0.9351305291607147,7.143767484402443,5.721676075644305,4.939073699471081,-5.721676075644305,7.352157363496669,7.167199669047116,0.11171645639349007,0,0.0
22,11,Germany,1.4657409767266953,1.4832589909735931,8.870680123876904,7.913430781602907,4.203954928090549,7.913430781602907,1.0759212154637723,0.8034208420748655,0.16523434012476798,0,0.0
23,11,Netherlands,0.5315405221040288,0.48523277691211325,3.5147626592974923,3.1895237760603803,2.978196786866852,2.071287720895811,0.8551789154019039,0.7294738331239123,0.15123084362409542,0,0.0
24,11,China,-0.09115454917584719,-0.11020637264434342,7.736637530065871,6.294375722331187,7.80913579300516,-2.1016258782172756,1.3566149057844785,0.9979143452287116,-0.011782192046816891,0,1.2519499277824473e-14
25,11,Sweden,0.8088909735332227,0.6705855916634975,7.366189318995736,6.050947639075576,4.735264496943084,5.820347516616787,0.8326448591394743,0.6690262000469094,0.10981132014178292,0,0.0
