farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh,total_pct,S_pct,D_pct,I_pct,S_shapley,D_shapley,country,gain_pct
46,2014,105637007.712955,105719989.745824,111663236.347831,110245085.382716,-4.362181180181121,-4.283627239033449,1.3424755166944,-1.4210294578420721,-4.994141967954485,0.631960787773364,China,0.022474497856189
89,2014,70471331.361877,70466661.875174,70034423.048083,70541040.466885,-0.09891838803221015,-0.1055444679043432,-0.7188986060167708,0.7255246858889038,0.25721787504010873,-0.3561362630723189,China,0.0426323846513413
101,2014,92766876.32925,92761876.431049,95307914.137294,98631394.013545,-6.321779838183356,-6.327169583315275,-3.5826148381403433,3.5880045832722622,-4.533167291679144,-1.7886125465042122,China,0.0003446242899132
168,2014,53351716.019942,54178066.116265,57475387.100063,57200343.255334,-7.213689685170468,-5.664817112797873,0.515529518537322,-2.0644020909099177,-6.697018158252831,-0.5166715269176368,China,-0.8694293533343455
169,2014,75554325.516412,75178058.802596,79950017.630692,80555306.021311,-6.619052543606753,-7.117060713548352,-0.8011300299246447,1.2991381998662437,-6.4674916136152305,-0.15156092999152282,China,-0.177155736065255
165,2014,78461462.173789,78508898.726651,80100267.463638,78581699.580299,-0.15324390239336774,-0.0927854919230997,1.9354315370460735,-1.9958899475163416,-1.0907304656812706,0.9374865632879027,China,1.2511890371517973
34,2014,255260620.301478,255072163.150889,270529486.492116,269499615.502108,-5.578218521843627,-5.652047830244747,0.40345862545960187,-0.3296293170584813,-5.816862488773988,0.23864396693036122,China,0.1396338800052388
97,2014,129005202.914037,129816148.844928,126046588.355955,124208196.239686,3.718459849675603,4.3470747524647315,1.4250526914747967,-2.053667594263925,3.320240955332769,0.3982188943428342,China,2.9926754200315298
0,2014,280573534.223253,280616311.059708,273854544.80098,273260297.823292,2.6065310900428105,2.621777302260728,0.21179723145772944,-0.22704344367564677,2.5082555804229045,0.09827550961990605,China,0.0
45,2014,379294350.786749,379360594.737155,400267123.449486,397208295.673227,-4.722966437364573,-4.705501386733419,0.8064522368746727,-0.8239172875058267,-5.117460030486332,0.39449359312175936,China,0.0
131,2014,264169168.063525,264934791.859967,278288196.520485,281264939.711582,-6.47152420298571,-6.181700904508314,-1.1268321783794242,0.8370088799020283,-5.7631964645573,-0.70832773842841,China,-0.4169307520474357
88,2014,471277180.043407,470899499.665284,501696431.171799,510487026.874533,-8.319912037225004,-8.400051792366185,-1.8652708161944813,1.945410571335662,-7.4273465066983535,-0.8925655305266503,China,1.0245218847390585
109,2014,599479816.314829,599534848.45101,567660120.303606,572219694.899388,4.547295951182588,4.556475932673758,-0.7605885088527099,0.7514085273615402,4.932180196354528,-0.3848842451719398,China,0.5234072273880117
57,2014,406410729.090987,415052433.916294,374424371.726063,400792636.721938,1.3823681234043497,3.508715733526683,-6.488082894576262,4.361735284453929,5.689583375753648,-4.307215252349298,Vietnam,20.16829674212712
38,2014,1929061450.34258,1920740572.926584,1945822450.885819,1983730220.432895,-2.8339569006786327,-3.2653002057101226,-1.965088750301033,2.396432055332523,-2.067084178043861,-0.7668727226347716,China,-0.0965764864348909
24,2014,3574605595.91502,3570525822.17557,3455854786.560962,3465205893.316639,3.060469180806985,2.9463370442682777,-0.26159827999942104,0.37573041653812816,3.134202252537342,-0.07373307173035695,China,-0.2614225000056592
46,2015,114887646.194771,114922135.381286,115510205.594473,111526408.657924,2.92567360214574,2.9556935282712335,3.467559018308381,-3.4975789444338745,1.2069040560542963,1.7187695460914438,China,-0.0113509263405483
89,2015,62721237.525503,62730634.53608,66703181.803811,68995202.574771,-10.00293568301638,-9.987953500030626,-3.654297748873414,3.6393155658876597,-8.168295717086796,-1.8346399659295842,China,0.0601656407983515
101,2015,102826039.787425,102821608.437814,98350485.393557,100223255.171517,2.5312504704924965,2.5269409107543597,-1.8212991396261387,1.8256086993642755,3.4397452604364975,-0.9084947899440009,China,0.000537043948698
168,2015,57224039.967939,58498956.825767,56256965.116931,55602420.543431,2.8338080034484547,5.061747272577838,1.1438279678728078,-3.3717672370021914,3.3758636540767424,-0.5420556506282879,China,-0.7189545462463569
169,2015,68517778.131987,68699710.694706,77900501.034055,78901265.808835,-15.154443065631956,-14.888916996808582,-1.4605913998732043,1.1950653310498311,-14.291384331283666,-0.8630587343482887,China,0.8050176793332219
165,2015,78121774.536357,78432039.244847,79015558.611265,77249437.139979,1.1166379688060204,1.5137931925978267,2.2607288195483393,-2.657884043340146,0.18485117092775383,0.9317867978782663,China,1.7420260350288586
34,2015,278023720.727401,277860337.304574,275783047.991842,272574793.381893,1.9598785784363515,1.9011125773197772,1.153949958498199,-1.0951839573816247,1.353520598628965,0.6063579798073866,China,0.1888216698619594
97,2015,129296559.15784,129174022.136147,126334384.616607,126165752.655294,2.4214151737201575,2.3266431067052857,0.13042262099731153,-0.0356505539824398,2.308817829714066,0.11259734400609163,China,2.5491795455398107
0,2015,244765120.393954,244742650.316204,257968613.543377,266703903.193643,-8.963198173162139,-8.97237843451385,-3.5688457719001714,3.578026033251882,-7.1833654178879085,-1.7798327552742303,China,0.0
45,2015,415651751.608402,416314884.737985,407770660.388662,403073788.412379,3.026082086109687,3.185622645488289,1.130001728155357,-1.2895422875339588,2.54085150172131,0.4852305843883775,China,0.0
131,2015,240105266.167684,241108917.265447,270138965.063633,276805140.004298,-15.284909999010033,-14.866905382209136,-2.7763551574955643,2.358350540694668,-13.687730111861802,-1.5971798871482303,China,0.4991561793216318
88,2015,433027735.44551,430606786.228924,493223871.417085,501364772.642175,-15.781214828273782,-16.340289690786992,-1.8799953348749034,2.4390701973881135,-15.120754592092936,-0.6604602361808467,China,0.4052111750663149
109,2015,510826912.065209,511533685.947331,537594723.27014,561661365.510516,-9.951404721374168,-9.81304594163317,-4.711310557832121,4.572951778091124,-7.5265700525876085,-2.424834668786559,China,0.2413922379196303
57,2015,512174058.193994,520984836.150254,429315532.65696,426419943.442162,16.743158576639836,18.463428827602606,0.5653525727188008,-2.2856228236815705,17.32061741576182,-0.5774588391219845,Vietnam,21.64610341596342
38,2015,1695837575.207222,1694173625.887054,1853414499.470607,1948074945.561179,-14.873910924112819,-14.972030540312778,-5.581928804650109,5.680048420850068,-12.132006329887744,-2.741904594225075,China,-0.1825923025386899
24,2015,3015322424.445803,3023076637.286819,3219125088.263526,3376646581.728211,-11.982936032083428,-11.72577571058179,-5.224034822532666,4.966874501031027,-9.242338460066275,-2.740597572017152,China,0.8555001943851601
1,2016,68427220.040858,68422813.802932,66008914.862796,67721190.910267,1.0317957242299687,1.0253564184633814,-2.5023317423221223,2.5087710480887093,2.2797419425077363,-1.2479462182777676,China,0.0
46,2016,105376201.462951,105438114.109345,110078603.868516,109311007.515254,-3.734055695380547,-3.675301777954735,0.7284342599233565,-0.7871881773491686,-4.068895866629319,0.33484017124877224,China,0.0072296451947985
63,2016,59582547.789879,59645377.647621,61661049.45448,59944206.428319,-0.6069875355370944,-0.5015374329943675,2.88145285800053,-2.986902960543257,-1.994988913265996,1.3880013777289015,China,0.158648141082446
124,2016,87478307.860063,87471341.943558,91291789.86495,95375405.683993,-9.02749266316719,-9.035455684715519,-4.66814678854495,4.67610981009328,-6.697400779668879,-2.3300918834983104,China,-0.2808347063625953
71,2016,105338584.975481,105772849.047177,98820470.394275,110896426.344475,-5.276168623574791,-4.863913160111826,-11.463943580608046,11.05168811714508,0.6619308984607137,-5.938099522035506,Taiwan,1.898550899194136
101,2016,137918209.702348,137917156.345219,141033861.903473,147271909.732393,-6.7820631156915026,-6.782826870623706,-4.523005223445709,4.5237689783779125,-4.520942381434749,-2.261120734256753,China,0.0043130609516098
135,2016,61816200.237473,61650091.016755,59609478.475392,55955726.711342,9.48048165952844,9.211766953545416,5.910670261215916,-5.641955555232892,6.39078917592897,3.08969248359947,Japan,-1.8349711911276727
168,2016,58021758.121344,58395545.021785,58479250.264613,56574606.517139,2.494153316034464,3.138371817065195,3.2826370815767363,-3.926855582607467,1.1749440257614614,1.3192092902730028,China,-1.163817201577844
169,2016,76377774.665948,76344656.515227,80229256.207664,82303274.816728,-7.758147153011772,-7.801508131864386,-2.7154739950660947,2.7588349739187086,-6.4220906449050315,-1.3360565081067404,China,0.3616840189976649
165,2016,80615436.83511,80961442.444382,82356335.004711,80282073.789435,0.4135225941364704,0.8427277474617816,2.5730322835298605,-3.0022374368551716,-0.6583909709658042,1.0719135651022746,China,1.8344560818758529
