farm_id,n_years,country,G_mean,M_S_mean,M_S_std,M_S_rms,M_D_rms,R_std,R_rms
0,11,China,0.0005529808202368642,-1.5155504429261242,7.063271675081862,6.9029894193202885,1.010395136305492,7.828961502184542e-05,8.010744137737852e-05
1,9,China,0.0,-0.6244568082957925,7.396145463131566,7.001057526809439,0.9202833687344596,0.0,0.0
2,11,Belgium,0.20654677345733152,6.9852546902356405,4.231527881083339,8.066709907480618,0.8118306041256015,0.04881139372392655,0.025604834663236313
3,6,China,-0.15410431584649026,-2.0201256120337434,7.532984804305079,7.167225698039473,1.331130386315625,-0.020457271566301324,-0.021501250600862765
4,6,China,2.42676857989233,0.4485378192384115,5.710178554875131,5.231918269852561,4.332616246563548,0.4249899642490949,0.4638391608439094
5,7,United Kingdom,0.15320155063780416,2.7835969976221984,3.5390192815181014,4.299282839961976,0.5176327820122508,0.04328926701187304,0.035634210713887136
6,4,China,0.36644659919434397,5.510633133516849,3.340448200824573,6.223827051662652,1.7057669929027892,0.10969982983238251,0.05887801768149234
7,11,Netherlands,-0.284305596460917,2.9527710540527625,3.193866108294877,4.241732418924619,0.7301614021315845,-0.08901612867318989,-0.06702582067470331
8,4,China,0.1902999180676383,1.3008682169479884,4.638119731082284,4.222129095344734,3.7432639262532277,0.041029539792245225,0.04507202735166497
9,11,United Kingdom,1.0896069597735316,2.9517108474526212,4.857925342373116,5.492415866177103,0.931897624482129,0.22429471080369756,0.19838391453266502
10,11,United Kingdom,0.1153498284185984,1.9245976015856494,3.6704467516935226,3.9939343644001064,0.5947476443499604,0.0314266453709965,0.028881252893579807
11,11,Germany,-0.21931955568335326,4.174115173359502,2.970387688802173,5.044237418742352,0.8099300481116178,-0.07383533015240687,-0.04347922936149878
12,4,China,2.5962227222615137,1.6881292352022212,5.957656708925142,5.428631080741718,3.231380789775927,0.43577917444825626,0.47824629886376246
13,11,United Kingdom,0.20322536618680004,-0.29312024564650124,5.526134546167385,5.277109612501667,1.4077816725526793,0.03677531997981223,0.0385107343052628
14,8,China,0.4580654859297189,-3.6155003721059145,3.594928890212073,4.937602399005942,1.5545819106369585,0.12741990173349343,0.09277083266606045
15,11,Netherlands,0.3438371088150263,5.2479083822341694,4.337697428154137,6.681740084015339,0.9443506355537858,0.07926719521360039,0.0514592163855018
16,11,Netherlands,0.0,2.0939971970502347,2.731107766706008,3.341509773187936,0.6200302778571012,0.0,0.0
17,11,United Kingdom,0.38765748381977577,6.079500987219645,4.179466450668665,7.269131828319105,0.786313051196439,0.09275286412641384,0.053329268608052836
18,11,Germany,0.016568820639131045,3.0155279264227066,3.059946859777545,4.195888065843989,0.648134573503774,0.005414741300551729,0.00394882331919364
19,7,China,0.7849117484981392,-1.3356935259827478,8.284520434946192,7.785409553312914,1.3896361750987243,0.09474437955239798,0.10081829904043221
20,11,Netherlands,-0.12933569337449685,2.190321263256763,3.0877873371695554,3.669491988556309,0.6800908492703179,-0.041886204991388246,-0.035246212221703606
21,4,China,0.7980763886564778,-5.721676075644304,4.939073699471081,7.143767484402443,7.352157363496669,0.1615842235239257,0.11171645639349007
22,11,Germany,1.4657409767266953,7.913430781602907,4.203954928090548,8.870680123876904,1.0759212154637725,0.34865763353757945,0.16523434012476798
23,11,Netherlands,0.5315405221040288,2.071287720895811,2.978196786866852,3.5147626592974923,0.855178915401904,0.17847730024019823,0.15123084362409542
24,11,China,-0.09115454917584716,-2.101625878217275,7.809135793005158,7.736637530065869,1.3566149057844787,-0.011672808821879703,-0.011782192046816891
25,11,Sweden,0.8088909735332227,5.820347516616787,4.735264496943084,7.366189318995736,0.8326448591394745,0.1708227648224114,0.10981132014178292
26,11,United Kingdom,0.3756860810891478,6.0870149177801265,3.3122650386271015,6.8575124933646165,0.71585905754344,0.11342271125889904,0.05478460031281965
27,11,Denmark,0.04654960183440857,3.7022996515860487,3.129293760224053,4.754921318431787,0.7690385229190522,0.014875433692449406,0.009789773314221952
28,4,China,1.2569403029785533,3.779765869905053,2.4441624540523703,4.332098522384801,2.090851161311201,0.5142621763518921,0.2901458257432735
29,8,Sweden,0.0,6.040598177541591,3.825588682035129,7.021008760222399,0.8728285198653778,0.0,0.0
30,11,United Kingdom,0.13225799725690382,3.95653906459943,3.751260780574475,5.333562595024395,0.8602281756734779,0.035256945595941634,0.024797308534502894
31,11,Netherlands,-0.23577181989492077,4.391075903252875,3.904448041202433,5.756768100039085,0.8889526273311323,-0.060385441785085536,-0.04095558754456689
32,6,China,0.07593998692466201,2.2898333969090583,5.806814259541366,5.774303437611404,4.666515032899634,0.01307773652306556,0.013151367562366158
33,1,China,0.0175406585487598,3.881224475615725,,3.881224475615725,3.823463507150529,,0.004519362036120602
34,11,China,1.303691988176232,-1.4475276347748376,3.0051688662354206,3.2101982087448064,0.5223314592784044,0.43381654948707393,0.40610949960188847
35,4,China,1.1215998931594051,1.4596104910108851,5.081598957834929,4.636534132482022,0.627865667541153,0.22071790837214653,0.24190480671798528
36,8,United Kingdom,0.8431741565573316,4.6086469295194235,5.668271609613068,7.025152431176931,0.6498325564769967,0.1487533087030191,0.12002218668101894
37,4,China,0.20469149146382581,-7.576474501128143,2.9070495089935924,7.983806642326069,1.6185266630480053,0.07041211057141201,0.02563833276956583
38,11,China,-0.2589005601969235,-3.591702644878271,6.220776912267103,6.9340022596388,1.3497638569877894,-0.04161868587288234,-0.03733782460728675
39,5,Taiwan,1.3141990504194547,1.95475144220513,3.45810864566904,3.658943225168137,2.1851214237623418,0.3800340547615145,0.3591744855125661
40,4,United Kingdom,0.0,3.1308914215446793,5.272002059440694,5.5360622629773815,0.7079615959230339,0.0,0.0
41,4,China,1.1835380735306886,-6.211916051877576,5.374535394112127,7.762224169817391,4.227900093155839,0.2202121647253956,0.15247409088399616
42,3,Taiwan,0.11206089648398036,0.16634842339646871,3.7469366469475798,3.063880103527607,1.3531629014434248,0.029907336857502013,0.0365748308345874
43,11,Denmark,-0.06012801930126228,7.739593285836804,4.546124972110677,8.870722370668963,1.025805168985938,-0.013226213460943641,-0.006778255117088945
44,3,China,0.0,3.5095599274023166,2.8199000907867573,4.197408156474771,1.762378466744632,0.0,0.0
45,11,China,0.0,-1.2135536785669583,3.0635242747798213,3.1630199559633985,0.702443859015002,0.0,0.0
46,11,China,0.08284374378491645,0.0029668339787713187,3.187644801509588,3.03930151409009,1.1044097508128294,0.025989013501656062,0.027257494329159478
