scenario,spacing_D,med,p05,p95,dE,dE_corr,dE_non
S_A,9.44,9.616796727040564,0.4425454069553967,28.83199452629682,70284.39275594559,3899.6817096571494,66384.71104628844
S_B0,3.33,-11.696087621978963,-22.64538540820355,6.166465692274245,-52800.7811570544,-4084.9959793428507,-48715.78517771154
S_B45,3.33,-11.696577216289858,-22.645748029897128,6.166999814276853,-52801.6173310544,-4085.1208253428513,-48716.49650571155
S_C,5.0,0.9846522576374106,-7.182438182061464,20.29827652041217,21081.4454279456,656.6734576571491,20424.771970288453
S_D,4.0,-5.633152818459798,-14.352412309022329,13.243737074146654,-17757.878570054396,-1745.222190342851,-16012.656379711549
S_E,11.8,10.791007789020378,1.4576072106201725,29.81430534355237,75966.2134859456,4243.863469657148,71722.35001628846
