farm_A_display,farm_A_id,farm_A_lon,farm_A_lat,farm_B_display,farm_B_id,farm_B_lon,farm_B_lat,center_dist_km,region,nA,nB,paradigm_A,paradigm_B
farm_0028,28,120.0532,34.5028,farm_0029,29,120.3623,34.5055,26.4,East_Asia,55,100,A,A
farm_0023,23,121.5419,36.4678,farm_0024,24,121.2355,36.427,26.6,East_Asia,293,70,A,A
farm_0095,95,-1.8649,57.0045,farm_0163,163,-1.9953,57.2233,26.8,Europe,5,11,B,A
farm_0083,83,106.585,9.7455,farm_0085,85,106.456,9.5244,26.9,East_Asia,18,28,C,C
farm_0030,30,120.1958,34.4035,farm_0159,159,119.888,34.4617,27.1,East_Asia,25,3,A,E
farm_0121,121,-3.8162,54.1164,farm_0122,122,-3.5107,54.0305,27.8,Europe,60,267,B,A
farm_0086,86,105.8099,9.2189,farm_0162,162,106.1245,9.2966,28.2,East_Asia,82,7,A,A
farm_0041,41,121.569,30.625,farm_0044,44,121.6844,30.3864,28.3,East_Asia,118,40,A,A
farm_0133,133,-3.5741,53.4442,farm_0134,134,-3.2425,53.4864,28.7,Europe,215,57,A,E
farm_0081,81,106.8469,10.1591,farm_0082,82,106.6985,9.9279,28.7,East_Asia,75,35,C,C
farm_0048,48,122.0286,29.0656,farm_0050,50,121.8575,28.8353,29.5,East_Asia,41,40,A,A
farm_0061,61,119.9117,24.1616,farm_0062,62,120.158,23.9706,29.9,East_Asia,111,114,B,B
