farm_id,year,n_turb,layout_type,wake_model,country_x,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s,farm_id_int,spacing_D,aspect_ratio,n_turbines,axis_deviation_abs,paradigm,country_y,density_bin,aspect_bin,size_bin,dev_bin,AEP_GWh
124,2019,2,real,gauss,China,95452468.63408785,95983021.6704072,0.5911101599832043,0.0055275717213948,1.379576100000122,124,4.8,1.43,284,62.900000000000006,A,China,疏(>4.3D),中等,大(>70),中偏差,0.09545246863408785
130,2020,2,real,gauss,Vietnam,34480668.867593706,35449288.491810136,0.2323808388434675,0.0273240921165515,1.5382464000031175,130,3.8,1.23,73,44.7,A,Vietnam,中(2.9-4.3D),近方形,中(20-70),中偏差,0.034480668867593704
148,2016,2,real,gauss,Finland,68985144.96838948,71438470.3134856,0.4307802233569969,0.0343417955945928,1.494538000002649,148,5.5,1.14,140,32.5,E,Finland,疏(>4.3D),近方形,大(>70),中偏差,0.06898514496838948
155,2021,2,real,gauss,Italy,34608777.010929346,35613595.62308484,0.2764279313971992,0.0282144668230063,1.1599099000013666,155,5.4,1.54,71,26.5,E,Italy,疏(>4.3D),中等,中(20-70),小偏差,0.03460877701092935
5,2018,3,real,gauss,United Kingdom,149805028.2035293,150574717.58497065,0.6034442223707122,0.0051116774036585,1.4371780000001309,5,8.4,1.43,8,85.0,B,United Kingdom,疏(>4.3D),中等,小(<20),大偏差,0.1498050282035293
14,2017,3,real,gauss,China,88759663.74850412,89870530.76721373,0.3930723340352691,0.0123607483924516,1.2495911000005435,14,3.0,2.94,24,20.900000000000006,A,China,密(<2.9D),狭长,小(<20),小偏差,0.08875966374850412
21,2021,3,real,gauss,China,121095541.70455515,122705911.0074786,0.499445441328694,0.0131238119639184,1.3184318000021449,21,2.9,1.16,50,1.7000000000000028,A,China,密(<2.9D),近方形,中(20-70),小偏差,0.12109554170455515
39,2020,3,real,gauss,Taiwan,113442335.50147092,118065080.04165758,0.4978816567982046,0.0391542066337954,1.1218690999994578,39,5.3,1.73,55,64.6,E,Taiwan,疏(>4.3D),中等,中(20-70),大偏差,0.11344233550147093
66,2020,3,real,gauss,China,83013123.68736142,90757968.8420157,0.3482824572576523,0.0853351529730231,1.291785000001255,66,2.4,2.19,36,85.19999999999999,C,China,密(<2.9D),狭长,小(<20),大偏差,0.08301312368736143
71,2016,3,real,gauss,Taiwan,105338584.97548054,109283446.865144,0.5117001116073085,0.0360975243993853,1.2389073999984248,71,2.9,1.55,55,34.5,A,Taiwan,密(<2.9D),中等,中(20-70),中偏差,0.10533858497548054
71,2017,3,real,gauss,Taiwan,115664397.28869,119650905.39533325,0.5595761842703919,0.0333178265009495,1.2357455999990634,71,2.9,1.55,55,34.5,A,Taiwan,密(<2.9D),中等,中(20-70),中偏差,0.11566439728869
71,2018,3,real,gauss,Taiwan,105878412.45182964,109733107.79538392,0.5170349274920872,0.0351279155488974,1.223390900002414,71,2.9,1.55,55,34.5,A,Taiwan,密(<2.9D),中等,中(20-70),中偏差,0.10587841245182965
72,2018,3,real,gauss,China,95835810.6287062,98303949.77510148,0.3910548440392793,0.0251072225687968,1.2372876000008546,72,2.9,1.24,128,53.1,A,China,密(<2.9D),近方形,大(>70),中偏差,0.0958358106287062
95,2023,3,real,gauss,Sweden,146524592.75400567,147676955.41042107,0.5966470915954298,0.0078032666180906,1.227267700000084,95,5.0,1.53,5,84.6,B,Sweden,疏(>4.3D),中等,小(<20),大偏差,0.14652459275400567
101,2016,3,real,gauss,China,137918209.70234784,138629400.10448298,0.5803173007756789,0.0051301556639437,1.075859100001253,101,1.2,1.4,10,89.5,A,China,密(<2.9D),中等,小(<20),大偏差,0.13791820970234783
101,2017,3,real,gauss,China,150095598.1737657,150814637.44421753,0.6147176072972342,0.0047677021450772,1.1954998999972304,101,1.2,1.4,10,89.5,A,China,密(<2.9D),中等,小(<20),大偏差,0.1500955981737657
101,2018,3,real,gauss,China,140857886.93737,141600807.12466443,0.5902278941435994,0.0052465815865043,1.197213299998111,101,1.2,1.4,10,89.5,A,China,密(<2.9D),中等,小(<20),大偏差,0.14085788693737
101,2019,3,real,gauss,China,149392298.26481614,150169107.42827973,0.6128914800607842,0.0051728959222494,1.101740099999006,101,1.2,1.4,10,89.5,A,China,密(<2.9D),中等,小(<20),大偏差,0.14939229826481615
111,2020,3,real,gauss,China,88038140.1885492,89594731.09999202,0.3667339006437941,0.0173736880766524,1.2386742000016966,111,4.5,2.15,152,15.699999999999989,A,China,疏(>4.3D),狭长,大(>70),小偏差,0.0880381401885492
115,2020,3,real,gauss,Vietnam,64848168.25695918,66127134.73382943,0.288060448902626,0.0193410236511571,1.2201316999999108,115,2.2,1.48,27,17.400000000000006,A,Vietnam,密(<2.9D),中等,小(<20),小偏差,0.06484816825695917
135,2016,3,real,gauss,Japan,61816200.23747284,64018104.17428535,0.2912835747689795,0.03439501942791,1.2266552999972191,135,5.1,1.16,92,30.900000000000006,E,Japan,疏(>4.3D),近方形,大(>70),小偏差,0.06181620023747284
135,2017,3,real,gauss,Japan,63055195.72807929,65248817.61866193,0.304173640752915,0.0336193355012649,1.2614377999998396,135,5.1,1.16,92,30.900000000000006,E,Japan,疏(>4.3D),近方形,大(>70),小偏差,0.06305519572807929
135,2018,3,real,gauss,Japan,63499271.5991568,65511511.39711806,0.3005313625782422,0.0307158200909677,1.2841480999995838,135,5.1,1.16,92,30.900000000000006,E,Japan,疏(>4.3D),近方形,大(>70),小偏差,0.0634992715991568
135,2019,3,real,gauss,Japan,64182883.71222589,66404092.14004955,0.3053710329823289,0.0334498726846384,1.18322629999966,135,5.1,1.16,92,30.900000000000006,E,Japan,疏(>4.3D),近方形,大(>70),小偏差,0.06418288371222589
135,2020,3,real,gauss,Japan,60702367.33173433,63004904.21103071,0.2929085472482838,0.036545359573664,1.0844289000015124,135,5.1,1.16,92,30.900000000000006,E,Japan,疏(>4.3D),近方形,大(>70),小偏差,0.06070236733173433
135,2021,3,real,gauss,Japan,64534259.17548349,66469258.34317612,0.3098735195211922,0.0291111893817494,1.63055919999897,135,5.1,1.16,92,30.900000000000006,E,Japan,疏(>4.3D),近方形,大(>70),小偏差,0.06453425917548349
139,2017,3,real,gauss,South Korea,84166561.45973898,86768401.77227528,0.3838489600024581,0.0299860347706398,1.7597376000012446,139,3.9,1.04,89,77.4,C,South Korea,中(2.9-4.3D),近方形,大(>70),大偏差,0.08416656145973898
167,2023,3,real,gauss,France,117248184.57649514,118174708.37092148,0.5293610753374651,0.0078402883933354,1.4921131000010064,167,2.9,1.03,58,51.2,C,France,密(<2.9D),近方形,中(20-70),中偏差,0.11724818457649513
167,2024,3,real,gauss,France,122160011.35230494,123111440.5657908,0.5360011028577286,0.0077281949517714,2.03541419999965,167,2.9,1.03,58,51.2,C,France,密(<2.9D),近方形,中(20-70),中偏差,0.12216001135230493
168,2014,3,real,gauss,China,53351716.0199416,57618640.16335101,0.2405505929931088,0.0740545790617848,1.8778626999992407,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.0533517160199416
168,2015,3,real,gauss,China,57224039.96793927,62070522.62097527,0.2644119765638077,0.0780802617472766,1.6843360000020766,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.057224039967939275
168,2016,3,real,gauss,China,58021758.12134445,62024732.07036783,0.2638192066627765,0.0645383513222105,1.282555500001763,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.05802175812134445
168,2017,3,real,gauss,China,56118565.82521149,60678218.890799895,0.2518334492246072,0.0751448072955837,1.3239097999976366,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.056118565825211485
168,2018,3,real,gauss,China,58743351.22273716,62829802.01838408,0.2623759490050344,0.0650400075182669,1.341369499998109,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.05874335122273716
168,2019,3,real,gauss,China,57357240.12455443,61943968.02672794,0.2584008655428861,0.0740464010990448,1.4090631999970356,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.05735724012455443
168,2020,3,real,gauss,China,53460953.92757921,57390226.00875496,0.2434469668833297,0.0684658757150795,1.506503499997052,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.053460953927579206
168,2021,3,real,gauss,China,60607297.329537295,65226828.97487368,0.2752000060370398,0.0708225697606103,1.3726489000000583,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.0606072973295373
168,2022,3,real,gauss,China,57161807.64170437,61640637.98465172,0.257207557783047,0.0726603502069943,1.3100635000009788,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.05716180764170437
168,2023,3,real,gauss,China,60691057.01439111,64995399.57389166,0.2718767952980832,0.0662253419121926,1.2928207000004477,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.060691057014391106
168,2024,3,real,gauss,China,57735638.43439558,62155096.904294856,0.2601759201225523,0.0711037177965351,1.49337419999938,168,3.2,1.02,30,52.0,A,China,中(2.9-4.3D),近方形,小(<20),中偏差,0.05773563843439558
169,2014,3,real,gauss,China,75554325.51641193,79546531.29838295,0.3325600841428405,0.0501870504823907,1.333141400002205,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.07555432551641193
169,2015,3,real,gauss,China,68517778.13198683,73059541.90837198,0.3057873795331228,0.0621652375275119,1.2702860999997938,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.06851777813198683
169,2016,3,real,gauss,China,76377774.66594791,81007174.53622289,0.3279564372276521,0.0571480229594344,1.578813700001774,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.07637777466594792
169,2017,3,real,gauss,China,73199563.54789393,77624909.33316255,0.320166047972243,0.0570093520660389,1.4738064000011946,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.07319956354789392
169,2018,3,real,gauss,China,79800825.93870257,84521745.08246493,0.3425222162361686,0.0558544921091765,1.5521036999998614,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.07980082593870257
169,2019,3,real,gauss,China,68632406.3447128,72945868.01029627,0.3055625588562967,0.0591323646320122,1.4462144000026456,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.06863240634471279
169,2020,3,real,gauss,China,68136845.36453114,72168009.13030232,0.3027093401063181,0.0558580431184231,1.5003490999988571,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.06813684536453114
169,2021,3,real,gauss,China,87026422.82005052,91844800.34333014,0.3760052833011472,0.0524621699352361,1.4243386999987706,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.08702642282005052
169,2022,3,real,gauss,China,74156763.3862299,79085526.09900229,0.3276633235517405,0.0623219311533993,1.472021700003097,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.0741567633862299
169,2023,3,real,gauss,China,81735190.32741314,86080907.67086895,0.3580166023977799,0.0504841022363715,1.4084709999988263,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.08173519032741314
169,2024,3,real,gauss,China,81274509.71605958,85862651.40984425,0.3533520704145888,0.0534358259202165,1.6501906999983476,169,4.3,1.87,45,71.30000000000001,A,China,疏(>4.3D),中等,中(20-70),大偏差,0.08127450971605958
170,2020,3,real,gauss,Portugal,104830526.31366529,106733874.5912455,0.4692293376020109,0.0178326542053252,1.4881285999981628,170,5.6,1.19,4,49.5,E,Portugal,疏(>4.3D),近方形,小(<20),中偏差,0.10483052631366528
170,2021,3,real,gauss,Portugal,99201471.21555552,100991557.11452796,0.4451091273637345,0.017725104455439,1.5625204000025406,170,5.6,1.19,4,49.5,E,Portugal,疏(>4.3D),近方形,小(<20),中偏差,0.09920147121555552
170,2022,3,real,gauss,Portugal,95518494.3137932,97067488.56420696,0.4313126267217249,0.0159579100410037,1.5566853000018457,170,5.6,1.19,4,49.5,E,Portugal,疏(>4.3D),近方形,小(<20),中偏差,0.0955184943137932
170,2023,3,real,gauss,Portugal,99021554.35120831,101301255.28467505,0.464693577132706,0.0225041725994443,1.4463729999988573,170,5.6,1.19,4,49.5,E,Portugal,疏(>4.3D),近方形,小(<20),中偏差,0.09902155435120831
170,2024,3,real,gauss,Portugal,110029355.50097008,111825803.2040429,0.4787423552232958,0.0160646975170385,1.5192452000010237,170,5.6,1.19,4,49.5,E,Portugal,疏(>4.3D),近方形,小(<20),中偏差,0.11002935550097008
143,2021,4,real,gauss,Vietnam,93407703.73380138,95004590.51229422,0.3094199805677798,0.0168085223027848,1.4904238999988593,143,2.4,2.33,30,61.3,A,Vietnam,密(<2.9D),狭长,小(<20),中偏差,0.09340770373380138
147,2017,4,real,gauss,China,97208508.17439516,101718311.82930373,0.3180906681099318,0.0443362023396199,1.5651883999998972,147,4.4,2.27,102,51.5,B,China,疏(>4.3D),狭长,大(>70),中偏差,0.09720850817439516
165,2014,4,real,gauss,China,78461462.17378896,86619376.28924479,0.2670573933757282,0.0941811689824965,1.5119891999966055,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.07846146217378897
165,2015,4,real,gauss,China,78121774.53635727,86437313.86984882,0.2687922327840533,0.0962031206339023,1.5612849000026472,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.07812177453635727
165,2016,4,real,gauss,China,80615436.83510987,89574333.9040402,0.2682888606067288,0.1000163403785717,1.5334915999992518,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.08061543683510987
165,2017,4,real,gauss,China,76293320.97006178,85421470.9270898,0.2572609959875296,0.106860135490048,1.5458897999997134,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.07629332097006178
165,2018,4,real,gauss,China,86453577.92399198,95764338.77740584,0.287641661977615,0.0972257624527198,1.5690376000020478,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.08645357792399198
165,2019,4,real,gauss,China,79048139.0810248,87537562.71676691,0.2659404490681765,0.0969803518885961,1.5576317999984894,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.0790481390810248
165,2020,4,real,gauss,China,75427794.41335353,84317414.56609021,0.2508907477825756,0.1054304166996102,1.6019967000029285,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.07542779441335354
165,2021,4,real,gauss,China,89256022.2585229,97983786.12317827,0.2948078420482325,0.0890735519617854,1.6797297000011897,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.0892560222585229
165,2022,4,real,gauss,China,81491147.74989964,90665091.09588917,0.2736438809600391,0.1011849570226204,1.572462899999664,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.08149114774989964
165,2023,4,real,gauss,China,87788611.97713195,96240561.2777635,0.2927848585149811,0.0878210724087327,1.5601282000025094,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.08778861197713195
165,2024,4,real,gauss,China,85691776.80718413,94984096.51938148,0.2816584828003685,0.0978302689893065,1.592578200001299,165,4.8,1.21,51,32.0,B,China,疏(>4.3D),近方形,中(20-70),中偏差,0.08569177680718414
166,2022,4,real,gauss,Japan,116771859.98554572,121376966.35435344,0.3933831693354862,0.0379405294688562,1.4719096000007994,166,1.9,679.07,10,0.09999999999999432,A,Japan,密(<2.9D),狭长,小(<20),小偏差,0.11677185998554572
166,2023,4,real,gauss,Japan,111028058.08423468,115638775.55175738,0.373078152164767,0.0398717250811692,1.5717102000016894,166,1.9,679.07,10,0.09999999999999432,A,Japan,密(<2.9D),狭长,小(<20),小偏差,0.11102805808423469
166,2024,4,real,gauss,Japan,104634323.42123128,109237465.1307547,0.3633640902251398,0.042138855053196,1.5747774000010395,166,1.9,679.07,10,0.09999999999999432,A,Japan,密(<2.9D),狭长,小(<20),小偏差,0.10463432342123129
34,2014,5,real,gauss,China,255260620.301478,257551594.49461088,0.6327729804201239,0.0088952048525595,1.728956200000539,34,3.8,1.27,928,61.900000000000006,A,China,中(2.9-4.3D),近方形,大(>70),中偏差,0.255260620301478
34,2015,5,real,gauss,China,278023720.72740114,280154340.3582148,0.6806799381255996,0.0076051637397063,1.567742899998848,34,3.8,1.27,928,61.900000000000006,A,China,中(2.9-4.3D),近方形,大(>70),中偏差,0.2780237207274011
40,2021,5,real,gauss,United Kingdom,226073423.3984897,229442342.7432749,0.5732084771766981,0.014683075950609,1.6917846000033023,40,3.3,1.12,32,13.900000000000006,C,United Kingdom,中(2.9-4.3D),近方形,小(<20),小偏差,0.2260734233984897
97,2014,5,real,gauss,China,129005202.91403694,139775707.80570084,0.3298100547463555,0.0770556276247639,1.7384346999970148,97,3.2,132.67,21,60.400000000000006,C,China,中(2.9-4.3D),狭长,小(<20),中偏差,0.12900520291403694
97,2015,5,real,gauss,China,129296559.15784016,139737652.0256232,0.3226767136457203,0.0747192522303759,1.8319732999989355,97,3.2,132.67,21,60.400000000000006,C,China,中(2.9-4.3D),狭长,小(<20),中偏差,0.12929655915784016
