farm_id,year,n_turb,stage,sx_D,sy_D,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
162,2024,5,coarse,2.0,3.0,190384058.29714602,202279728.7906744,0.4682342801208707,0.05880802077720003,0.7935689999994793
162,2024,5,coarse,2.0,4.0,193764545.32815945,202279728.7906744,0.4765483161046715,0.04209607909513624,0.7919509999992442
162,2024,5,coarse,2.0,5.0,195852683.84192696,202279728.7906744,0.48168392484487693,0.03177305500245326,0.7401124000007258
162,2024,5,coarse,2.0,6.0,197123179.0137648,202279728.7906744,0.48480860554295324,0.02549217268451924,0.733899199998632
162,2024,5,coarse,2.0,7.0,197923411.13846636,202279728.7906744,0.4867767120965725,0.021536105858220172,0.8408050999987609
162,2024,5,coarse,2.0,8.0,198474009.76389995,202279728.7906744,0.488130865135022,0.018814139456913737,1.0308538000008411
162,2024,5,coarse,2.0,9.0,198846976.99077758,202279728.7906744,0.48904814803437674,0.01697032035992657,0.8498780000008992
162,2024,5,coarse,2.0,10.0,199132997.88445207,202279728.7906744,0.48975159341970503,0.015556333425178025,0.9799798999993072
162,2024,5,coarse,2.0,11.0,199352887.11780524,202279728.7906744,0.4902923933049809,0.014469278213725194,0.9826819999998406
162,2024,5,coarse,2.0,12.0,199535472.29393303,202279728.7906744,0.4907414468616159,0.013566641171351382,0.9901747999992949
162,2024,5,coarse,3.0,3.0,190384058.29714602,202279728.7906744,0.4682342801208707,0.05880802077720003,0.962248300000283
162,2024,5,coarse,3.0,4.0,193764545.32815945,202279728.7906744,0.4765483161046715,0.04209607909513624,0.8608294000005117
162,2024,5,coarse,3.0,5.0,195852683.84192696,202279728.7906744,0.48168392484487693,0.03177305500245326,0.8434335999991163
162,2024,5,coarse,3.0,6.0,197123179.0137648,202279728.7906744,0.48480860554295324,0.02549217268451924,0.8964030999995884
162,2024,5,coarse,3.0,7.0,197923411.13846636,202279728.7906744,0.4867767120965725,0.021536105858220172,0.7941358999996737
162,2024,5,coarse,3.0,8.0,198474009.76389995,202279728.7906744,0.488130865135022,0.018814139456913737,0.817347800000789
162,2024,5,coarse,3.0,9.0,198846976.99077758,202279728.7906744,0.48904814803437674,0.01697032035992657,0.8055079999994632
162,2024,5,coarse,3.0,10.0,199132997.88445207,202279728.7906744,0.48975159341970503,0.015556333425178025,0.8034423999997671
162,2024,5,coarse,3.0,11.0,199352887.11780524,202279728.7906744,0.4902923933049809,0.014469278213725194,0.8153657000002568
162,2024,5,coarse,3.0,12.0,199535472.29393303,202279728.7906744,0.4907414468616159,0.013566641171351382,0.7925837999991927
162,2024,5,coarse,4.0,3.0,190384058.29714602,202279728.7906744,0.4682342801208707,0.05880802077720003,0.7880172000004677
162,2024,5,coarse,4.0,4.0,193764545.32815945,202279728.7906744,0.4765483161046715,0.04209607909513624,0.8215856999995594
162,2024,5,coarse,4.0,5.0,195852683.84192696,202279728.7906744,0.48168392484487693,0.03177305500245326,0.7882981000002474
