,0
mean,3.805847953216374
median,3.6
std,1.4856849322525476
min,1.1
max,8.4
P5,1.7
P25,2.8499999999999996
P75,4.55
P95,6.4
pct_below_3D,30.994152046783626
pct_below_4D,57.89473684210527
pct_below_5D,80.11695906432749
n_total,171.0
