config_hash,ws_bin_m_s,wd_sector_deg,wake_efficiency,p_noWake_kW,n_turbines
000999d0e861,10.0,60,0.69116016,156919.07,20
000999d0e861,11.0,60,0.76987999,184300.00,20
000999d0e861,12.0,60,0.92886879,184300.00,20
000999d0e861,13.0,60,1.00000000,184300.00,20
000999d0e861,14.0,60,1.00000000,184300.00,20
000999d0e861,16.0,60,1.00000000,184300.00,20
000999d0e861,18.0,60,1.00000000,184300.00,20
000999d0e861,20.0,60,1.00000000,184300.00,20
000999d0e861,22.0,60,1.00000000,184300.00,20
000999d0e861,25.0,60,1.00000000,184300.00,20
000999d0e861,30.0,60,1.00000000,0.00,20
000999d0e861,0.0,70,1.00000000,0.00,20
000999d0e861,3.0,70,0.35370672,656.14,20
000999d0e861,4.0,70,0.64005510,7631.14,20
000999d0e861,5.0,70,0.67458856,18612.58,20
000999d0e861,6.0,70,0.70405347,34188.08,20
000999d0e861,7.0,70,0.72022496,54608.36,20
000999d0e861,8.0,70,0.72493903,81834.08,20
000999d0e861,9.0,70,0.72922501,116677.17,20
000999d0e861,10.0,70,0.74228916,156919.07,20
000999d0e861,11.0,70,0.81174185,184300.00,20
000999d0e861,12.0,70,0.93391183,184300.00,20
000999d0e861,13.0,70,0.99534672,184300.00,20
000999d0e861,14.0,70,1.00000000,184300.00,20
000999d0e861,16.0,70,1.00000000,184300.00,20
000999d0e861,18.0,70,1.00000000,184300.00,20
000999d0e861,20.0,70,1.00000000,184300.00,20
000999d0e861,22.0,70,1.00000000,184300.00,20
000999d0e861,25.0,70,1.00000000,184300.00,20
000999d0e861,30.0,70,1.00000000,0.00,20
000999d0e861,0.0,80,1.00000000,0.00,20
000999d0e861,3.0,80,0.47902040,656.14,20
000999d0e861,4.0,80,0.78981482,7631.14,20
000999d0e861,5.0,80,0.83096940,18612.58,20
000999d0e861,6.0,80,0.84901418,34188.08,20
000999d0e861,7.0,80,0.85927816,54608.36,20
000999d0e861,8.0,80,0.86106665,81834.08,20
000999d0e861,9.0,80,0.86624105,116677.17,20
000999d0e861,10.0,80,0.88003197,156919.07,20
000999d0e861,11.0,80,0.93800941,184300.00,20
000999d0e861,12.0,80,0.99820664,184300.00,20
000999d0e861,13.0,80,1.00000000,184300.00,20
000999d0e861,14.0,80,1.00000000,184300.00,20
000999d0e861,16.0,80,1.00000000,184300.00,20
000999d0e861,18.0,80,1.00000000,184300.00,20
000999d0e861,20.0,80,1.00000000,184300.00,20
000999d0e861,22.0,80,1.00000000,184300.00,20
000999d0e861,25.0,80,1.00000000,184300.00,20
000999d0e861,30.0,80,1.00000000,0.00,20
000999d0e861,0.0,90,1.00000000,0.00,20
000999d0e861,3.0,90,0.51531159,656.14,20
000999d0e861,4.0,90,0.70899978,7631.14,20
000999d0e861,5.0,90,0.74248540,18612.58,20
000999d0e861,6.0,90,0.76711128,34188.08,20
000999d0e861,7.0,90,0.77891543,54608.36,20
000999d0e861,8.0,90,0.78344286,81834.08,20
000999d0e861,9.0,90,0.78796769,116677.17,20
000999d0e861,10.0,90,0.80083633,156919.07,20
000999d0e861,11.0,90,0.85203272,184300.00,20
000999d0e861,12.0,90,0.93686059,184300.00,20
000999d0e861,13.0,90,0.99562667,184300.00,20
000999d0e861,14.0,90,1.00000000,184300.00,20
000999d0e861,16.0,90,1.00000000,184300.00,20
000999d0e861,18.0,90,1.00000000,184300.00,20
000999d0e861,20.0,90,1.00000000,184300.00,20
000999d0e861,22.0,90,1.00000000,184300.00,20
000999d0e861,25.0,90,1.00000000,184300.00,20
000999d0e861,30.0,90,1.00000000,0.00,20
000999d0e861,0.0,100,1.00000000,0.00,20
000999d0e861,3.0,100,0.47450333,656.14,20
000999d0e861,4.0,100,0.69726262,7631.14,20
000999d0e861,5.0,100,0.74793676,18612.58,20
000999d0e861,6.0,100,0.77274849,34188.08,20
000999d0e861,7.0,100,0.78567218,54608.36,20
000999d0e861,8.0,100,0.78925292,81834.08,20
000999d0e861,9.0,100,0.79559940,116677.17,20
000999d0e861,10.0,100,0.81197494,156919.07,20
000999d0e861,11.0,100,0.87696443,184300.00,20
000999d0e861,12.0,100,0.97343669,184300.00,20
000999d0e861,13.0,100,0.99975642,184300.00,20
000999d0e861,14.0,100,1.00000000,184300.00,20
000999d0e861,16.0,100,1.00000000,184300.00,20
000999d0e861,18.0,100,1.00000000,184300.00,20
000999d0e861,20.0,100,1.00000000,184300.00,20
000999d0e861,22.0,100,1.00000000,184300.00,20
000999d0e861,25.0,100,1.00000000,184300.00,20
000999d0e861,30.0,100,1.00000000,0.00,20
000999d0e861,0.0,110,1.00000000,0.00,20
000999d0e861,3.0,110,0.59956589,656.14,20
000999d0e861,4.0,110,0.76923086,7631.14,20
000999d0e861,5.0,110,0.79300889,18612.58,20
000999d0e861,6.0,110,0.81396806,34188.08,20
000999d0e861,7.0,110,0.82354487,54608.36,20
000999d0e861,8.0,110,0.82677616,81834.08,20
000999d0e861,9.0,110,0.83173504,116677.17,20
000999d0e861,10.0,110,0.84229423,156919.07,20
000999d0e861,11.0,110,0.88844487,184300.00,20
000999d0e861,12.0,110,0.95657392,184300.00,20
000999d0e861,13.0,110,0.99815509,184300.00,20
000999d0e861,14.0,110,1.00000000,184300.00,20
000999d0e861,16.0,110,1.00000000,184300.00,20
000999d0e861,18.0,110,1.00000000,184300.00,20
000999d0e861,20.0,110,1.00000000,184300.00,20
000999d0e861,22.0,110,1.00000000,184300.00,20
000999d0e861,25.0,110,1.00000000,184300.00,20
000999d0e861,30.0,110,1.00000000,0.00,20
000999d0e861,0.0,120,1.00000000,0.00,20
000999d0e861,3.0,120,0.62336487,656.14,20
000999d0e861,4.0,120,0.87491983,7631.14,20
000999d0e861,5.0,120,0.89975536,18612.58,20
000999d0e861,6.0,120,0.91099678,34188.08,20
000999d0e861,7.0,120,0.91648053,54608.36,20
000999d0e861,8.0,120,0.91700161,81834.08,20
000999d0e861,9.0,120,0.92091413,116677.17,20
000999d0e861,10.0,120,0.92996752,156919.07,20
000999d0e861,11.0,120,0.97074217,184300.00,20
000999d0e861,12.0,120,0.99960769,184300.00,20
000999d0e861,13.0,120,1.00000000,184300.00,20
000999d0e861,14.0,120,1.00000000,184300.00,20
000999d0e861,16.0,120,1.00000000,184300.00,20
000999d0e861,18.0,120,1.00000000,184300.00,20
000999d0e861,20.0,120,1.00000000,184300.00,20
000999d0e861,22.0,120,1.00000000,184300.00,20
000999d0e861,25.0,120,1.00000000,184300.00,20
000999d0e861,30.0,120,1.00000000,0.00,20
000999d0e861,0.0,130,1.00000000,0.00,20
000999d0e861,3.0,130,0.60365551,656.14,20
000999d0e861,4.0,130,0.76239108,7631.14,20
000999d0e861,5.0,130,0.81109843,18612.58,20
000999d0e861,6.0,130,0.82904923,34188.08,20
000999d0e861,7.0,130,0.83833960,54608.36,20
000999d0e861,8.0,130,0.84206007,81834.08,20
000999d0e861,9.0,130,0.84635054,116677.17,20
000999d0e861,10.0,130,0.85597392,156919.07,20
000999d0e861,11.0,130,0.90382469,184300.00,20
000999d0e861,12.0,130,0.97524299,184300.00,20
000999d0e861,13.0,130,1.00000000,184300.00,20
000999d0e861,14.0,130,1.00000000,184300.00,20
000999d0e861,16.0,130,1.00000000,184300.00,20
000999d0e861,18.0,130,1.00000000,184300.00,20
000999d0e861,20.0,130,1.00000000,184300.00,20
000999d0e861,22.0,130,1.00000000,184300.00,20
000999d0e861,25.0,130,1.00000000,184300.00,20
000999d0e861,30.0,130,1.00000000,0.00,20
000999d0e861,0.0,140,1.00000000,0.00,20
000999d0e861,3.0,140,0.62347180,656.14,20
000999d0e861,4.0,140,0.83775064,7631.14,20
