farm_id,year,country,region,S_pct,D_pct,I_pct,total_pct,S_shapley,D_shapley,gain_pct,n_hours
0,2018,China,Europe,1.5890780909141318,0.10591911077951788,0.0002824334617490896,1.6952796351553987,1.5892193076450063,0.10606032751039242,0.0,26279
0,2019,China,Europe,2.709770600467913,-0.4585396053287276,0.2923703673592013,2.5436013624983866,2.8559557841475134,-0.31235442164912697,0.0,26280
0,2020,China,Europe,4.13874892812645,1.0981478238156575,0.2527577210649736,5.489654473007081,4.265127788658938,1.2245266843481442,0.04287773305904685,26351
0,2021,China,Europe,0.8708505916850845,-1.0281802152333364,0.0030005015195767024,-0.15432912202867502,0.8723508424448728,-1.0266799644735478,-0.09346112164512485,26280
0,2022,China,Europe,1.2649218560129838,-0.2125873906096139,0.36691444592026357,1.4192489113236335,1.4483790789731155,-0.02913016764948211,0.17642015461698266,26279
0,2023,China,Europe,-1.3568140462484382,0.8777430773945337,-0.2223019623419463,-0.7013729311958506,-1.4679650274194114,0.7665920962235606,-0.05088127852534832,26280
0,2024,China,Europe,-7.2048073915681075,0.4173941333219123,0.31040036422484163,-6.477012894021366,-7.049607209455692,0.5725943154343274,-0.0688726984829508,26352
1,2018,China,,-24.047570321560936,-2.2411202231697374,4.116494328576654,-22.17219621615402,-21.98932315727261,-0.1828730588814103,0.0,8760
1,2019,China,,-21.27666234321731,0.2826029006563677,3.717844860222346,-17.276214582338596,-19.417739913106136,2.1415253307675406,0.0,8760
1,2020,China,,6.477309444766978,-2.239287390666999,3.814160504843546,8.052182558943525,8.38438969718875,-0.3322071382452261,0.0,17565
1,2021,China,,-11.044747149456564,-4.234999158795722,0.3656173905092265,-14.914128917743058,-10.861938454201951,-4.052190463541108,0.0,8760
1,2022,China,,-18.224712534644123,0.9751446875066923,2.5519160339858247,-14.697651813151607,-16.948754517651214,2.2511027044996044,0.0,8760
1,2023,China,,-1.0176124337185466,3.391538517461722,4.753756412228188,7.127682495971363,1.3592657723955472,5.768416723575816,0.0,17520
1,2024,China,,11.997217352613447,0.26165955492709103,0.8147999569408232,13.073676864481362,12.404617331083859,0.6690595333975027,0.0,26350
2,2018,Belgium,East_Asia,-1.0303617992855405,-1.6981457297492726,1.5664170323141422,-1.162090496720671,-0.2471532831284695,-0.9149372135922017,0.3415867764142547,8760
2,2019,Belgium,East_Asia,-18.81916541357428,0.823030610336381,1.050317006372866,-16.945817796865033,-18.294006910387846,1.3481891135228141,0.25351177483367976,17517
2,2020,Belgium,East_Asia,-8.721407546874765,1.7013613503140395,1.2459888175805047,-5.774057378980221,-8.098413138084513,2.3243557591042916,-0.033826677351206445,17564
2,2021,Belgium,East_Asia,-13.825333016107463,-1.5268119526656168,1.4761363839166688,-13.876008584856411,-13.08726482414913,-0.7887437607072826,-0.050659790178583776,17519
2,2022,Belgium,East_Asia,-17.645970809764687,1.3666175257949615,1.5260502998461296,-14.753302984123598,-16.882945659841624,2.1296426757180265,0.41005598371948515,17515
2,2023,Belgium,East_Asia,-4.90229533399062,-0.5169994965331763,0.5855719276397665,-4.833722902884029,-4.609509370170736,-0.2242135327132931,-0.055282419263171664,26279
2,2024,Belgium,East_Asia,0.08841695125773133,0.43031735236864305,0.5943751845845766,1.113109488210951,0.38560454355001966,0.7275049446609313,0.09966803097214373,26348
3,2019,China,Europe,0.041944020751803916,0.004467639225734441,0.20529075196138422,0.25170241193892257,0.14458939673249602,0.10711301520642653,0.005613339939689894,17519
3,2020,China,Europe,-4.191620563507071,0.29171016881857215,0.3508948057888951,-3.549015588899604,-4.016173160612624,0.46715757171301975,-0.4071662185759387,17567
3,2021,China,Europe,-5.261033870173808,-0.884268453580007,0.5189712418258887,-5.626331081927926,-5.001548249260864,-0.6247828326670627,0.25849256664926107,17520
3,2022,China,Europe,2.773036569511112,0.10364966609917015,0.21908189455566904,3.0957681301659505,2.882577516788946,0.21319061337700468,-0.3848450271943413,17518
