farm_id,n_years,G_mean,M_S_rms,M_D_rms,R_i,H_i,country,region
0,7,0.0008689698603722191,3.4555152103029525,0.7150152532493738,0.000251473313670072,0,China,Europe
1,7,0.0,14.598635298720959,2.926234000402051,0.0,0,China,
2,7,0.13786481130665734,11.199634504023868,1.4037899458542609,0.012309759863781671,0,Belgium,East_Asia
3,6,-0.1541043158464903,4.363241854419497,0.3646475408577238,-0.03531876549323047,0,China,Europe
4,6,2.42676857989233,9.23843201202753,0.8799146957706667,0.2626818681712347,0,China,US_East
5,7,0.1532015506378042,41.08574783789969,1.0507010656277105,0.003728824682521244,0,United Kingdom,US_East
6,2,0.11824636581090661,12.375807443643376,1.367663603477437,0.009554638462934542,0,China,US_East
7,7,-0.13253645428764096,1.5177109608771375,0.7200160876664928,-0.08732654484556372,0,Netherlands,US_East
8,4,0.19029991806763827,2.511501241127806,0.40848879487751616,0.07577138125648819,0,China,East_Asia
9,7,1.038665438477851,33.01522284073422,1.6698752697579542,0.03146019772419481,0,United Kingdom,East_Asia
10,7,0.09262904338634807,5.396294684440179,2.237380768625512,0.017165304862508182,0,United Kingdom,East_Asia
11,7,-0.3212817014545184,9.720770971128172,2.138925987021286,-0.03305105144527761,0,Germany,East_Asia
12,4,2.596222722261514,8.72920736394956,1.4317245550193642,0.29741792284412455,0,China,East_Asia
13,7,0.15233167753526627,15.1797844525661,3.0895558842654327,0.010035167364284612,0,United Kingdom,East_Asia
14,7,0.5106073998082465,6.9092308946124845,2.1560464743226384,0.07390220526663768,0,China,East_Asia
15,7,0.29047981066007916,14.508218686825968,1.5941313066109652,0.02002174194712451,0,Netherlands,East_Asia
16,7,0.0,9.357518578949781,2.6883582503151544,0.0,0,Netherlands,East_Asia
17,7,0.3107848491903811,6.65802303524155,1.55384510220542,0.04667824781400834,0,United Kingdom,East_Asia
18,7,0.026074910754156837,5.723447604569241,1.6823092303669296,0.004555804919632752,0,Germany,East_Asia
19,7,0.7849117484981392,1.891041295429023,1.0561918915068387,0.4150685394313746,0,China,East_Asia
20,7,-0.10564599441614013,2.994090105264317,1.0608891645617922,-0.03528484137147026,0,Netherlands,East_Asia
21,4,0.7980763886564778,8.783907044004712,0.9345249009165209,0.09085665235963415,0,China,East_Asia
22,7,1.3951923394671877,2.9602389385485544,1.3511464384305805,0.47131071796227014,0,Germany,East_Asia
23,7,0.4310776652570115,2.5541466707487563,0.939661546654388,0.16877561112441508,0,Netherlands,East_Asia
24,7,-0.18338546449180596,2.6353677948500525,0.7997408008304565,-0.06958628880954366,0,China,East_Asia
25,7,0.7118166026491476,8.165971731216473,3.3332564938040177,0.0871686341905949,0,Sweden,East_Asia
26,7,0.31919143526929,2.6319390902425797,0.8768036636318763,0.12127614824090434,0,United Kingdom,East_Asia
27,7,-0.04954197101853703,2.6557512435141213,1.9784119419561963,-0.0186545976922833,0,Denmark,East_Asia
28,4,1.2569403029785535,2.3429231299348285,0.6558525083225394,0.5364837996257764,0,China,East_Asia
29,7,0.0,3.8960511637173267,0.6623176533103955,0.0,0,Sweden,East_Asia
30,7,0.12240230497938774,7.228952046403502,3.990972459213466,0.016932233634097005,0,United Kingdom,East_Asia
31,7,-0.3800599687528923,3.799974875014912,1.0675254046123908,-0.10001644254329467,0,Netherlands,East_Asia
32,6,0.07593998692466201,7.517362882860049,2.640774710940357,0.010101945071430415,0,China,East_Asia
33,1,0.017540658548759826,3.4935077185363275,1.8570427377860974,0.005020930240311255,0,China,East_Asia
34,7,1.389422452814933,3.57063379027898,1.0313917372054775,0.38912488214210705,0,China,East_Asia
35,4,1.1215998931594051,6.553752661934324,2.014022722297013,0.17113857525840284,0,China,East_Asia
36,7,0.8429888206766746,4.41991372432387,5.298648793577592,0.1907251754796706,0,United Kingdom,East_Asia
37,4,0.20469149146382581,5.489000438259998,2.205888810481231,0.03729121426864244,0,China,East_Asia
38,7,-0.3612076330809755,5.793422960212865,1.6917601231028332,-0.06234787888984093,0,China,East_Asia
39,5,1.3141990504194545,9.231833932288882,2.5494233687926378,0.14235514417378825,0,Taiwan,East_Asia
40,4,0.0,5.14351705677214,1.4420740547551476,0.0,0,United Kingdom,East_Asia
41,4,1.1835380735306886,6.9738980139884905,2.2604806604743835,0.1697096904997329,0,China,East_Asia
42,3,0.11206089648398039,6.717877314275119,0.5312074307009097,0.016680997767830198,0,Taiwan,East_Asia
43,7,-0.08857605981160606,9.678126368946074,2.2139181641848835,-0.00915219087196645,0,Denmark,East_Asia
44,3,0.0,6.112286953749484,0.7776128396271064,0.0,0,China,East_Asia
45,7,0.0,4.317099557998272,1.7770336260964115,0.0,0,China,East_Asia
46,6,0.1594668953780638,6.1739453691887585,2.3578716281364533,0.025829009789086838,0,China,East_Asia
47,4,1.2595650523824835,3.0330131902655117,0.658726298266526,0.41528505593878423,0,China,East_Asia
48,6,0.665656627751931,2.8176260524892682,1.0369004206608472,0.2362473285494532,0,United Kingdom,East_Asia
49,7,-0.5123141625903336,4.4835209633661455,2.4355457332539823,-0.1142660348365356,0,France,East_Asia
50,7,0.0,2.525048623221279,0.9523355891615378,0.0,0,China,East_Asia
51,7,0.0,3.046600270130999,1.201639951752852,0.0,0,United Kingdom,East_Asia
52,6,0.0,3.2856931683833555,10.165630175701855,0.0,0,China,East_Asia
53,4,0.12175619090893425,3.691252775139156,2.1187632411012545,0.03298505909131194,0,United Kingdom,East_Asia
54,4,-0.19601830455461555,3.1006326653213345,3.6949851696554363,-0.06321880909885247,0,Netherlands,East_Asia
55,7,-0.04172065205756407,6.123754697163328,5.309423218073188,-0.006812920196965121,0,United Kingdom,East_Asia
56,2,4.4774225180405365,5.105112156918288,6.443882242865063,0.8770468464581868,0,Vietnam,East_Asia
57,7,16.980699093429653,6.785445514921506,4.6204507426611,2.50251793431814,1,Vietnam,East_Asia
58,7,0.3166435821986907,6.282129671788606,2.573257722531838,0.05040385963706764,0,France,East_Asia
59,7,0.37886144858308063,10.110943526419337,2.143346035189147,0.03747043464273503,0,Denmark,East_Asia
60,7,0.0,6.627161668642506,1.6405826650443054,0.0,0,Denmark,East_Asia
61,7,0.0,8.814605604286765,2.517650916592876,0.0,0,Denmark,East_Asia
62,4,0.2204443574797843,13.303208533057536,2.714595303937806,0.016570766137507024,0,Taiwan,East_Asia
63,7,0.4682240274424994,20.456980762589534,1.6573919673608957,0.022888227391735082,0,China,East_Asia
64,4,0.0,2.540976806530246,1.9992280819999138,0.0,0,Vietnam,East_Asia
65,7,0.2802384931109058,7.760445330649178,2.449771739566062,0.03611113553034504,0,Netherlands,East_Asia
66,5,7.76323244569124,12.645661696581488,2.7130780256229157,0.6139048024501462,0,China,East_Asia
67,7,1.9119836295284913,18.42395710975992,2.040181141415351,0.10377703433295747,0,United Kingdom,East_Asia
68,7,0.0,6.2131125597446735,0.9826913690443247,0.0,0,Denmark,East_Asia
