farm_id,n_turb,country,layout_type,spacing_d,WCI_hist,WPD_hist,theta_energy_hist,AxisMismatch,CrosswindAlign,P_A,P_B,P_C,P_D,P_E,paradigm_labels,confidence,is_ambiguous,has_expansion,total_new
159,7,Vietnam,belt,1.79,0.1921,215.0,85.2,9.400000000000006,9.400000000000006,0,1,0,0,0,B,1.0,0,False,7
160,5,United States of America,belt,4.28,0.2665,706.6,269.6,130.49999999999997,49.50000000000003,1,0,0,1,1,A+D+E,0.8250000000000005,0,False,5
161,5,United Kingdom,sparse,5.5,0.3341,862.5,215.7,166.1,13.900000000000006,0,0,0,1,1,D+E,1.0,0,False,8
162,5,United Kingdom,belt,5.28,0.3212,557.4,234.6,120.89999999999999,59.10000000000001,1,0,0,0,1,A+E,0.9850000000000001,0,False,5
163,5,Sweden,sparse,2.06,,,,,,0,1,0,0,0,B,1.0,0,False,5
164,5,United Kingdom,sparse,7.47,0.2895,1001.8,211.3,130.79999999999998,49.20000000000002,0,0,0,1,1,D+E,1.0,0,False,5
165,4,China,belt,3.09,,,,,,1,0,0,0,0,A,0.5,0,False,4
166,4,Japan,belt,7.04,0.1913,378.1,278.2,42.19999999999999,42.19999999999999,0,1,0,0,1,B+E,1.0,0,False,4
167,3,France,belt,4.7,0.2474,657.5,329.5,85.10000000000002,85.10000000000002,0,0,0,0,1,E,1.0,0,False,3
168,3,China,belt,3.32,,,,,,1,0,0,0,0,A,0.5,0,False,3
169,3,China,sparse,4.13,,,,,,0,0,0,0,1,E,1.0,0,False,3
170,3,Portugal,belt,3.09,0.2697,489.2,305.6,54.599999999999966,54.599999999999966,1,0,0,0,0,A,0.9099999999999995,0,False,4
