farm_id,ws_bin_m_s,wd_weighted_efficiency,energy_share,wakeloss_pct
162,7.0,0.944132,0.181437,5.5868
162,8.0,0.943775,0.184722,5.6225
162,9.0,0.944384,0.184722,5.5616
162,10.0,0.947175,0.15068,5.2825
162,11.0,0.964838,0.15068,3.5162
162,12.0,0.985054,0.147942,1.4946
162,13.0,0.997922,0.147942,0.2078
162,14.0,1.0,0.147942,0.0
162,16.0,1.0,0.073378,0.0
162,18.0,1.0,0.073378,0.0
162,20.0,1.0,0.011865,0.0
162,22.0,1.0,0.011865,0.0
162,25.0,1.0,0.011865,0.0
162,30.0,1.0,9.1e-05,0.0
163,0.0,1.0,0.077667,0.0
163,3.0,0.532982,0.149767,46.7018
163,4.0,0.694879,0.149767,30.5121
163,5.0,0.715172,0.149767,28.4828
163,6.0,0.744289,0.192662,25.5711
163,7.0,0.757115,0.192662,24.2885
163,8.0,0.759601,0.187369,24.0399
163,9.0,0.769496,0.187369,23.0504
163,10.0,0.784766,0.161449,21.5234
163,11.0,0.839895,0.161449,16.0105
163,12.0,0.922167,0.146299,7.7833
163,13.0,0.972466,0.146299,2.7534
163,14.0,0.992338,0.146299,0.7662
163,16.0,1.0,0.071735,0.0
163,18.0,1.0,0.071735,0.0
163,20.0,1.0,0.01296,0.0
163,22.0,1.0,0.01296,0.0
163,25.0,1.0,0.01296,0.0
163,30.0,1.0,9.1e-05,0.0
164,0.0,1.0,0.072009,0.0
164,3.0,0.733014,0.104956,26.6986
164,4.0,0.881634,0.104956,11.8366
164,5.0,0.905651,0.104956,9.4349
164,6.0,0.922958,0.129141,7.7042
164,7.0,0.926641,0.129141,7.3359
164,8.0,0.92599,0.152688,7.401
164,9.0,0.927582,0.152688,7.2418
164,10.0,0.932157,0.1557,6.7843
164,11.0,0.954212,0.1557,4.5788
164,12.0,0.984728,0.194031,1.5272
164,13.0,0.998969,0.194031,0.1031
164,14.0,1.0,0.194031,0.0
164,16.0,1.0,0.13918,0.0
164,18.0,1.0,0.13918,0.0
164,20.0,1.0,0.051109,0.0
164,22.0,1.0,0.051109,0.0
164,25.0,1.0,0.051109,0.0
164,30.0,1.0,0.001186,0.0
156,0.0,1.0,0.08004,0.0
156,3.0,0.775314,0.147486,22.4686
156,4.0,0.952939,0.147486,4.7061
156,5.0,0.962099,0.147486,3.7901
156,6.0,0.967168,0.195126,3.2832
156,7.0,0.968896,0.195126,3.1104
156,8.0,0.969307,0.196952,3.0693
156,9.0,0.969827,0.196952,3.0173
156,10.0,0.971315,0.1536,2.8685
156,11.0,0.988713,0.1536,1.1287
156,12.0,0.999585,0.143105,0.0415
156,13.0,1.0,0.143105,0.0
156,14.0,1.0,0.143105,0.0
156,16.0,1.0,0.064799,0.0
156,18.0,1.0,0.064799,0.0
156,20.0,1.0,0.018253,0.0
156,22.0,1.0,0.018253,0.0
156,25.0,1.0,0.018253,0.0
156,30.0,1.0,0.000639,0.0
157,0.0,1.0,0.090353,0.0
157,3.0,0.715173,0.141462,28.4827
157,4.0,0.848017,0.141462,15.1983
157,5.0,0.869427,0.141462,13.0573
157,6.0,0.845698,0.180889,15.4302
157,7.0,0.85437,0.180889,14.563
157,8.0,0.851579,0.19686,14.8421
157,9.0,0.854681,0.19686,14.5319
157,10.0,0.842162,0.166013,15.7838
157,11.0,0.874876,0.166013,12.5124
157,12.0,0.915434,0.150497,8.4566
157,13.0,0.936058,0.150497,6.3942
157,14.0,0.960695,0.150497,3.9305
157,16.0,1.0,0.063521,0.0
157,18.0,1.0,0.063521,0.0
157,20.0,1.0,0.010404,0.0
157,22.0,1.0,0.010404,0.0
157,25.0,1.0,0.010404,0.0
157,30.0,1.0,0.0,0.0
158,0.0,1.0,0.095555,0.0
158,3.0,0.701963,0.138359,29.8037
158,4.0,0.852834,0.138359,14.7166
158,5.0,0.864789,0.138359,13.5211
158,6.0,0.866764,0.17733,13.3236
158,7.0,0.874206,0.17733,12.5794
158,8.0,0.864333,0.178972,13.5667
158,9.0,0.867063,0.178972,13.2937
158,10.0,0.873597,0.153783,12.6403
158,11.0,0.90307,0.153783,9.693
158,12.0,0.945992,0.155517,5.4008
158,13.0,0.972414,0.155517,2.7586
158,14.0,0.98915,0.155517,1.085
158,16.0,1.0,0.079401,0.0
158,18.0,1.0,0.079401,0.0
158,20.0,1.0,0.021082,0.0
158,22.0,1.0,0.021082,0.0
158,25.0,1.0,0.021082,0.0
158,30.0,1.0,0.0,0.0
159,0.0,1.0,0.106781,0.0
159,3.0,0.656471,0.263211,34.3529
159,4.0,0.809588,0.263211,19.0412
159,5.0,0.822444,0.263211,17.7556
159,6.0,0.873709,0.299261,12.6291
159,7.0,0.879419,0.299261,12.0581
159,8.0,0.899391,0.221228,10.0609
159,9.0,0.90292,0.221228,9.708
159,10.0,0.90685,0.09154,9.315
159,11.0,0.942533,0.09154,5.7467
159,12.0,0.97296,0.017614,2.704
159,13.0,0.993084,0.017614,0.6916
159,14.0,0.998009,0.017614,0.1991
159,16.0,1.0,0.000365,0.0
159,18.0,1.0,0.000365,0.0
159,20.0,1.0,0.0,0.0
159,22.0,1.0,0.0,0.0
159,25.0,1.0,0.0,0.0
159,30.0,1.0,0.0,0.0
155,0.0,1.0,0.320161,0.0
