farm_id,A_built_S_A,A_fixed_S_A,A_C0_S_A,A_C1_S_A,A_C2_S_A,A_C3_S_A,A_built_S_B0,A_fixed_S_B0,A_C0_S_B0,A_C1_S_B0,A_C2_S_B0,A_C3_S_B0,A_built_S_B45,A_fixed_S_B45,A_C0_S_B45,A_C1_S_B45,A_C2_S_B45,A_C3_S_B45,A_built_S_C,A_fixed_S_C,A_C0_S_C,A_C1_S_C,A_C2_S_C,A_C3_S_C,A_built_S_D,A_fixed_S_D,A_C0_S_D,A_C1_S_D,A_C2_S_D,A_C3_S_D,A_built_S_E,A_fixed_S_E,A_C0_S_E,A_C1_S_E,A_C2_S_E,A_C3_S_E
0,0.3420169128064458,0.3420169128064458,0.3420169128064458,0.26389580312510186,0.2318192514210697,-2.008299275657833e-14,0.8733103719144024,0.8733103719144024,0.8733103719144024,0.6906985012620118,0.5764903766155485,2.884342791002675e-14,0.873311552165914,0.8733115521658997,0.873311552165914,0.6906979392162373,0.5764898774871529,0.0,0.7334498370663981,0.7334498370663981,0.7334498370663981,0.5433781820400129,0.4673377064072328,-2.3172323697493624e-14,1.4352726313853716,1.4352726313853716,1.4352726313853716,1.0665783935701638,0.9088495232094405,1.293016526739487e-14,0.33080292661198785,0.33080292661198785,0.33080292661198785,0.2621441825056991,0.23276205241287515,1.9761223370604673e-14
1,0.3875910036979701,0.38759100369799043,0.3875910036979701,0.28830715688310116,0.2556667036695588,2.027114888604428e-14,0.7851080844501159,0.7851080844501159,0.7851080844501159,0.5960823960958889,0.5021276873504349,-1.4501626785746346e-14,0.7851112873192345,0.7851112873192346,0.7851112873192345,0.5960818639968608,0.5021271878429332,0.0,0.6995589013096455,0.6995589013096455,0.6995589013096455,0.5261042500516943,0.4556179639351913,0.0,1.536218908296018,1.536218908296018,1.536218908296018,1.117998876178042,0.9621848288700723,0.0,0.38042358346435057,0.38042358346433053,0.38042358346435057,0.3003574817111953,0.2698535660418623,0.0
2,0.19445012026707637,0.194450120267062,0.19445012026707637,0.1660944029233628,0.221745587170681,-1.437158580016553e-14,0.6492116555152504,0.6492116555152504,0.6492116555152504,0.5073171258989372,0.6214311870462983,1.81319218037632e-14,0.6492514875529539,0.6492514875529539,0.6492514875529539,0.5073421028300783,0.6214568280905889,1.8131867296897772e-14,0.5372563679694048,0.5372563679693889,0.5372563679694048,0.4457296241132131,0.5625322708295944,1.574542839170776e-14,0.8822162497299456,0.8822162497299456,0.8822162497299456,0.7943611605293017,1.02023997915746,-1.6912215428301056e-14,0.17282168313718363,0.17282168313716942,0.17282168313718363,0.17199648523711306,0.23587768101593284,1.4225168198009573e-14
3,0.3253298306838976,0.32532983068385807,0.3253298306838976,0.2500336534253699,0.2261084235621306,1.9694475392930482e-14,0.835792251993987,0.835792251993987,0.835792251993987,0.47956814057747676,0.40990575693809866,1.3988087796400323e-14,0.835790739487735,0.8357907394877209,0.835790739487735,0.47956622609740607,0.40990380874685167,2.7976161806752493e-14,0.6076605743506589,0.6076605743506589,0.6076605743506589,0.4207394784294922,0.3702393741602217,-1.1312730093617784e-14,1.210572408344785,1.210572408344785,1.210572408344785,0.9757088370432886,0.8553737644710335,1.2584090624506026e-14,0.33260450406487546,0.33260450406487546,0.33260450406487546,0.2660234793145133,0.243661643356924,1.938831463011675e-14
4,0.8275236322268463,0.827523632226826,0.8275236322268463,0.7269157805784136,0.5700798286127987,2.0127846065127133e-14,5.278826149115037,5.278826149115037,5.278826149115037,3.093544633133724,2.286555201042742,0.0,5.278802544751508,5.278802544751509,5.278802544751508,3.0934605506685315,2.28644981138647,1.5184529377471114e-14,3.0173147115338055,3.01731471153383,3.0173147115338055,2.047182349792899,1.5677522702707718,0.0,4.216137838241268,4.216137838241268,4.216137838241268,2.6104881412210763,1.9752215226925596,2.6801406452207546e-14,0.6317082430187965,0.6317082430187965,0.6317082430187965,0.5108236008023801,0.40194282583325647,3.952449022463342e-14
5,0.10923143934730871,0.10923143934730871,0.10923143934730871,0.1346438671852131,0.19496446545179116,-1.3574662845937757e-14,0.4712612666701817,0.4712612666701817,0.4712612666701817,0.3581991458442439,0.464313631664006,1.6845326429746434e-14,0.47128637176789695,0.4712863717679139,0.47128637176789695,0.3582115433060601,0.4643266047561568,1.6845277290225638e-14,0.33006789445304147,0.33006789445304147,0.33006789445304147,0.28748593793668625,0.40131035033094725,-1.476889692447518e-14,0.4770185914727638,0.4770185914727638,0.4770185914727638,0.3745455886235183,0.5052013837477496,1.578638760066487e-14,0.09318337192167356,0.09318337192167356,0.09318337192167356,0.12408597026548997,0.1872574332038109,0.0
6,0.4719206621164338,0.4719206621164576,0.4719206621164338,0.41454690551643053,0.3411514024675109,0.0,1.4878958821573645,1.4878958821573645,1.4878958821573645,1.0108318405777306,0.8076828594961482,-3.493391606231927e-14,1.4880267506693148,1.4880267506693148,1.4880267506693148,1.0108921714698977,0.8077257988463112,1.7467062831618797e-14,1.1848935550762894,1.1848935550762756,1.1848935550762894,0.8953139581324693,0.7315094198400983,-2.7646132676229112e-14,1.631931785658756,1.631931785658756,1.631931785658756,1.2346561309976125,0.9969175233935463,3.1090771603271845e-14,0.5354282898453703,0.5354282898453703,0.5354282898453703,0.43856686876272566,0.36104182172541693,-2.3288659998649182e-14
7,0.21068698033589703,0.21068698033589697,0.21068698033589703,0.18817425466625454,0.2596009187809089,1.3609821231550035e-14,0.2930692334109125,0.2930692334109125,0.2930692334109125,0.25039964762534606,0.3147876443993026,3.4037653985166486e-14,0.2930885845063201,0.2930885845063372,0.2930885845063201,0.2504033155259985,0.31479123387154473,-1.701877521302545e-14,0.364861925851166,0.364861925851166,0.364861925851166,0.28456856756689775,0.35427472274428645,-1.4850280909137692e-14,0.5700581665170856,0.5700581665170856,0.5700581665170856,0.491535949847663,0.6476490700308908,-1.5910688012310715e-14,0.18755907807434907,0.18755907807436256,0.18755907807434907,0.17450292698386505,0.25207646309435694,0.0
8,0.7939286644598808,0.7939286644598808,0.7939286644598808,0.6491469709247507,0.5566445800531881,1.8330879337291634e-14,4.33931939759832,4.33931939759832,4.33931939759832,2.6014128289043565,2.030643966047166,-1.3406982862361651e-14,4.339625648742091,4.339625648742091,4.339625648742091,2.601471963264451,2.0306832422793755,0.0,2.5283476713514372,2.5283476713514372,2.5283476713514372,1.7942144796497974,1.4725091923582116,-2.126790393534419e-14,3.683433029916613,3.683433029916613,3.683433029916613,2.269867543145983,1.8225877973289335,-1.1938438644995114e-14,0.5009489641788903,0.5009489641788903,0.5009489641788903,0.44179918712466537,0.3812479864549547,1.8027225516077866e-14
9,0.25141688200398465,0.25141688200398465,0.25141688200398465,0.22893262466084768,0.3168899137143147,-1.4387413785433e-14,0.5073537419551202,0.5073537419551202,0.5073537419551202,0.48856963910246803,0.6400576981850108,0.0,0.5073625352749715,0.5073625352749535,0.5073625352749715,0.48854148701881345,0.6400266728688195,0.0,0.5448309605943658,0.5448309605943814,0.5448309605943658,0.4425017316435681,0.5610825142730301,1.5699691761237827e-14,0.6367377258581697,0.6367377258581697,0.6367377258581697,0.6334055340189237,0.8539202865381548,-1.6813039121706415e-14,0.20981694276675114,0.20981694276676544,0.20981694276675114,0.2013214450931443,0.2888166719906832,-1.4247442204347945e-14
