turbine_id,lon,lat,x_km,y_km,point_role,commission_year,first_quarter,first_status
723,119.236378,38.031231,10178.969,4233.637,substation,,2023Q4,offshore wind farm substation
741,121.859474,37.958254,10402.897,4225.513,substation,,2023Q3,offshore wind farm substation
769,121.872478,37.906765,10404.008,4219.781,substation,,2023Q3,offshore wind farm substation
811,120.312954,37.81967,10270.874,4210.086,substation,,2023Q3,offshore wind farm substation
812,120.376003,37.875465,10276.256,4216.297,substation,,2025Q1,offshore wind farm substation
868,119.4865,37.248886,10200.321,4146.546,substation,,2022Q3,offshore wind farm substation
942,121.488293,36.536995,10371.21,4067.298,substation,,2024Q3,offshore wind farm substation
960,121.585426,36.550064,10379.502,4068.753,substation,,2023Q3,offshore wind farm substation
1065,121.65757,36.474661,10385.661,4060.359,substation,,2023Q4,offshore wind farm substation
1102,121.252327,36.442167,10351.067,4056.742,substation,,2022Q3,offshore wind farm substation
1142,121.205597,36.397654,10347.077,4051.787,substation,,2022Q3,offshore wind farm substation
1170,121.413387,36.446924,10364.816,4057.272,substation,,2021Q3,offshore wind farm substation
1272,121.43087,36.380407,10366.308,4049.867,substation,,2021Q2,offshore wind farm substation
1282,126.274853,35.485989,10779.829,3950.3,substation,,2016Q2,offshore wind farm substation
1294,126.340382,35.481934,10785.423,3949.849,substation,,2017Q2,offshore wind farm substation
1344,119.802364,34.604343,10227.286,3852.155,substation,,2016Q4,offshore wind farm substation
1361,119.984921,34.524305,10242.871,3843.246,substation,,2016Q1,offshore wind farm substation
1384,120.038742,34.507563,10247.465,3841.382,substation,,2016Q1,offshore wind farm substation
1566,120.602512,34.31456,10295.593,3819.897,substation,,2019Q4,offshore wind farm substation
1773,121.041882,33.606546,10333.101,3741.081,substation,,2020Q3,offshore wind farm substation
1863,121.124603,33.422129,10340.163,3720.551,substation,,2025Q1,offshore wind farm substation
1970,121.346615,33.523769,10359.116,3731.866,substation,,2021Q3,offshore wind farm substation
1984,121.331074,33.450056,10357.789,3723.66,substation,,2021Q3,offshore wind farm substation
2141,121.054436,33.305603,10334.173,3707.58,substation,,2017Q2,offshore wind farm substation
2142,121.080654,33.311487,10336.411,3708.235,substation,,2018Q1,offshore wind farm substation
2196,121.247837,33.286753,10350.683,3705.481,substation,,2018Q4,offshore wind farm substation
2223,121.232635,33.307636,10349.385,3707.806,substation,,2021Q3,offshore wind farm substation
2257,121.558025,33.315475,10377.163,3708.679,substation,,2021Q3,offshore wind farm substation
2328,121.419579,33.170296,10365.344,3692.517,substation,,2018Q4,offshore wind farm substation
2386,121.304867,33.009941,10355.552,3674.667,substation,,2024Q3,offshore wind farm substation
2403,121.289642,32.947227,10354.252,3667.685,substation,,2016Q3,offshore wind farm substation
2416,121.325874,32.96372,10357.345,3669.521,substation,,2016Q1,offshore wind farm substation
2487,121.240215,32.949306,10350.033,3667.917,substation,,2016Q2,offshore wind farm substation
2576,121.317741,32.896399,10356.651,3662.027,substation,,2019Q3,offshore wind farm substation
2674,121.645779,32.818003,10384.655,3653.3,substation,,2021Q1,offshore wind farm substation
2873,121.946571,32.850367,10410.333,3656.903,substation,,2024Q4,offshore wind farm substation
2911,121.155552,32.738451,10342.805,3644.444,substation,,2019Q3,offshore wind farm substation
2975,121.169628,32.679741,10344.007,3637.909,substation,,2018Q1,offshore wind farm substation
2976,121.126762,32.667717,10340.347,3636.57,substation,,2018Q1,offshore wind farm substation
2994,121.492203,32.730278,10371.544,3643.535,substation,,2019Q4,offshore wind farm substation
2996,121.491764,32.812098,10371.507,3652.643,substation,,2019Q4,offshore wind farm substation
3016,121.515038,32.800333,10373.494,3651.333,substation,,2021Q1,offshore wind farm substation
3176,121.000149,32.622297,10329.539,3631.514,substation,,2016Q1,offshore wind farm substation
3188,121.091511,32.654823,10337.338,3635.135,substation,,2017Q3,offshore wind farm substation
3226,121.211376,32.642647,10347.571,3633.779,substation,,2016Q3,offshore wind farm substation
3287,121.353065,32.68679,10359.666,3638.693,substation,,2016Q2,offshore wind farm substation
3291,121.33659,32.712534,10358.26,3641.559,substation,,2021Q1,offshore wind farm substation
3292,121.366848,32.71735,10360.843,3642.095,substation,,2016Q1,offshore wind farm substation
3293,121.323479,32.68108,10357.141,3638.058,substation,,2016Q3,offshore wind farm substation
3294,121.316185,32.688446,10356.518,3638.878,substation,,2017Q1,offshore wind farm substation
3375,121.620422,32.67893,10382.49,3637.818,substation,,2021Q1,offshore wind farm substation
3413,121.723835,32.709957,10391.318,3641.272,substation,,2020Q2,offshore wind farm substation
3441,121.874805,32.654121,10404.206,3635.057,substation,,2021Q1,offshore wind farm substation
3452,121.821938,32.658596,10399.693,3635.555,substation,,2018Q3,offshore wind farm substation
3527,121.92955,32.662279,10408.88,3635.965,substation,,2021Q1,offshore wind farm substation
3577,121.909782,32.75268,10407.192,3646.028,substation,,2021Q3,offshore wind farm substation
3718,121.251785,32.515951,10351.02,3619.676,substation,,2025Q1,offshore wind farm substation
3748,121.650398,32.38389,10385.049,3604.975,substation,,2016Q1,offshore wind farm substation
3768,121.705399,32.359385,10389.744,3602.247,substation,,2016Q1,offshore wind farm substation
3793,122.134029,32.108147,10426.336,3574.279,substation,,2020Q4,offshore wind farm substation
3810,122.148979,32.142921,10427.612,3578.15,substation,,2020Q4,offshore wind farm substation
3889,122.124256,30.911762,10425.501,3441.097,substation,,2016Q1,offshore wind farm substation
3891,122.129349,30.983721,10425.936,3449.108,substation,,2016Q1,offshore wind farm substation
3934,121.807934,30.755938,10398.498,3423.751,substation,,2021Q3,offshore wind farm substation
4038,122.009819,30.706396,10415.732,3418.236,substation,,2020Q3,offshore wind farm substation
4081,121.58379,30.610307,10379.363,3407.539,substation,,2024Q4,offshore wind farm substation
4083,121.512661,30.633053,10373.291,3410.071,substation,,2025Q1,offshore wind farm substation
4084,121.51265,30.642092,10373.29,3411.078,substation,,2025Q1,offshore wind farm substation
4085,121.526657,30.642694,10374.486,3411.145,substation,,2024Q4,offshore wind farm substation
4099,121.621971,30.642766,10382.622,3411.153,substation,,2020Q4,offshore wind farm substation
4101,121.51263,30.597671,10373.288,3406.133,substation,,2025Q1,offshore wind farm substation
4102,121.512569,30.606617,10373.283,3407.129,substation,,2024Q4,offshore wind farm substation
4165,121.512611,30.579802,10373.286,3404.144,substation,,2024Q4,offshore wind farm substation
4247,121.473217,30.492515,10369.923,3394.427,substation,,2019Q4,offshore wind farm substation
4285,121.69611,30.379227,10388.951,3381.816,substation,,2023Q4,offshore wind farm substation
4455,122.013229,29.061301,10416.023,3235.104,substation,,2021Q3,offshore wind farm substation
4470,122.015083,29.0314,10416.181,3231.775,substation,,2016Q1,offshore wind farm substation
4509,121.979408,28.950782,10413.136,3222.801,substation,,2023Q1,offshore wind farm substation
4510,121.994972,28.945831,10414.465,3222.25,substation,,2020Q3,offshore wind farm substation
4532,121.82959,28.830687,10400.346,3209.432,substation,,2023Q2,offshore wind farm substation
4617,120.879791,27.33158,10319.264,3042.551,substation,,2022Q2,offshore wind farm substation
4662,120.951515,27.265028,10325.387,3035.143,substation,,2021Q4,offshore wind farm substation
4691,120.836803,27.264583,10315.594,3035.093,substation,,2023Q2,offshore wind farm substation
4760,119.953907,25.828384,10240.223,2875.216,substation,,2019Q2,offshore wind farm substation
4762,119.960346,25.829315,10240.773,2875.319,substation,,2021Q2,offshore wind farm substation
4842,119.968506,25.769524,10241.469,2868.663,substation,,2020Q3,offshore wind farm substation
5006,119.445148,25.386898,10196.791,2826.069,substation,,2019Q1,offshore wind farm substation
5024,119.483719,25.260904,10200.084,2812.044,substation,,2016Q1,offshore wind farm substation
5074,119.491283,25.250103,10200.73,2810.841,substation,,2016Q1,offshore wind farm substation
5143,119.527515,25.213012,10203.823,2806.712,substation,,2016Q1,offshore wind farm substation
5163,119.563107,25.258834,10206.861,2811.813,substation,,2016Q1,offshore wind farm substation
5177,119.572342,25.266888,10207.65,2812.71,substation,,2016Q1,offshore wind farm substation
5181,119.565556,25.264358,10207.07,2812.428,substation,,2016Q1,offshore wind farm substation
5183,119.568932,25.264633,10207.358,2812.459,substation,,2016Q1,offshore wind farm substation
5184,119.582962,25.249885,10208.556,2810.817,substation,,2016Q1,offshore wind farm substation
5189,119.595108,25.270798,10209.593,2813.145,substation,,2023Q4,offshore wind farm substation
5199,119.584606,25.252715,10208.697,2811.132,substation,,2016Q1,offshore wind farm substation
5238,119.391235,25.139471,10192.189,2798.526,substation,,2016Q1,offshore wind farm substation
5308,120.830894,24.706365,10315.09,2750.313,substation,,2016Q1,offshore wind farm substation
5349,119.86348,24.161874,10232.503,2689.7,substation,,2021Q2,offshore wind farm substation
5389,120.003174,24.15647,10244.429,2689.098,substation,,2021Q2,offshore wind farm substation
5495,118.186081,23.92691,10089.307,2663.544,substation,,2023Q3,offshore wind farm substation
5594,117.049229,23.292333,9992.257,2592.903,substation,,2025Q1,offshore wind farm substation
5596,117.046425,23.276905,9992.017,2591.185,substation,,2021Q3,offshore wind farm substation
5614,116.980793,23.253174,9986.414,2588.543,substation,,2024Q4,offshore wind farm substation
5639,116.985203,23.224301,9986.791,2585.329,substation,,2023Q3,offshore wind farm substation
5726,115.933445,22.684401,9897.004,2525.228,substation,,2020Q4,offshore wind farm substation
5754,116.068184,22.72637,9908.507,2529.9,substation,,2024Q3,offshore wind farm substation
5780,116.117149,22.719976,9912.687,2529.188,substation,,2021Q2,offshore wind farm substation
5889,116.269215,22.659458,9925.668,2522.451,substation,,2021Q3,offshore wind farm substation
5903,116.162971,22.621649,9916.598,2518.242,substation,,2022Q3,offshore wind farm substation
5968,116.08577,22.601688,9910.008,2516.02,substation,,2022Q1,offshore wind farm substation
6009,114.995255,22.316943,9816.913,2484.322,substation,,2021Q2,offshore wind farm substation
6048,114.912338,22.316252,9809.834,2484.245,substation,,2023Q3,offshore wind farm substation
6049,114.942886,22.315118,9812.442,2484.119,substation,,2016Q2,offshore wind farm substation
6129,113.431065,21.912447,9683.381,2439.294,substation,,2020Q2,offshore wind farm substation
6311,111.51992,21.317173,9520.231,2373.028,substation,,2020Q4,offshore wind farm substation
6312,111.513367,21.356956,9519.671,2377.456,substation,,2020Q3,offshore wind farm substation
6409,111.625763,21.304502,9529.266,2371.617,substation,,2020Q4,offshore wind farm substation
6414,112.16811,21.447231,9575.565,2387.506,substation,,2019Q3,offshore wind farm substation
6480,108.195599,21.355421,9236.44,2377.285,substation,,2023Q4,offshore wind farm substation
6533,111.495327,21.257564,9518.131,2366.392,substation,,2017Q2,offshore wind farm substation
6534,111.489193,21.24826,9517.607,2365.356,substation,,2018Q2,offshore wind farm substation
6575,111.512131,21.262492,9519.566,2366.941,substation,,2019Q2,offshore wind farm substation
6671,111.649879,21.242201,9531.325,2364.682,substation,,2021Q2,offshore wind farm substation
6889,111.609352,20.983103,9527.865,2335.839,substation,,2020Q3,offshore wind farm substation
6897,111.618843,20.929973,9528.675,2329.925,substation,,2023Q2,offshore wind farm substation
6937,111.655258,20.934001,9531.784,2330.373,substation,,2019Q4,offshore wind farm substation
6940,111.459476,21.042193,9515.071,2342.417,substation,,2024Q3,offshore wind farm substation
6941,111.461872,21.042435,9515.275,2342.444,substation,,2017Q4,offshore wind farm substation
7003,110.566898,20.7113,9438.873,2305.582,substation,,2021Q1,offshore wind farm substation
7023,110.605526,20.590511,9442.171,2292.136,substation,,2018Q4,offshore wind farm substation
7034,110.65789,20.635059,9446.641,2297.095,substation,,2021Q3,offshore wind farm substation
7035,110.64315,20.584741,9445.382,2291.493,substation,,2021Q1,offshore wind farm substation
7177,110.727459,20.640864,9452.58,2297.741,substation,,2024Q2,offshore wind farm substation
7228,109.111908,20.14251,9314.663,2242.264,substation,,2022Q2,offshore wind farm substation
7235,109.13361,20.119643,9316.516,2239.719,substation,,2024Q3,offshore wind farm substation
7318,109.089531,20.141322,9312.753,2242.132,substation,,2024Q3,offshore wind farm substation
7367,109.297146,20.108103,9330.477,2238.434,substation,,2024Q4,offshore wind farm substation
7519,106.49667,9.545803,9091.406,1062.639,substation,,2022Q3,offshore wind farm substation
7551,106.500549,9.536696,9091.737,1061.625,substation,,2021Q4,offshore wind farm substation
7577,105.842892,9.204871,9035.594,1024.686,substation,,2021Q2,offshore wind farm substation
7581,105.845528,9.234437,9035.819,1027.978,substation,,2021Q2,offshore wind farm substation
7584,105.849796,9.187006,9036.184,1022.698,substation,,2018Q2,offshore wind farm substation
7630,105.776489,9.224917,9029.925,1026.918,substation,,2018Q4,offshore wind farm substation
7766,5.029752,59.140673,429.38,6583.54,substation,,2016Q1,offshore wind farm substation
7828,-2.895952,58.257252,-247.222,6485.197,substation,,2018Q2,offshore wind farm substation
7829,-2.880589,58.250414,-245.91,6484.436,substation,,2018Q1,offshore wind farm substation
8213,12.670576,55.686239,1081.662,6198.992,substation,,2016Q1,offshore wind farm substation
8214,12.668928,55.677809,1081.521,6198.054,substation,,2016Q1,offshore wind farm substation
8215,12.669504,55.702465,1081.57,6200.798,substation,,2016Q1,offshore wind farm substation
8219,12.670118,55.684052,1081.622,6198.749,substation,,2016Q1,offshore wind farm substation
8225,12.669347,55.679413,1081.557,6198.232,substation,,2016Q1,offshore wind farm substation
8226,12.669786,55.682224,1081.594,6198.545,substation,,2016Q1,offshore wind farm substation
8278,7.595745,55.598351,648.433,6189.208,substation,,2016Q1,offshore wind farm substation
8287,7.585338,55.623407,647.545,6191.998,substation,,2016Q1,offshore wind farm substation
8306,7.622814,55.599949,650.744,6189.386,substation,,2016Q1,offshore wind farm substation
8386,7.87482,55.509296,672.257,6179.295,substation,,2016Q1,offshore wind farm substation
8466,6.855092,55.199507,585.205,6144.809,substation,,2016Q2,offshore wind farm substation
8591,7.240811,55.062962,618.133,6129.609,substation,,2016Q1,offshore wind farm substation
8592,2.128186,55.031109,181.679,6126.063,substation,,2024Q3,offshore wind farm substation
8593,2.160184,55.050198,184.411,6128.188,substation,,2025Q1,offshore wind farm substation
8633,7.799561,55.020039,665.833,6124.831,substation,,2016Q1,offshore wind farm substation
8643,12.945308,55.048832,1105.115,6128.036,substation,,2018Q1,offshore wind farm substation
8702,13.154298,55.007326,1122.956,6123.416,substation,,2016Q1,offshore wind farm substation
8753,13.161225,54.972397,1123.547,6119.527,substation,,2016Q1,offshore wind farm substation
8803,13.677158,54.817669,1167.591,6102.303,substation,,2022Q2,offshore wind farm substation
8864,14.073948,54.834969,1201.465,6104.229,substation,,2016Q3,offshore wind farm substation
8904,14.097951,54.787422,1203.514,6098.936,substation,,2017Q4,offshore wind farm substation
8968,13.899549,54.821396,1186.576,6102.718,substation,,2018Q4,offshore wind farm substation
9051,6.368312,54.513643,543.65,6068.459,substation,,2016Q1,offshore wind farm substation
9141,11.557905,54.571978,986.675,6074.953,substation,,2016Q1,offshore wind farm substation
9233,11.720097,54.566046,1000.521,6074.292,substation,,2016Q1,offshore wind farm substation
9265,12.6302,54.61319,1078.215,6079.54,substation,,2016Q1,offshore wind farm substation
9293,6.270601,54.487356,535.309,6065.532,substation,,2019Q1,offshore wind farm substation
9299,6.328191,54.444702,540.225,6060.784,substation,,2018Q2,offshore wind farm substation
9342,6.153203,54.422647,525.287,6058.329,substation,,2024Q3,offshore wind farm substation
9343,6.186152,54.400557,528.099,6055.87,substation,,2024Q3,offshore wind farm substation
9344,6.198786,54.392471,529.178,6054.97,substation,,2024Q3,offshore wind farm substation
9345,6.161453,54.416515,525.991,6057.646,substation,,2024Q3,offshore wind farm substation
9422,7.679026,54.441982,655.543,6060.481,substation,,2016Q1,offshore wind farm substation
9465,7.735193,54.520489,660.338,6069.221,substation,,2016Q1,offshore wind farm substation
9490,7.739444,54.452612,660.701,6061.665,substation,,2016Q1,offshore wind farm substation
9545,5.881546,54.322599,502.096,6047.192,substation,,2016Q3,offshore wind farm substation
9582,6.010509,54.352055,513.105,6050.471,substation,,2016Q1,offshore wind farm substation
9583,6.02496,54.355087,514.339,6050.808,substation,,2016Q1,offshore wind farm substation
9586,6.134111,54.435432,523.657,6059.752,substation,,2024Q3,offshore wind farm substation
9587,6.134045,54.422735,523.651,6058.339,substation,,2024Q3,offshore wind farm substation
9588,6.134094,54.405495,523.655,6056.42,substation,,2024Q3,offshore wind farm substation
9589,6.13444,54.373465,523.685,6052.854,substation,,2024Q2,offshore wind farm substation
9590,6.133972,54.364925,523.645,6051.903,substation,,2024Q3,offshore wind farm substation
9591,6.134231,54.414179,523.667,6057.386,substation,,2024Q3,offshore wind farm substation
9592,6.134,54.39674,523.647,6055.445,substation,,2024Q3,offshore wind farm substation
9593,6.133914,54.34798,523.64,6050.017,substation,,2024Q3,offshore wind farm substation
9594,6.13411,54.382122,523.657,6053.818,substation,,2024Q3,offshore wind farm substation
9595,6.176785,54.374975,527.3,6053.022,substation,,2024Q2,offshore wind farm substation
9596,6.236085,54.3577,532.362,6051.099,substation,,2024Q2,offshore wind farm substation
9597,6.245365,54.343725,533.154,6049.543,substation,,2024Q2,offshore wind farm substation
9598,6.232742,54.3479,532.077,6050.008,substation,,2024Q2,offshore wind farm substation
9599,6.148837,54.368568,524.914,6052.309,substation,,2024Q3,offshore wind farm substation
9600,6.17855,54.383204,527.45,6053.938,substation,,2024Q3,offshore wind farm substation
9601,6.271088,54.343479,535.35,6049.516,substation,,2024Q3,offshore wind farm substation
9602,6.148509,54.411846,524.886,6057.127,substation,,2024Q3,offshore wind farm substation
9603,6.251064,54.357498,533.641,6051.077,substation,,2024Q3,offshore wind farm substation
9604,6.184112,54.391796,527.925,6054.895,substation,,2024Q3,offshore wind farm substation
9605,6.158109,54.40522,525.705,6056.389,substation,,2021Q2,offshore wind farm substation
9606,6.201836,54.347239,529.438,6049.935,substation,,2021Q2,offshore wind farm substation
9607,6.149436,54.344589,524.965,6049.64,substation,,2024Q2,offshore wind farm substation
9608,6.147877,54.378721,524.832,6053.439,substation,,2024Q3,offshore wind farm substation
9609,6.186,54.350721,528.086,6050.322,substation,,2024Q2,offshore wind farm substation
9610,6.181642,54.36088,527.714,6051.453,substation,,2024Q2,offshore wind farm substation
9611,6.17106,54.399752,526.811,6055.78,substation,,2024Q3,offshore wind farm substation
9612,6.207821,54.369333,529.949,6052.394,substation,,2024Q2,offshore wind farm substation
9613,6.210464,54.354881,530.175,6050.785,substation,,2024Q2,offshore wind farm substation
9614,6.197838,54.359131,529.097,6051.258,substation,,2024Q2,offshore wind farm substation
9615,6.260424,54.350925,534.44,6050.345,substation,,2024Q3,offshore wind farm substation
9623,6.134231,54.338539,523.667,6048.966,substation,,2024Q2,offshore wind farm substation
9624,6.264719,54.329628,534.806,6047.974,substation,,2024Q2,offshore wind farm substation
9625,6.256233,54.336432,534.082,6048.732,substation,,2024Q2,offshore wind farm substation
9640,6.379743,54.388342,544.626,6054.51,substation,,2017Q3,offshore wind farm substation
9641,6.290563,54.3295,537.013,6047.96,substation,,2024Q3,offshore wind farm substation
9681,7.640175,54.401196,652.226,6055.941,substation,,2016Q1,offshore wind farm substation
9692,7.699313,54.399824,657.275,6055.788,substation,,2016Q1,offshore wind farm substation
9760,5.786307,54.303152,493.965,6045.027,substation,,2018Q4,offshore wind farm substation
9834,-3.855051,54.094995,-329.098,6021.855,substation,,2017Q1,offshore wind farm substation
9835,-3.839404,54.1227,-327.762,6024.939,substation,,2017Q3,offshore wind farm substation
9881,-3.654995,54.052845,-312.02,6017.163,substation,,2017Q2,offshore wind farm substation
9908,-3.575117,54.079893,-305.201,6020.174,substation,,2016Q1,offshore wind farm substation
9951,6.04186,54.03718,515.781,6015.419,substation,,2016Q1,offshore wind farm substation
10041,6.560528,54.037695,560.059,6015.476,substation,,2017Q4,offshore wind farm substation
10060,-3.556387,54.002636,-303.602,6011.573,substation,,2016Q1,offshore wind farm substation
10128,-3.432795,53.98959,-293.051,6010.121,substation,,2016Q1,offshore wind farm substation
10224,1.630876,53.939873,139.225,6004.587,substation,,2020Q4,offshore wind farm substation
10321,5.888227,54.032831,502.666,6014.935,substation,,2016Q1,offshore wind farm substation
10470,6.467059,54.046938,552.08,6016.505,substation,,2016Q1,offshore wind farm substation
10500,6.420119,53.996492,548.073,6010.889,substation,,2016Q1,offshore wind farm substation
10516,6.474586,53.957569,552.722,6006.557,substation,,2017Q3,offshore wind farm substation
10551,6.588019,54.015308,562.406,6012.984,substation,,2016Q1,offshore wind farm substation
10596,6.565496,53.964283,560.483,6007.304,substation,,2016Q1,offshore wind farm substation
10626,6.836675,53.982689,583.633,6009.353,substation,,2016Q2,offshore wind farm substation
10658,6.921664,53.978905,590.888,6008.932,substation,,2016Q1,offshore wind farm substation
10676,7.008971,54.025026,598.342,6014.066,substation,,2016Q1,offshore wind farm substation
10716,7.038461,54.055901,600.859,6017.503,substation,,2016Q1,offshore wind farm substation
10749,-3.502774,54.045006,-299.025,6016.29,substation,,2016Q1,offshore wind farm substation
10806,1.714382,53.89127,146.353,5999.176,substation,,2018Q2,offshore wind farm substation
10876,2.102725,53.877987,179.505,5997.698,substation,,2018Q2,offshore wind farm substation
10935,0.132968,53.804878,11.351,5989.559,substation,,2016Q1,offshore wind farm substation
11000,1.895359,53.878275,161.803,5997.73,substation,,2018Q2,offshore wind farm substation
11107,0.252783,53.658983,21.58,5973.318,substation,,2016Q1,offshore wind farm substation
11195,0.79809,53.485857,68.131,5954.046,substation,,2020Q1,offshore wind farm substation
11266,-3.62389,53.43749,-309.364,5948.661,substation,,2016Q1,offshore wind farm substation
