farm_id,opt_sx_D,opt_sy_D,opt_AEP,opt_CF,opt_WL,real_AEP,real_CF,real_WL,paradigm,n_turb,spacing_D_real,AEP_pct,WL_pp,country
153,9.0,13.0,381870102.7168355,0.4617534494762219,0.0283247053530297,263752723.3876038,0.3189271141325318,0.3288764860399948,A,101,3.1,44.78337808692486,30.05517806869651,Denmark
83,9.0,13.0,2200006862.7909145,0.4747922494272112,0.0391854097291952,1530618087.830369,0.3303287899806995,0.3315292712068298,C,18,1.7,43.733233017610246,29.23438614776346,United Kingdom
4,8.0,13.0,12570680484.90184,0.426408649178702,0.0561929842660937,10945266313.911976,0.3712731565663369,0.1782291222377864,E,5,5.4,14.85038485471918,12.203613797169268,China
91,7.5,13.0,1576444686.5206823,0.3610812630890955,0.04569989274328,1390022806.4953446,0.3183817326313806,0.1585502969625498,C,16,1.9,13.411425996337567,11.285040421926979,China
73,8.0,13.0,3271393257.506815,0.5849618430264184,0.0329385930637624,3027048547.860901,0.5412702656349677,0.1051696946426933,A,83,3.1,8.07204462639303,7.22311015789309,United Kingdom
14,9.0,13.0,5499230463.247101,0.4073265685376264,0.059718104946724,5141162170.656698,0.3808045433383304,0.1209421498318322,A,24,3.0,6.964734445337781,6.12240448851082,China
107,7.0,13.0,802177063.9803722,0.2647868520360889,0.0642417293243318,761292241.0223707,0.2512913732282245,0.1119348296957437,A,7,2.9,5.370450499153332,4.7693100371411905,Vietnam
21,8.0,13.0,6756346838.763252,0.5287252115076544,0.0296649602519636,6517039579.142111,0.5099979637096912,0.0640338617926932,A,50,2.9,3.672024033535842,3.43689015407296,China
112,9.0,13.0,814980771.2188565,0.289308048001014,0.0294951149461698,797355322.216868,0.2830512325938473,0.0504840572154634,B,27,4.7,2.210488663069909,2.0988942269293602,Vietnam
162,2.0,13.0,199679316.3406861,0.4910952197262325,0.0128555266784999,195894054.7501977,0.4817856732665955,0.0315685317488474,A,7,1.9,1.9323003933505458,1.8713005070347497,United Kingdom
151,9.0,13.0,296215902.84984946,0.397232000603258,0.0247910801062314,293220047.4429233,0.3932144930171963,0.0346541053099366,A,50,2.8,1.02170892919909,0.9863025203705202,South Korea
129,8.0,13.0,1141964496.0519984,0.6150175011051262,0.0197505486291383,1143914331.5381756,0.6160676063863505,0.0180768318260359,A,18,3.1,-0.1704529292464883,-0.1673716803102399,United Kingdom
