factor,S1_WakeLoss,ST_WakeLoss,S1_AEP,ST_AEP
density (SpacingD),0.13375806021172942,0.29589999271296397,0.3174770956334051,0.5314683143452553
config (aspect_ratio),0.01099841141313714,0.012828725966141095,3.32819548717803e-05,0.0032559015799517674
scale (logN),0.2608577332242897,0.39544986098656343,0.14890662170338861,0.2755034930706121
mismatch (|dev| deg),0.3608227787393301,0.5568362680951061,0.26241749705608686,0.42862287338383154
