factor,eta2_WakeLoss,eta2_AEP
density_bin,0.0015393426443316937,0.013458094353272441
aspect_bin,0.006784185691305441,0.002734401932596412
size_bin,0.013485973667169044,0.015326646561860594
dev_bin,0.012818329443388425,0.027204663374278137
