farm_id,year,ws_mean,ws_median,ws_p10,ws_p90,ws_std,weibull_A,weibull_k,frac_below_rated
0,2014,7.545107658021068,7.246358842280557,3.1407617219864306,12.186307500055621,3.490314889717454,8.514304903086618,2.2896519759656586,0.8365296803652968
0,2015,6.976449113566696,6.6956058044107145,2.853910409749346,11.439331492568522,3.302855654643794,7.872846507493973,2.2287760266336005,0.8777397260273972
0,2016,7.534936751335925,7.298969214393472,3.277185043705063,12.096959140350563,3.3712979351066,8.49376407599312,2.3692673858518316,0.8440346083788707
0,2017,7.255327750032929,7.000842927564735,3.094460687005709,11.775785579702962,3.2612306575197163,8.18605813430375,2.3721626908138833,0.8549086757990868
0,2018,7.74918342746059,7.4980426838081256,3.2505460223522227,12.364987511814844,3.5229024395223463,8.738332916797532,2.3286507099258897,0.8184931506849316
0,2019,7.059572830594002,6.657897669695435,3.2411783555156455,11.139340308895397,3.305967118625342,7.973453359138386,2.2482081974623727,0.8942922374429224
0,2020,7.044134146869192,6.727564237829938,2.879129154360996,11.562990768409279,3.359767046880963,7.955957992285965,2.217817484673815,0.8738615664845173
0,2021,7.6666846502617885,7.395340189899551,3.1299706121601507,12.274549030842971,3.6652547415560424,8.649406922622429,2.197728763280563,0.8226027397260274
0,2022,7.386372426649532,7.072971933144442,3.255021971255091,11.924104029702841,3.3919332378603007,8.335979900064597,2.299702625068112,0.8562785388127854
0,2023,7.338100430599962,6.983291627428672,2.921215013565642,12.34936194626162,3.5685930704757256,8.283302310721506,2.164939469277379,0.8392694063926941
0,2024,7.58177686205768,7.328456741136074,3.152010506661959,12.460113457395398,3.533183142944616,8.549787645827237,2.2621349403311233,0.828551912568306
1,2016,7.404951789557743,7.14359515368315,3.1437465160787244,11.97567397576925,3.386325325724973,8.35569884808838,2.319465147475716,0.8484744990892532
1,2017,7.210840497205661,6.9152624208960844,3.0632171147084817,11.77293448968509,3.2792698079139955,8.13784896236691,2.3399214308754814,0.854337899543379
1,2018,7.627113798435018,7.416954886863673,3.0737236257810716,12.245047340827545,3.5862856246256327,8.606532069176717,2.245527162741145,0.822945205479452
1,2019,7.026946801737916,6.656514416473099,3.0905222781212687,11.173888475928013,3.3270201313677275,7.935444270869607,2.2254472854406515,0.8938356164383562
