farm_id,year,gain_pct
0,2014,0.0
0,2015,0.0
0,2016,0.0
0,2017,0.0
0,2018,0.0
0,2019,0.0
0,2020,0.04287773305904685
0,2021,-0.09346112164512485
0,2022,0.17642015461698266
0,2023,-0.05088127852534832
0,2024,-0.0688726984829508
1,2016,0.0
1,2017,0.0
1,2018,0.0
1,2019,0.0
1,2020,0.0
1,2021,0.0
1,2022,0.0
1,2023,0.0
1,2024,0.0
2,2014,-0.27964776933935653
2,2015,1.351462977078615
2,2016,0.28271268937303484
2,2017,-0.04756706822824801
2,2018,0.3415867764142547
2,2019,0.25351177483367976
2,2020,-0.033826677351206445
2,2021,-0.050659790178583776
2,2022,0.41005598371948515
2,2023,-0.055282419263171664
2,2024,0.09966803097214373
3,2019,0.005613339939689894
3,2020,-0.4071662185759387
3,2021,0.25849256664926107
3,2022,-0.3848450271943413
3,2023,-0.29818919581221515
3,2024,-0.09853136008539738
4,2019,0.9297884510081766
4,2020,6.197430014254955
4,2021,2.7774461144182627
4,2022,1.422150225455708
4,2023,1.1302903760364222
4,2024,2.1035062981804566
5,2018,-0.04124721189460524
5,2019,0.3404663269972249
5,2020,0.010687304436576818
5,2021,0.3276409924471869
5,2022,0.14085948410477034
5,2023,0.12095706452524423
5,2024,0.17304689384823135
6,2021,0.5081572080747763
6,2022,0.7211364570807863
6,2023,0.3026188943037375
6,2024,-0.06612616268192428
7,2014,-0.6164411896248554
7,2015,0.3523054455029926
7,2016,-1.887782501667143
7,2017,-0.04768813526759466
7,2018,-0.3003772930166077
7,2019,0.10412557603747838
7,2020,-0.1549293022582988
7,2021,-0.018426649217204542
7,2022,-0.07552091280791583
7,2023,-0.3875489413274467
7,2024,-0.09507765742349163
8,2021,0.6429172349647713
8,2022,-0.299003005930006
8,2023,0.4291315726751308
8,2024,-0.011846129439342962
9,2014,1.3849607093585106
9,2015,1.054386611348955
9,2016,1.0170031116430212
9,2017,1.258668055813403
9,2018,1.1919582090963938
9,2019,1.2717156328736028
9,2020,0.4311523328120385
9,2021,0.9575416506731721
9,2022,1.0976988655977122
9,2023,1.0105953929503846
9,2024,1.3099959853416534
10,2014,0.5917256691659263
10,2015,-0.10209200769792617
10,2016,0.06502820749071068
10,2017,0.06578293994143515
10,2018,0.02767926653960269
10,2019,0.15188987282768546
10,2020,0.15576970366770293
10,2021,0.12908712692669047
10,2022,0.2762018548128928
10,2023,-0.37774756541807847
10,2024,0.28552304434792897
11,2014,-0.12900163191719397
11,2015,-0.1414225116837974
11,2016,-0.18869996620313373
11,2017,0.29558090746886767
11,2018,0.2655518152600169
11,2019,-0.46819730263233117
11,2020,-0.5045642473180667
11,2021,-0.28082768319625967
11,2022,-0.46794241249705504
11,2023,-0.8294976437592676
11,2024,0.036505563961334614
12,2021,2.6235517431951205
12,2022,2.3804370416339053
12,2023,2.73100252031559
12,2024,2.64989958390144
13,2014,0.5603601633336319
13,2015,0.0502998864749362
13,2016,0.4585880073028704
13,2017,0.09990922819649803
13,2018,0.6134046127047597
13,2019,0.2448202866386659
13,2020,0.12413881909657365
13,2021,-0.44734165666879455
13,2022,0.0469892792178617
13,2023,0.09402722317828571
13,2024,0.39028317857951184
14,2017,0.0902720887800253
14,2018,0.15810924273723811
14,2019,0.7760180083899778
14,2020,0.9473928658085048
14,2021,0.4521612006367194
14,2022,0.13137850606017087
14,2023,0.6360559525000454
14,2024,0.4731360225250697
15,2014,0.6126565899371842
15,2015,-0.08419208502991286
15,2016,0.2974749409834037
15,2017,0.9229100764540606
15,2018,0.6390400789041251
15,2019,0.5167995574585953
15,2020,0.11923733909449875
15,2021,0.2756346746092715
15,2022,0.17428732278280407
15,2023,0.11282696104967632
15,2024,0.19553274072158316
16,2014,0.0
16,2015,0.0
16,2016,0.0
16,2017,0.0
16,2018,0.0
16,2019,0.0
16,2020,0.0
16,2021,0.0
16,2022,0.0
16,2023,0.0
16,2024,0.0
17,2014,-0.7614494936673339
17,2015,2.0014012622683492
17,2016,0.3883648298483131
17,2017,0.46042177923553723
17,2018,0.40086835185479425
17,2019,-0.10197469885314711
17,2020,0.27402333863816375
17,2021,-0.29221011397610314
17,2022,0.6042245942368436
17,2023,1.334816184245707
17,2024,-0.04425371181359057
18,2014,-0.07585056278895512
18,2015,0.010454000218014486
18,2016,-0.16273189818809794
18,2017,0.22786111251038255
18,2018,0.09962156373332715
18,2019,0.022246913794316484
18,2020,0.1629421552631754
18,2021,-0.2771592886654058
18,2022,-0.1061766794023475
18,2023,0.07796679020203176
18,2024,0.20308292035400038
19,2018,0.8165279680150458
19,2019,0.5675025337896328
19,2020,0.7564995997456494
19,2021,1.1070268496255535
19,2022,0.47587299854798804
19,2023,0.7222475025657964
19,2024,1.048704787197321
20,2014,0.16463936850282848
20,2015,-0.6119557723804089
20,2016,-0.009309668738715415
20,2017,-0.22654459359018891
20,2018,-0.26624677153502935
20,2019,0.3241202767584665
20,2020,-0.08983417123126129
20,2021,-0.18076979317168024
20,2022,-0.04773202100842998
20,2023,-0.27189739422936926
20,2024,-0.20716208649567722
21,2021,0.39199784448118
21,2022,0.782279435371464
21,2023,1.0260045163823208
21,2024,0.9920237583909461
