farm_id,A,phi_opt_deg,dphi_deg,G_recon_2024,G_sim_2024
167,1.6231649555296752,0,0,0.0,0.0
168,1.9444200595571064,130,50,2.2897964427163413,2.500662054932401
169,0.3464173969809843,30,30,0.17290920470744808,0.4791457794148357
170,2.9445235152312104,0,0,0.0,0.0
165,1.3542832443356785,75,75,2.5571179342778856,1.834568907668177
166,0.8964091151037609,85,85,1.7950462620289505,0.6354205072041985
160,1.2448326063540707,55,55,1.6777335145407481,3.1676163632739174
161,0.5724728185493025,50,50,0.6725502548069375,1.0591766820523763
162,0.8585876519540118,35,35,0.5632792864882324,0.8564337464959104
163,0.5721290384092308,55,55,0.7693140852801955,1.0182193642775728
164,0.15563732329007152,60,60,0.2336377987431861,-0.007747856492446026
156,0.19463832651840443,75,75,0.36381331186522015,0.21233033354066677
157,4.2672947819853375,90,90,8.915019735976985,7.724633118698487
158,2.000825267057411,50,50,2.356452177981395,1.1159126299277844
159,15.975271516023874,20,20,3.329987410996741,4.478705622485579
155,7.879812512561495,100,80,16.50666713428146,12.155491915189188
138,0.13473313248199462,90,90,0.26982981512627924,0.23553929167912102
151,1.5021505090136187,0,0,0.0,0.0
152,3.105137765942021,0,0,0.0,0.0
153,6.388566900920512,10,10,0.3634582754269934,0.35855586849289356
154,6.769668686087433,10,10,0.3838431489368497,0.30969847496402636
148,0.5785912972791593,60,60,0.870404989679423,0.5929565805585346
149,9.047336759429617,0,0,0.0,0.0
150,0.9150573559833123,120,60,1.3788948734604065,1.2256743381420687
146,0.16951512187238904,90,90,0.3396059271460656,0.13115505488143775
147,1.3778440125102704,165,15,0.18241937977421016,0.1213640880808109
145,4.8312857306029695,50,50,5.7182022057019966,0.5901983405377731
143,16.567040996062474,20,20,3.4394478859248525,0.3540150975241074
144,3.7554644767697587,5,5,0.055019111278346994,0.08507930651280304
141,19.82937026187862,150,30,9.020346206813155,3.2298403835510525
142,1.099259617042738,160,20,0.2550303320523733,0.33932122746860305
139,1.8845873037009588,175,5,0.02810941731778606,0.7192178106327995
140,1.890899271008891,5,5,0.028201841877318445,0.24165901472630313
136,2.077836505716014,5,5,0.030934012139453043,0.011525956973934548
137,2.6501102633679867,40,40,2.1798918704863386,2.0943398972592897
129,0.04135062721106496,15,15,0.005537950405409723,-0.043403387234830504
135,3.5064964417254996,0,0,0.0,0.0
132,1.0654169458020701,165,15,0.14143382611792157,-0.023186143457698538
133,15.650070109105114,15,15,1.846455142560462,1.6671152372885523
134,2.0608565803689567,105,75,3.9154926501761764,4.983283232784208
131,1.0340139786260192,130,50,1.2157515600708695,-0.17158759243373067
130,21.3525819659288,20,20,4.293299118872401,1.4697984029531375
126,18.06154667161167,140,40,14.471320083655504,5.633498217566024
127,0.8324814826304535,115,65,1.3749477310199005,1.1366461205070566
128,2.86800570205481,170,10,0.16842283821208456,0.8570031275567658
125,2.1282003045215165,140,40,1.7521669250536611,0.8687757632534598
124,6.660916582481052,145,35,4.28512657120155,0.40931078578732016
121,1.2624681100290538,80,80,2.478199752874657,3.0662006099202666
122,2.350620819212386,55,55,3.180147592779957,3.4160463963334164
123,1.2251293014332219,130,50,1.4409362409829392,2.5549265693429524
117,0.12563538879316613,10,10,0.007567806584540616,-0.08663517282457844
118,1.7918674367448544,175,5,0.02675044234013618,-0.039674235304265615
119,3.4509934597761736,40,40,2.8347472640219875,3.0606642399875206
120,3.2361358747402758,10,10,0.18940317400120374,1.2748122587068034
114,0.7499463713942269,50,50,0.8813209083342065,1.481369883689987
115,12.870433818399645,165,15,1.551391207280354,1.6082812485331166
116,0.3991951153648193,25,25,0.14223247613548298,1.3262556572672946
111,8.273634168280706,150,30,3.972482739507864,1.3301058178114333
112,25.018136975517024,15,15,2.7549071825530422,0.7505363017636268
113,0.9717582838815785,15,15,0.12910442301749805,0.2421145767763866
106,2.473372647444689,170,10,0.14577451626588622,-0.09005073279613196
108,2.79166624201138,175,5,0.04127687664321004,-0.08177008948329068
109,1.4477177687013836,20,20,0.33498656170699637,0.674226947809875
110,2.9511414264995173,45,45,2.9511414264995177,2.098305875686979
93,0.27913881540263835,35,35,0.1834925354132025,0.38384711101255853
104,0.859981980469422,55,55,1.157517761107537,0.7405879416683137
107,18.89450737232436,25,25,6.018407240524369,3.2960629494765747
105,4.578138068961736,135,45,4.578138068961737,3.0786906377086254
103,5.697031434604376,130,50,6.753117745595337,3.5059982602183792
102,1.67770493968518,125,55,2.264507770378187,1.2451415594184612
101,6.600155872609006,10,10,0.3747929998395512,0.260668341110426
98,0.35708661607446474,135,45,0.3570866160744648,0.17843249339006828
99,1.259262114813618,90,90,2.5506435171223067,0.458011543302983
100,3.0422890762086765,55,55,4.125742569726664,1.9251236913298886
97,3.3176854609726183,35,35,2.158477629127412,2.7496771816957644
94,3.32201450761689,30,30,1.6338685782067341,1.1760052264378373
95,0.5254978826647686,175,5,0.007942390610760445,0.3075658323189012
96,1.360732279697625,55,55,1.8346686374085024,1.7218128905114538
92,4.3570000345263615,140,40,3.573379262792363,3.2729474312339635
88,2.1449355373827075,30,30,1.0610879425104587,1.4349632603075646
89,0.845063029000385,115,65,1.3958412277820624,1.2421472069396478
90,4.805565332692087,135,45,4.805565332692088,1.0770012166710918
91,6.801205225165621,135,45,6.801205225165623,3.880451193049539
85,3.256138582955267,130,50,3.8432919527556146,3.4150999392728254
86,21.363656541511972,25,25,6.70993485601418,2.301914572295294
87,0.3701660483059211,90,90,0.7430827366136082,0.45968515163306023
84,0.6271293570474715,105,75,1.1766297047656773,1.565133260952778
82,2.062609584377765,0,0,0.0,0.0
83,1.0277882769022773,75,75,1.9351032092250608,0.6871207830134951
81,3.6996401928520273,20,20,0.8416969427002062,0.7614221255173304
77,3.7843758746648075,145,35,2.458225477475793,2.1810666320378536
78,2.3114098240726966,150,30,1.1425009721807915,0.7548022954505296
79,1.874729861156621,120,60,2.838703805692484,1.009261341721479
80,0.11493057959676387,65,65,0.18894611788002535,0.03319744484087117
76,2.595783564940677,160,20,0.5954574048743513,0.5993655067440873
74,9.000118069633443,155,25,3.0391347478383524,0.22959909734452388
75,0.37222558955371265,45,45,0.3722255895537127,0.31413608613102273
73,0.46236256298371575,5,5,0.006992486788709899,0.20108275394161712
72,2.3249001067134007,5,5,0.03452986781641306,-0.029975160758288766
71,1.4458217001159437,60,60,2.1845247163707575,1.6892601001410323
70,1.3565125967723912,25,25,0.48037448431924806,0.9231576860107449
69,0.5405850903896668,70,70,0.9586672530111544,0.7006731055162474
68,0.5995775561763174,170,10,0.03595636619173141,0.5713509911127401
67,0.8062824591677261,40,40,0.6653414383622314,1.2978327118571498
66,5.560136497043811,100,80,11.379514812880076,9.907004972286737
63,0.567270663414238,30,30,0.2828331170573757,0.614228866127986
64,11.6329486812699,175,5,0.1585650694519084,0.4970726064524422
65,0.5012220902187221,150,30,0.24998455620045507,-0.12696479811339367
62,0.9866545635470265,10,10,0.05895593973532367,0.8691449694752107
57,15.790969504033365,40,40,12.700635713434826,16.34267701950225
59,0.7415164928948403,95,85,1.4825943469633052,-0.15433657025173408
60,0.5947170524564164,175,5,0.008982479585905194,-0.06463230250051133
61,0.5098015193237503,150,30,0.2542526676804969,-0.07304804670917875
58,0.35864103438295053,105,75,0.6713183437238256,0.5514836779108911
56,3.1067503150542697,105,75,5.957564762320109,0.8444190179606847
55,0.5559021378948397,0,0,0.0,0.0
54,0.27795868806799395,45,45,0.277958688067994,0.38923754465813865
52,5.4764089983948665,175,5,0.07894147837225893,0.04515274796010882
53,0.34868193946172144,145,35,0.22915241398333164,0.23927143151005748
51,0.3456222818808866,0,0,0.0,0.0
50,2.043657282235818,0,0,0.0,0.0
49,1.774712494702533,140,40,1.4620312805811964,0.5429577015165998
41,3.5959558024822043,85,85,7.39931475073042,0.3742008147355369
48,1.0038244032704038,30,30,0.49940562387332915,0.4206415068834568
47,3.133749548772874,70,70,5.670465690017132,1.0395657795913449
46,2.781769307034277,100,80,5.540609374908944,0.8774457457716656
45,4.046158566660509,175,5,0.05911470360284923,0.04389908428412692
44,1.845038184200798,175,5,0.027530052564009706,-0.07010415775681178
33,1.789824825908151,0,0,0.0,0.0
42,4.268885625046844,125,55,5.813814803346801,0.18353623487090687
43,0.8110348485532972,175,5,0.012223808537316763,0.020928836152678265
37,1.149706578091215,75,75,2.1669575383293904,0.7524678644652116
39,2.1887400414256346,130,50,2.5786113075576482,0.7197514335963717
40,0.30043912042005205,0,0,0.0,0.0
38,1.9812300578879571,25,25,0.698820376432654,0.49351512827005006
36,0.7011929347283868,75,75,1.3164379101412682,1.2857355132443127
35,2.3926451832257145,165,15,0.314046344661696,1.107886742867481
34,2.7210607116491548,140,40,2.237978865716557,1.596761548448744
32,5.642060740369516,10,10,0.3231263733663555,0.4537392619375691
30,0.8023674663591553,55,55,1.0797564328190103,0.4860506732484948
31,0.12396333620030175,115,65,0.203807831118061,0.3506069153546676
29,0.42078899837903067,170,10,0.02527673437339391,-0.005328611357391377
28,2.9109589826430047,30,30,1.4345991942662928,2.642609440442345
27,0.2556276353218433,10,10,0.01537928993290112,-0.004518174652701212
26,0.18238454101429255,70,70,0.3225498546152041,0.06809984150089043
25,0.3616753416677438,30,30,0.18051123851454878,0.6345201450457472
23,0.15701235172466466,160,20,0.036689782287337075,-0.08260954387062647
24,0.4910131745106916,20,20,0.11444479043134922,0.053639786658021826
22,0.9741830702259603,130,50,1.1452856088002608,1.3503851415765933
21,5.734782519607898,115,65,9.78160375696397,1.0005065880394737
20,0.2875819746490317,175,5,0.004356677712274183,-0.12130010442586991
19,2.1177763041452646,15,15,0.2786182328751707,0.734356301587269
18,0.1415099369362713,80,80,0.27485126623282713,0.28359469512115876
17,0.834239495579588,130,50,0.9805240917938027,0.13211415784706304
16,0.14125602001516877,0,0,0.0,0.0
14,1.591232067841469,150,30,0.7893359505367631,0.38047634248985496
15,0.13911898941981454,85,85,0.27650327337153213,0.1578578362108951
13,0.35355384461835043,115,65,0.5821368396564555,-0.11295981787109444
12,5.640706315255273,60,60,8.706616815151575,2.639959535480707
10,0.1442257601142116,70,70,0.2549908245893435,0.22811409649188263
11,0.5750860417480558,5,5,0.008687646768144014,0.17379309638414497
9,0.6291759445557146,140,40,0.5193532676086154,1.3954755450042988
8,1.8682636711038982,20,20,0.43092340809120144,0.4041643167791875
7,0.2097953530687171,0,0,0.0,0.0
6,2.7642742937950944,165,15,0.36168406268745845,-0.18472759105393477
5,0.12659110695266326,145,35,0.08325835028369766,0.10983218916342796
4,3.963024136016685,35,35,2.572718548941072,1.9291111640832082
3,2.9683568736342476,175,5,0.04381517879835601,-0.11210849535825407
2,0.35784685421196333,10,10,0.021508480221047423,-0.08589598594347381
1,1.7195209490991608,0,0,0.0,0.0
0,1.752726628786399,175,5,0.026176031684885744,-0.03407171168194889
