farm_id,n_turb,main_label,scenario_S2,capacity_MW,E_base,E_S1,E_S2,E_S3,G_plan_S1,G_plan_S2,G_plan_S3,G_info_S1,G_info_S2,G_info_S3,V1,V2,V3,pos_frac_S1,pos_frac_S2,pos_frac_S3,g_so_S1_p05,g_so_S1_p95,g_so_S2_p05,g_so_S2_p95,g_so_S3_p05,g_so_S3_p95,monotonic,dE_GWh_S1,e_MWhperMW_S1,dE_GWh_S2,e_MWhperMW_S2,dE_GWh_S3,e_MWhperMW_S3,e_base_MWhperMW,area_real_km2,Y_area_S1,Y_area_S2,Y_area_S3,corridor
0,928,C,S_C,9280,34044654.54046248,34050394.245624594,34379876.0,38121168.0,0.016859343234908397,0.9846522576374106,11.974019165600685,1.752726628786399,0.5117790309271746,14.486898105986294,5739.705162115395,329481.7543754056,3741292.0,1.0,0.8,0.2,0.9777685214683038,2.190182160564064,0.09240319654023961,0.9836517151943317,-0.085873666352081,0.1160175388474075,True,5.326446390441561,3405.0394245624593,311.08551445081844,3437.9876,3783.0044904508172,3812.1168,3404.465454046248,3009.2414144729128,11315.275033056372,556795.1932108962,79280.35937110058,other
1,588,C,S_C,5880,33701500.48263328,33702571.41963244,34113248.0,37763784.0,0.0031777131101815076,1.2217483241700169,12.05371707250856,1.7227533036519742,0.5834938358597113,14.367267437324472,1070.9369991645217,410676.5803675577,3650536.0,1.0,1.0,1.0,1.230129678781461,2.0834733170509026,0.2983936362508961,0.8230310873164774,0.05761515038505646,0.236152874664926,True,0.6297109555077077,3370.257141963244,242.10754021163183,3411.3248,2388.622708211633,3776.3784,3370.150048263328,1574.3978347671784,21406.642384398587,552477.0511450134,78537.11005739955,other
2,572,C,S_C,5720,44549299.95707775,44556162.294056945,48636808.0,52562396.0,0.015403916527997484,9.175246405354233,17.987030212916228,0.35784685421196333,0.40296397918289373,10.713436816951424,6862.336979195476,4080645.7059430555,3925588.0,1.0,1.0,0.0,0.2840896285670999,0.5542722763682455,0.13631260652540098,0.5521821235445032,-0.09998053221406443,-0.022615806619108343,True,3.925256752103633,4455.616229405695,2338.0546005515293,4863.6808,4583.490936551528,5256.2396,4454.929995707775,624.0069496921817,71403.3109984371,787691.6399442878,109313.69270443391,other
3,441,C,S_C,4410,33694447.41004222,33702119.48342977,35108532.0,38841604.0,0.022769548033192435,4.1967881910902936,15.275978642177504,2.982161395084581,0.42653104970059524,14.075631358425323,7672.073387548327,1406412.5165702328,3733072.0,1.0,0.8,0.2,1.704915756523007,3.679344968907946,0.031002258817220074,0.8369082253670449,-0.12216686668422408,0.09101548942254842,True,3.383384363910741,3370.211948342977,623.6113041713825,3510.8532,2269.8960561713834,3884.1604,3369.4447410042217,504.8712901142484,66753.88389742511,568596.0548051696,80778.64570335246,other
4,364,C,S_C,3640,32377784.304087996,33143902.292243004,34712612.0,38335792.0,2.3661841124140106,7.211202823465625,18.40153001192163,3.998910204734018,1.815416175495334,15.729907613683435,766117.9881550074,1568709.7077569962,3623180.0,1.0,1.0,0.0,3.5995855560297865,4.371430844399821,1.382800406218202,2.122659236574111,-0.3273029754790431,-0.14383132143736727,True,278.86694768842386,3314.3902292243006,849.8772813119693,3471.2612,2168.7148013119704,3833.5792,3237.7784304087995,396.4318391205543,83605.55087040826,562183.9795290383,79726.71158805424,other
5,339,B,S_B0,3390,53154532.81327789,53205014.48596575,46396156.0,55561984.0,0.09497152926767541,-12.714582285990225,4.529155011443786,0.12685421173533906,0.4220453839194204,9.946397130868235,50481.67268785834,-6808858.485965751,9165828.0,1.0,0.6,0.8,0.03927877501466733,0.16986603266847855,-0.38748887822160943,0.8458493816177021,-0.008290744855911908,0.11013144253090047,False,17.11328704118325,5320.501448596575,-2291.0897397012054,4639.6156,816.1259522987953,5556.1984,5315.453281327789,841.9428348280384,63193.14362575761,2178018.77757957,115551.91747774728,other
6,292,C,S_C,2920,28978504.687166527,29058106.31155596,28747986.0,32323148.0,0.27469196650676353,-0.7954816497782056,11.541807794915961,2.7774089904365993,0.7193025959956318,16.399094520606255,79601.62438943237,-310120.3115559593,3575162.0,1.0,1.0,1.0,2.6071581359833664,3.0281251083849807,0.5773842470625961,0.8330814456952076,0.08410221848716051,0.3141123807587223,False,23.243674321713314,2905.8106311555957,-67.31145665262599,2874.7986,976.6358473473741,3232.3148,2897.850468716653,466.7266044440933,62259.37419223479,465584.5884753668,67222.25272439898,other
7,284,C,S_C,2840,48325906.94433902,48331064.58270418,51437016.0,55452708.0,0.010672615769213458,6.4377665156792645,14.747371557598512,0.22049035948986526,0.30478141756615273,10.306587641586242,5157.638365156949,3105951.417295821,4015692.0,0.8,1.0,0.2,-0.0012671881394681409,0.6482612105812406,0.13237114295285096,0.8274696210413663,-0.0696611323113607,0.08829745801876364,True,1.464769295703627,4833.1064582704175,883.5549718077187,5143.7016,2024.0114998077183,5545.2708,4832.590694433902,219.10316962142903,220585.87589678227,833042.0756000389,115324.65685051162,other
8,278,C,S_C,2780,37557233.49196506,37776076.09137017,37570232.0,41808404.0,0.5826909467437976,0.03460986560077159,11.319179057595992,1.8995324682005026,1.650820413826216,16.321017713912617,218842.59940510988,-205844.0913701728,4238172.0,1.0,1.0,0.0,1.5969532616155149,2.041351969939782,1.3114242297253942,1.9743673751755246,-0.5448870447761651,-0.2437265040756081,False,60.83824263462094,3777.6076091370173,3.6135852337129926,3757.0232,1181.825401233713,4180.8404,3755.723349196506,513.1268305080745,73619.37409113074,608464.2244032002,86948.68147408702,other
9,267,C,S_C,2670,44869360.71653381,45358183.83468285,48720852.0,52480648.0,1.08943633326364,8.583789075575046,16.96321757635723,0.6291759445557146,0.4067627846460433,10.297169755557022,488823.11814904213,3362668.165317148,3759796.0,1.0,1.0,0.0,0.3435350066334272,0.7026320323133283,0.16450168956932373,0.5827896260175599,-0.1778698899994332,-0.014654048547942871,True,130.51577254579345,4535.818383468285,1028.3481726854736,4872.0852,2032.213704685473,5248.0648,4486.936071653381,264.3752323532405,171567.44764229003,789052.7645515499,109143.6818900258,other
