farm_id,paradigm,A_built,A_fixed,A_C0,A_C1,A_C2,A_C3,t_built_bin,theta_energy_deg,theta_star_off_deg,pos_frac,wake_loss_built,wake_loss_rot,aep_built_MWh
149,S_A,0.1296,0.1296,0.1296,0.1001,0.0838,0.0,25,233.0,45,0.8,0.0391,0.0381,36.5
149,S_B0,0.4674,0.4674,0.4674,0.4206,0.3532,-0.0,0,233.0,15,0.8,0.2783,0.2741,27.4
149,S_B45,0.4674,0.4673,0.4674,0.4205,0.3531,0.0,9,233.0,15,0.8,0.2783,0.2741,27.4
149,S_C,0.3793,0.3791,0.3793,0.3412,0.29,-0.0,25,233.0,160,1.0,0.135,0.1367,32.8
149,S_D,0.6319,0.6319,0.6319,0.5368,0.4475,0.0,0,233.0,15,0.8,0.2117,0.2113,29.9
149,S_E,0.1027,0.1027,0.1027,0.0793,0.0658,0.0,25,233.0,50,0.8,0.0266,0.0258,36.9
150,S_A,0.171,0.1712,0.171,0.144,0.1511,0.0,28,220.4,160,1.0,0.0333,0.0323,45.2
150,S_B0,0.5558,0.5558,0.5558,0.437,0.4413,0.0,0,220.4,90,0.8,0.2278,0.2321,36.1
150,S_B45,0.5559,0.5558,0.5559,0.4371,0.4414,0.0,9,220.4,90,0.8,0.2278,0.2321,36.1
150,S_C,0.4852,0.4854,0.4852,0.3625,0.3684,-0.0,28,220.4,40,1.0,0.1164,0.1149,41.3
150,S_D,0.7032,0.7032,0.7032,0.5941,0.6124,-0.0,0,220.4,90,0.8,0.1759,0.1779,38.5
150,S_E,0.1206,0.1206,0.1206,0.1035,0.1104,0.0,28,220.4,130,1.0,0.0227,0.022,45.7
151,S_A,0.2668,0.2669,0.2668,0.218,0.2085,-0.0,5,333.5,95,1.0,0.0311,0.0296,36.5
151,S_B0,1.1536,1.1536,1.1536,0.8848,0.8288,0.0,0,333.5,45,1.0,0.231,0.231,29.0
151,S_B45,1.1535,1.1536,1.1535,0.8847,0.8287,-0.0,9,333.5,135,1.0,0.231,0.231,29.0
151,S_C,0.8,0.8,0.8,0.6021,0.5733,-0.0,5,333.5,20,1.0,0.1083,0.111,33.6
151,S_D,0.9316,0.9316,0.9316,0.7434,0.7013,-0.0,0,333.5,135,1.0,0.1788,0.1756,31.0
151,S_E,0.1914,0.1914,0.1914,0.1629,0.1567,0.0,5,333.5,95,1.0,0.0209,0.0199,36.9
152,S_A,0.179,0.179,0.179,0.1748,0.1959,0.0,23,245.3,80,1.0,0.0298,0.0296,49.8
152,S_B0,0.6683,0.6683,0.6683,0.4767,0.5061,0.0,0,245.3,5,0.8,0.2135,0.2187,40.3
152,S_B45,0.6682,0.6681,0.6682,0.4767,0.5062,-0.0,9,245.3,5,0.8,0.2135,0.2187,40.3
152,S_C,0.4958,0.4958,0.4958,0.3851,0.409,-0.0,23,245.3,160,1.0,0.1048,0.1068,45.9
152,S_D,0.7789,0.7789,0.7789,0.5877,0.642,0.0,0,245.3,0,1.0,0.1603,0.1667,43.1
152,S_E,0.1281,0.1281,0.1281,0.1255,0.144,0.0,23,245.3,80,1.0,0.0203,0.0201,50.3
153,S_A,0.1556,0.1557,0.1556,0.1452,0.1331,0.0,25,234.9,100,1.0,0.0369,0.0367,43.4
153,S_B0,0.5694,0.5694,0.5694,0.4498,0.4074,0.0,0,234.9,45,0.8,0.2574,0.2596,33.4
153,S_B45,0.5695,0.5694,0.5695,0.4497,0.4073,-0.0,9,234.9,45,0.8,0.2573,0.2596,33.4
153,S_C,0.5009,0.5006,0.5009,0.3848,0.3515,-0.0,25,234.9,155,0.8,0.1278,0.1296,39.3
153,S_D,0.7415,0.7415,0.7415,0.614,0.5603,0.0,0,234.9,10,1.0,0.1952,0.1998,36.2
153,S_E,0.1075,0.1076,0.1075,0.1085,0.1008,0.0,25,234.9,100,1.0,0.0251,0.0249,43.9
154,S_A,0.1274,0.1274,0.1274,0.1002,0.1058,-0.0,25,233.1,85,1.0,0.0295,0.0291,50.5
154,S_B0,0.4233,0.4233,0.4233,0.2578,0.2696,0.0,0,233.1,45,0.8,0.2158,0.2176,40.8
154,S_B45,0.4233,0.4232,0.4233,0.2577,0.2696,-0.0,9,233.1,45,0.8,0.2158,0.2176,40.8
154,S_C,0.3748,0.3745,0.3748,0.2719,0.2792,0.0,25,233.1,155,1.0,0.1045,0.1056,46.6
154,S_D,0.514,0.514,0.514,0.4201,0.4565,0.0,0,233.1,10,0.8,0.1619,0.1655,43.6
154,S_E,0.0911,0.0911,0.0911,0.0741,0.0822,-0.0,25,233.1,85,1.0,0.02,0.0197,50.9
155,S_A,0.8678,0.8679,0.8678,0.6989,0.5613,0.0,8,321.1,20,1.0,0.0422,0.0453,24.8
155,S_B0,2.7988,2.7988,2.7988,2.486,2.0563,0.0,0,321.1,45,1.0,0.2908,0.2973,18.4
155,S_B45,2.7981,2.7983,2.7981,2.4852,2.0556,0.0,9,321.1,45,1.0,0.2908,0.2973,18.4
155,S_C,1.675,1.6749,1.675,1.5534,1.2555,-0.0,8,321.1,95,1.0,0.1453,0.1538,22.2
155,S_D,2.5144,2.5144,2.5144,2.0985,1.7287,0.0,0,321.1,85,1.0,0.2328,0.232,19.9
155,S_E,0.6188,0.6188,0.6188,0.5044,0.4009,0.0,8,321.1,20,1.0,0.0293,0.0311,25.2
156,S_A,0.1942,0.1942,0.1942,0.1871,0.2064,0.0,19,264.5,75,1.0,0.0264,0.0273,47.6
156,S_B0,0.7932,0.7932,0.7932,0.5928,0.6311,0.0,0,264.5,5,1.0,0.205,0.2106,38.9
156,S_B45,0.7927,0.7927,0.7927,0.5924,0.6307,0.0,9,264.5,5,1.0,0.205,0.2106,38.9
156,S_C,0.5278,0.5276,0.5278,0.4344,0.464,-0.0,19,264.5,0,1.0,0.0966,0.1013,44.2
156,S_D,0.782,0.782,0.782,0.6155,0.6625,0.0,0,264.5,5,1.0,0.1541,0.16,41.4
156,S_E,0.1401,0.1401,0.1401,0.1378,0.1543,0.0,19,264.5,75,1.0,0.0178,0.0183,48.1
157,S_A,0.1946,0.1945,0.1946,0.13,0.1266,0.0,26,232.0,70,1.0,0.0339,0.0334,46.2
157,S_B0,0.5263,0.5263,0.5263,0.4081,0.3917,0.0,0,232.0,15,0.8,0.2424,0.2416,36.2
157,S_B45,0.5263,0.5263,0.5263,0.4082,0.3918,0.0,9,232.0,15,0.8,0.2423,0.2416,36.2
157,S_C,0.4702,0.4698,0.4702,0.3445,0.3328,0.0,26,232.0,165,1.0,0.1179,0.1192,42.2
157,S_D,0.6115,0.6115,0.6115,0.493,0.4815,-0.0,0,232.0,15,1.0,0.1833,0.185,39.1
157,S_E,0.1421,0.1421,0.1421,0.0963,0.0963,0.0,26,232.0,70,1.0,0.023,0.0227,46.7
158,S_A,0.2594,0.2593,0.2594,0.2356,0.2595,0.0,25,233.0,55,1.0,0.03,0.0282,45.6
158,S_B0,0.7753,0.7753,0.7753,0.7703,0.8028,-0.0,0,233.0,0,1.0,0.2095,0.2155,37.1
158,S_B45,0.7747,0.7747,0.7747,0.7698,0.8023,0.0,9,233.0,0,1.0,0.2095,0.2155,37.1
158,S_C,0.5646,0.5645,0.5646,0.5059,0.5389,-0.0,25,233.0,145,1.0,0.1048,0.1042,42.0
158,S_D,0.7366,0.7366,0.7366,0.667,0.7014,0.0,0,233.0,0,1.0,0.1579,0.1641,39.6
158,S_E,0.1821,0.1821,0.1821,0.1667,0.1852,0.0,25,233.0,55,1.0,0.0203,0.019,46.0
159,S_A,1.5687,1.5689,1.5687,0.9259,0.603,-0.0,19,85.8,160,1.0,0.0716,0.0491,25.4
159,S_B0,5.8894,5.8894,5.8894,3.2213,2.2611,-0.0,0,85.8,75,1.0,0.3351,0.332,18.2
159,S_B45,5.8891,5.889,5.8891,3.2212,2.261,0.0,9,85.8,75,1.0,0.3351,0.332,18.2
159,S_C,3.4838,3.4841,3.4838,1.8824,1.3005,0.0,19,85.8,70,1.0,0.1941,0.1711,22.0
159,S_D,5.8137,5.8137,5.8137,3.3425,2.2996,-0.0,0,85.8,170,1.0,0.2503,0.2594,20.5
159,S_E,1.058,1.0581,1.058,0.6407,0.4153,-0.0,19,85.8,160,1.0,0.0504,0.0335,25.9
160,S_A,0.2089,0.2088,0.2089,0.1807,0.2144,0.0,19,266.6,85,1.0,0.0248,0.025,50.2
160,S_B0,0.6632,0.6632,0.6632,0.4687,0.5298,-0.0,0,266.6,5,1.0,0.1918,0.1968,41.6
160,S_B45,0.6628,0.6628,0.6628,0.4684,0.5294,0.0,9,266.6,5,1.0,0.1918,0.1968,41.6
160,S_C,0.4702,0.4701,0.4702,0.3766,0.4256,-0.0,19,266.6,0,1.0,0.0896,0.0938,46.9
160,S_D,0.6839,0.6839,0.6839,0.5096,0.588,0.0,0,266.6,5,1.0,0.1436,0.149,44.1
160,S_E,0.1517,0.1518,0.1517,0.1319,0.1597,-0.0,19,266.6,85,1.0,0.0168,0.0168,50.7
161,S_A,0.2071,0.2072,0.2071,0.1436,0.185,-0.0,28,221.7,130,1.0,0.0256,0.0249,53.0
161,S_B0,0.4676,0.4676,0.4676,0.436,0.5244,-0.0,0,221.7,0,1.0,0.1858,0.1896,44.3
161,S_B45,0.4674,0.4674,0.4674,0.436,0.5245,0.0,9,221.7,90,1.0,0.1858,0.1896,44.3
161,S_C,0.4171,0.4172,0.4171,0.3311,0.4015,0.0,28,221.7,40,1.0,0.0922,0.0911,49.4
161,S_D,0.4555,0.4555,0.4555,0.477,0.5972,0.0,0,221.7,90,1.0,0.1411,0.1436,46.8
161,S_E,0.1409,0.1409,0.1409,0.1029,0.1376,0.0,28,221.7,130,1.0,0.0172,0.0168,53.5
162,S_A,0.2414,0.2415,0.2414,0.2215,0.2234,0.0,24,239.6,120,1.0,0.0341,0.0341,43.9
162,S_B0,0.9504,0.9504,0.9504,0.5673,0.5529,0.0,0,239.6,65,1.0,0.2457,0.2425,34.3
162,S_B45,0.9503,0.9503,0.9503,0.5673,0.5529,0.0,9,239.6,65,1.0,0.2457,0.2425,34.3
162,S_C,0.5449,0.5446,0.5449,0.3785,0.3728,-0.0,24,239.6,35,1.0,0.12,0.1206,40.0
162,S_D,0.7352,0.7352,0.7352,0.5336,0.5245,-0.0,0,239.6,65,1.0,0.1873,0.1863,36.9
162,S_E,0.1662,0.1663,0.1662,0.1586,0.1615,0.0,24,239.6,120,1.0,0.0232,0.0232,44.4
163,S_A,0.1392,0.1392,0.1392,0.1471,0.1612,0.0,25,236.0,35,1.0,0.0296,0.028,47.8
163,S_B0,0.7464,0.7464,0.7464,0.6379,0.6435,0.0,0,236.0,65,0.8,0.2159,0.2178,38.6
163,S_B45,0.7463,0.7463,0.7463,0.6378,0.6434,0.0,9,236.0,65,0.8,0.2159,0.2178,38.6
163,S_C,0.3947,0.3945,0.3947,0.3778,0.395,0.0,25,236.0,30,1.0,0.1066,0.1044,44.0
163,S_D,0.604,0.604,0.604,0.5275,0.541,-0.0,0,236.0,160,1.0,0.162,0.1652,41.3
163,S_E,0.0982,0.0982,0.0982,0.103,0.1144,0.0,25,236.0,35,1.0,0.02,0.0188,48.3
164,S_A,0.0931,0.0932,0.0931,0.1273,0.1822,0.0,27,222.6,135,1.0,0.0237,0.0228,55.7
164,S_B0,0.3213,0.3213,0.3213,0.2712,0.3393,0.0,0,222.6,0,0.8,0.173,0.1756,47.2
164,S_B45,0.3212,0.3212,0.3212,0.2712,0.3393,0.0,9,222.6,90,0.8,0.173,0.1756,47.2
164,S_C,0.2531,0.2533,0.2531,0.2185,0.2818,0.0,27,222.6,45,0.8,0.0843,0.0839,52.3
164,S_D,0.3702,0.3702,0.3702,0.3639,0.4903,-0.0,0,222.6,90,1.0,0.1313,0.1326,49.6
164,S_E,0.0653,0.0653,0.0653,0.0889,0.132,0.0,27,222.6,135,1.0,0.016,0.0154,56.2
