farm_id,template,dE_GWh_orientation,pct_orientation,A_pct,E_rot_mean_kWh_per_turb
18,S_A,0.010829,0.113,0.113,55041483.8
18,S_B0,0.013432,0.168,0.168,45895495.4
18,S_B45,0.013418,0.168,0.168,45895608.1
18,S_C,0.021304,0.238,0.238,51372082.9
18,S_D,0.022186,0.263,0.261,48455862.7
18,S_E,0.008157,0.084,0.084,55487525.1
19,S_A,0.013602,0.243,0.243,32697836.7
19,S_B0,0.035913,0.849,0.849,24728091.8
19,S_B45,0.03591,0.849,0.849,24728077.7
19,S_C,0.03258,0.648,0.648,29405412.8
19,S_D,0.04569,0.994,0.994,26867904.8
19,S_E,0.00988,0.175,0.175,33097389.2
20,S_A,0.016114,0.172,0.172,56251849.2
20,S_B0,0.025905,0.328,0.328,47287906.5
20,S_B45,0.02589,0.328,0.328,47288016.2
20,S_C,0.02787,0.317,0.317,52669108.2
20,S_D,0.03144,0.378,0.378,49807539.3
20,S_E,0.011847,0.125,0.125,56685630.7
21,S_A,0.041418,0.543,0.543,47069279.1
21,S_B0,0.182587,2.894,2.893,38951902.1
21,S_B45,0.182552,2.893,2.893,38951865.6
21,S_C,0.104346,1.466,1.466,43941849.2
21,S_D,0.160458,2.399,2.397,41295850.9
21,S_E,0.027142,0.353,0.353,47419618.1
22,S_A,0.011969,0.149,0.149,49852416.1
22,S_B0,0.037673,0.583,0.583,40136811.1
22,S_B45,0.037678,0.583,0.583,40136937.8
22,S_C,0.032719,0.443,0.443,45905751.4
22,S_D,0.033387,0.484,0.483,42820094.3
22,S_E,0.008179,0.101,0.101,50337876.7
23,S_A,0.014918,0.174,0.174,55073713.4
23,S_B0,0.021605,0.301,0.301,46039369.9
23,S_B45,0.02159,0.301,0.301,46039479.9
23,S_C,0.027417,0.342,0.341,51447018.9
23,S_D,0.03098,0.409,0.405,48568403.2
23,S_E,0.011197,0.129,0.129,55515163.2
24,S_A,0.013054,0.266,0.266,31503887.4
24,S_B0,0.030409,0.827,0.827,23569515.6
24,S_B45,0.030402,0.827,0.827,23569502.4
24,S_C,0.027722,0.63,0.63,28201471.4
24,S_D,0.036273,0.905,0.904,25682726.2
24,S_E,0.009491,0.191,0.191,31907692.4
25,S_A,0.008445,0.103,0.103,53828430.9
25,S_B0,0.039547,0.578,0.578,44989439.7
25,S_B45,0.039539,0.578,0.578,44989410.9
25,S_C,0.026195,0.342,0.342,50338290.9
25,S_D,0.036728,0.509,0.509,47485675.8
25,S_E,0.005671,0.069,0.069,54240463.9
26,S_A,0.014362,0.199,0.199,51590820.2
26,S_B0,0.038096,0.643,0.643,42342384.2
26,S_B45,0.038067,0.642,0.642,42342500.7
26,S_C,0.030295,0.452,0.452,47847285.6
26,S_D,0.040885,0.65,0.649,44908153.2
26,S_E,0.010746,0.147,0.147,52050272.0
27,S_A,0.013992,0.178,0.178,56979933.9
27,S_B0,0.03879,0.585,0.585,48063019.0
27,S_B45,0.038782,0.585,0.585,48063126.6
27,S_C,0.03043,0.413,0.413,53437155.6
27,S_D,0.03706,0.531,0.529,50585303.8
27,S_E,0.010231,0.129,0.129,57406598.2
28,S_A,0.010649,0.2,0.2,39778880.7
28,S_B0,0.035032,0.834,0.834,31333860.7
28,S_B45,0.03502,0.834,0.834,31333840.1
28,S_C,0.023127,0.475,0.475,36364399.1
28,S_D,0.031286,0.694,0.693,33654084.9
28,S_E,0.007877,0.146,0.146,40185560.7
29,S_A,0.006932,0.099,0.099,53667980.2
29,S_B0,0.027785,0.475,0.475,44664131.7
29,S_B45,0.027771,0.475,0.475,44664105.1
29,S_C,0.018373,0.28,0.28,50117270.9
29,S_D,0.028389,0.459,0.459,47209689.4
29,S_E,0.005228,0.074,0.074,54086141.3
30,S_A,0.00859,0.133,0.133,50002497.7
30,S_B0,0.019985,0.383,0.383,40490833.3
30,S_B45,0.019961,0.382,0.382,40490955.1
30,S_C,0.018693,0.314,0.314,46127592.2
30,S_D,0.0254,0.457,0.455,43110843.9
30,S_E,0.006644,0.102,0.102,50480810.5
31,S_A,0.011293,0.168,0.168,52068919.9
31,S_B0,0.023881,0.429,0.429,43153070.0
31,S_B45,0.023876,0.429,0.429,43153180.8
31,S_C,0.018237,0.292,0.292,48448671.1
31,S_D,0.021824,0.371,0.369,45618453.0
31,S_E,0.008459,0.125,0.125,52514593.7
32,S_A,0.020681,0.481,0.481,33594761.7
32,S_B0,0.105115,3.263,3.263,25164742.8
32,S_B45,0.105101,3.263,3.263,25164733.6
32,S_C,0.064665,1.677,1.677,30117482.0
32,S_D,0.107699,3.068,3.066,27428952.1
32,S_E,0.01317,0.303,0.303,34009148.1
33,S_A,0.019887,0.542,0.542,33653214.5
33,S_B0,0.068307,2.517,2.517,24898926.8
33,S_B45,0.068294,2.516,2.516,24898923.2
33,S_C,0.047502,1.454,1.454,29968852.3
33,S_D,0.070121,2.364,2.362,27208582.2
33,S_E,0.012916,0.347,0.347,34114622.3
34,S_A,0.042922,0.563,0.563,60952616.8
34,S_B0,0.243729,3.644,3.644,53510369.6
34,S_B45,0.243697,3.643,3.643,53510343.6
34,S_C,0.12251,1.683,1.683,58247218.8
34,S_D,0.195142,2.798,2.798,55787134.6
34,S_E,0.028234,0.369,0.369,61236465.8
35,S_A,0.02834,0.614,0.614,38432473.0
35,S_B0,0.100447,2.938,2.938,28488062.9
35,S_B45,0.10043,2.938,2.938,28488056.0
35,S_C,0.069108,1.681,1.68,34262155.3
35,S_D,0.084145,2.253,2.242,31120750.9
35,S_E,0.019593,0.419,0.419,38952445.4
36,S_A,0.00862,0.155,0.155,48049196.0
36,S_B0,0.043204,0.946,0.945,39387665.3
36,S_B45,0.043194,0.945,0.945,39387643.4
36,S_C,0.028504,0.552,0.551,44555265.2
36,S_D,0.038196,0.788,0.787,41781271.6
36,S_E,0.005869,0.104,0.104,48470372.9
37,S_A,0.009854,0.302,0.302,28648005.4
37,S_B0,0.035196,1.47,1.47,20997633.7
37,S_B45,0.03519,1.47,1.47,20997622.1
37,S_C,0.028609,0.987,0.987,25434575.0
37,S_D,0.041359,1.576,1.574,23015073.8
37,S_E,0.007413,0.224,0.224,29044157.9
38,S_A,0.008325,0.186,0.186,39022054.6
38,S_B0,0.036479,1.042,1.042,30434394.3
38,S_B45,0.036468,1.042,1.042,30434375.9
38,S_C,0.024346,0.596,0.596,35536784.7
38,S_D,0.032169,0.853,0.852,32784245.7
38,S_E,0.006424,0.142,0.142,39438352.4
39,S_A,0.03525,0.675,0.675,45830449.7
39,S_B0,0.197839,4.369,4.369,39724250.4
39,S_B45,0.197825,4.368,4.368,39724229.3
39,S_C,0.101369,2.045,2.045,43485662.6
39,S_D,0.173669,3.671,3.67,41498053.9
39,S_E,0.023432,0.446,0.446,46090670.9
40,S_A,0.012061,0.189,0.189,56086572.4
40,S_B0,0.035377,0.658,0.658,47139186.8
40,S_B45,0.035377,0.658,0.658,47139295.4
40,S_C,0.024968,0.417,0.417,52525504.3
40,S_D,0.033209,0.587,0.586,49664657.1
40,S_E,0.008307,0.129,0.129,56515723.9
41,S_A,0.031821,0.734,0.733,42531373.8
41,S_B0,0.129071,3.718,3.718,34032974.9
41,S_B45,0.129056,3.718,3.718,34032950.5
41,S_C,0.073834,1.847,1.847,39183641.0
41,S_D,0.119935,3.228,3.227,36431743.4
41,S_E,0.021225,0.485,0.485,42913527.6
42,S_A,0.030929,0.488,0.488,57041836.7
42,S_B0,0.169877,2.979,2.979,51371486.3
42,S_B45,0.16987,2.979,2.979,51371464.9
42,S_C,0.087924,1.443,1.443,54908010.7
42,S_D,0.142522,2.42,2.42,53050886.5
42,S_E,0.020493,0.322,0.322,57274222.7
43,S_A,0.005054,0.086,0.086,52771225.9
43,S_B0,0.012314,0.256,0.256,43272881.6
43,S_B45,0.012316,0.256,0.256,43272997.2
43,S_C,0.012306,0.226,0.227,48960429.9
43,S_D,0.01678,0.329,0.328,45931359.8
43,S_E,0.003611,0.061,0.061,53234433.1
44,S_A,0.005282,0.139,0.139,35135238.9
44,S_B0,0.01525,0.524,0.524,26949589.9
44,S_B45,0.015247,0.524,0.524,26949584.0
44,S_C,0.011246,0.328,0.328,31737260.4
44,S_D,0.018325,0.582,0.583,29144562.7
44,S_E,0.003763,0.098,0.098,35556078.0
45,S_A,0.036398,0.563,0.563,60952616.8
45,S_B0,0.206682,3.644,3.644,53510369.6
45,S_B45,0.206655,3.643,3.643,53510343.6
45,S_C,0.103889,1.683,1.683,58247218.8
45,S_D,0.16548,2.798,2.798,55787134.6
45,S_E,0.023943,0.369,0.369,61236465.8
46,S_A,0.026708,0.405,0.405,62878916.0
46,S_B0,0.154442,2.652,2.651,55468092.6
46,S_B45,0.154405,2.651,2.651,55468066.1
46,S_C,0.075073,1.187,1.187,60211430.3
46,S_D,0.125346,2.067,2.066,57758158.0
46,S_E,0.017204,0.259,0.259,63156901.1
47,S_A,0.024194,0.615,0.615,37812498.5
47,S_B0,0.097575,3.246,3.246,28907176.8
47,S_B45,0.097568,3.245,3.246,28907164.0
47,S_C,0.061623,1.732,1.732,34213816.8
47,S_D,0.093155,2.857,2.854,31350093.1
47,S_E,0.01635,0.411,0.411,38231496.0
48,S_A,0.008614,0.158,0.158,53320505.6
48,S_B0,0.027431,0.608,0.607,44259056.6
48,S_B45,0.027415,0.607,0.607,44259169.5
48,S_C,0.020344,0.402,0.402,49669352.3
48,S_D,0.027169,0.569,0.569,46784620.1
48,S_E,0.006327,0.115,0.115,53766349.6
49,S_A,0.012191,0.239,0.239,50491893.1
49,S_B0,0.032751,0.786,0.786,41243905.0
49,S_B45,0.032738,0.786,0.786,41244023.5
49,S_C,0.025379,0.538,0.538,46739620.9
49,S_D,0.030793,0.696,0.695,43802150.9
49,S_E,0.008914,0.173,0.173,50953281.6
50,S_A,0.009163,0.281,0.281,32576622.5
50,S_B0,0.021529,0.872,0.872,24678537.8
50,S_B45,0.021528,0.872,0.872,24678523.6
50,S_C,0.02002,0.683,0.683,29316454.4
50,S_D,0.026214,0.978,0.977,26801215.0
50,S_E,0.006657,0.202,0.202,32972013.9
51,S_A,0.006413,0.135,0.135,52132970.9
51,S_B0,0.013515,0.347,0.347,42823628.2
51,S_B45,0.013498,0.346,0.346,42823745.8
51,S_C,0.012006,0.273,0.273,48371129.9
51,S_D,0.016433,0.398,0.396,45409847.8
51,S_E,0.004942,0.103,0.103,52593466.9
52,S_A,0.031479,0.604,0.604,57888884.1
52,S_B0,0.158585,3.554,3.553,49582238.7
52,S_B45,0.158558,3.553,3.553,49582211.3
52,S_C,0.080802,1.638,1.637,54825663.9
52,S_D,0.135628,2.893,2.893,52086498.4
52,S_E,0.020686,0.395,0.395,58213517.1
53,S_A,0.005859,0.124,0.124,52536139.8
53,S_B0,0.010633,0.273,0.273,43261955.7
53,S_B45,0.010616,0.273,0.273,43262071.9
53,S_C,0.011036,0.251,0.251,48792098.6
53,S_D,0.013194,0.32,0.318,45841380.7
53,S_E,0.004409,0.092,0.092,52994123.4
54,S_A,0.006685,0.152,0.152,49462801.4
54,S_B0,0.015489,0.431,0.431,40338382.8
54,S_B45,0.015485,0.431,0.431,40338496.1
54,S_C,0.01146,0.282,0.281,45729296.7
54,S_D,0.013479,0.354,0.353,42840923.3
54,S_E,0.005278,0.119,0.119,49926122.1
55,S_A,0.0049,0.104,0.104,53322449.1
55,S_B0,0.018867,0.485,0.485,44187296.6
55,S_B45,0.018851,0.485,0.485,44187410.9
55,S_C,0.01423,0.326,0.326,49646775.8
55,S_D,0.019771,0.481,0.479,46736257.8
55,S_E,0.00351,0.074,0.074,53770323.7
56,S_A,0.028882,0.996,0.996,34942964.1
56,S_B0,0.123968,5.483,5.484,27238015.5
56,S_B45,0.123971,5.484,5.483,27238009.2
56,S_C,0.073712,2.794,2.794,31782450.7
56,S_D,0.111718,4.589,4.589,29331978.4
56,S_E,0.019192,0.654,0.654,35330204.3
57,S_A,0.025259,1.554,1.554,20317747.2
57,S_B0,0.059372,5.356,5.356,13855305.7
57,S_B45,0.059363,5.356,5.355,13855318.0
57,S_C,0.044909,3.211,3.211,17480094.1
57,S_D,0.067433,5.444,5.442,15482794.5
57,S_E,0.017679,1.068,1.068,20688261.3
58,S_A,0.007906,0.257,0.256,38046155.2
58,S_B0,0.01546,0.645,0.645,29601769.8
58,S_B45,0.015454,0.645,0.645,29601760.4
58,S_C,0.016449,0.588,0.588,34535113.5
58,S_D,0.02273,0.881,0.879,31862111.3
58,S_E,0.006062,0.194,0.194,38481866.7
59,S_A,0.006933,0.154,0.154,56142116.3
59,S_B0,0.020526,0.545,0.545,47111278.2
59,S_B45,0.020521,0.544,0.544,47111388.6
59,S_C,0.01658,0.394,0.395,52545844.6
59,S_D,0.019814,0.499,0.497,49659095.7
59,S_E,0.004822,0.107,0.107,56576047.8
60,S_A,0.008411,0.185,0.185,56716307.8
60,S_B0,0.02085,0.546,0.546,47743356.4
60,S_B45,0.020845,0.546,0.546,47743467.6
60,S_C,0.018528,0.436,0.436,53148057.4
60,S_D,0.021035,0.523,0.521,50278292.7
60,S_E,0.005978,0.131,0.131,57146108.7
61,S_A,0.006588,0.146,0.146,56309122.2
61,S_B0,0.015737,0.417,0.417,47213018.8
61,S_B45,0.015733,0.417,0.417,47213133.2
61,S_C,0.014447,0.343,0.343,52685675.1
61,S_D,0.015898,0.399,0.397,49777710.9
61,S_E,0.004725,0.104,0.104,56746174.4
62,S_A,0.027847,0.821,0.821,42921825.6
62,S_B0,0.13735,4.776,4.776,36404122.4
62,S_B45,0.137334,4.775,4.775,36404100.4
62,S_C,0.071878,2.252,2.252,40404069.1
62,S_D,0.121306,4.011,4.009,38285483.7
62,S_E,0.018529,0.543,0.543,43202449.6
63,S_A,0.004931,0.197,0.197,33311154.4
63,S_B0,0.0194,1.03,1.03,25120295.6
63,S_B45,0.0194,1.03,1.03,25120293.1
63,S_C,0.013368,0.596,0.596,29888018.4
63,S_D,0.016389,0.8,0.801,27300691.4
63,S_E,0.003453,0.136,0.136,33737745.0
64,S_A,0.017016,1.301,1.301,17434470.6
64,S_B0,0.042906,4.884,4.884,11713378.1
64,S_B45,0.042899,4.883,4.883,11713393.0
64,S_C,0.03355,3.002,3.002,14900379.7
64,S_D,0.045301,4.597,4.594,13140752.2
64,S_E,0.012097,0.908,0.908,17768458.9
65,S_A,0.007172,0.174,0.174,55073713.4
