farm_id,p90_deficit_high,p90_deficit_low,delta_p90,eta_high,eta_low,n_upstream_wakes,multi_wake_frac
167,0.38128621843126087,0.004575517442491295,0.3767107009887696,0.4971684950783019,0.9877025945727063,1.0,0.3333333432674408
168,0.34599662356906474,0.004575517442491295,0.34142110612657345,0.7167387037019357,0.9877025945727063,0.3333333432674408,0.0
169,0.3053859710693359,0.004575517442491295,0.3008104536268446,0.737215201600328,0.9877025945727063,0.3333333432674408,0.0
170,0.4680140919155545,0.004575517442491295,0.4634385744730632,0.4278437843957162,0.9877025945727063,1.0,0.3333333432674408
165,0.41796088748508026,0.004601881239149308,0.41335900624593097,0.5908094920987033,0.98767553914159,0.75,0.25
166,0.2926900333828397,0.004575517442491295,0.2881145159403484,0.7891506003953834,0.9877025945727061,0.25,0.0
160,0.3355692439609104,0.004575517442491295,0.33099372651841913,0.6957918605922958,0.9877025945727061,1.399999976158142,0.4000000059604645
161,0.33685276243421763,0.004575517442491295,0.33227724499172634,0.5836228090969857,0.9877025945727061,0.800000011920929,0.20000000298023224
162,0.33251596026950414,0.004575517442491295,0.32794044282701285,0.672870751215218,0.9877025945727061,1.600000023841858,0.6000000238418579
163,0.5853867530822754,0.042874526977539046,0.5425122261047364,0.6210824278999025,0.9330701036286004,0.6000000238418579,0.20000000298023224
164,0.26152697669135205,0.004575517442491295,0.25695145924886076,0.7558439199660544,0.9877025945727061,0.4000000059604645,0.0
156,0.17789464526706272,0.004575517442491295,0.17331912782457143,0.8455087272223389,0.9877025945727059,0.3333333432674408,0.0
157,0.5615048832363553,0.004575517442491295,0.556929365793864,0.22177382573725,0.9877025945727059,3.0,0.7142857313156128
158,0.43607637617323136,0.004575517442491295,0.43150085873074007,0.3569276675405675,0.9877025945727059,3.0,0.7142857313156128
159,0.5842597802480063,0.006289227803548149,0.5779705524444582,0.563288605606361,0.985973976291111,1.8571428060531616,0.4285714328289032
155,0.5638673305511475,0.025586213005913627,0.5382811175452338,0.6358624107277961,0.9616196084316165,2.3333332538604736,0.5555555820465088
138,0.15274747742546932,0.004577106899685312,0.148170370525784,0.8430507024783194,0.9876983226625299,0.800000011920929,0.20000000298023224
151,0.3094904846615262,0.004576153225368973,0.3049143314361572,0.5046606376119199,0.9877015977936651,2.0999999046325684,0.6000000238418579
152,0.6591344118118286,0.01486206054687502,0.6442723512649536,0.438313108119884,0.9735610055223356,1.7000000476837158,0.4000000059604645
153,0.7282423575719198,0.3125374317169189,0.4157049258550009,0.22090459122319367,0.6504513503356016,2.0,0.6000000238418579
154,0.6777441077762181,0.004764027065700916,0.6729800807105172,0.1515207946691716,0.9873446939381418,4.5,0.800000011920929
148,0.4444376097785102,0.028519312540690067,0.41591829723782014,0.6436332823919162,0.9198263306703655,0.8181818127632141,0.27272728085517883
149,0.7089595794677734,0.054918183220757366,0.6540413962470161,0.25712104014043363,0.9239986790680579,5.0,0.8181818127632141
150,0.3705204857720269,0.007508489820692299,0.3630119959513346,0.5345793425279234,0.9781391080967374,0.9090909361839294,0.27272728085517883
146,0.18167730967203774,0.00464780595567491,0.17702950371636283,0.7381048529944814,0.9876595906769321,1.5,0.5
147,0.4228354242112901,0.004575517442491295,0.4182599067687988,0.4763987805593121,0.9877025945727059,4.083333492279053,0.8333333134651184
145,0.5202405134836833,0.05149743821885852,0.4687430752648247,0.30077890943543983,0.9321246581403754,3.0,0.7142857313156128
143,0.626250320010715,0.00457594129774308,0.6216743787129719,0.10592890159060057,0.9877018113891738,7.5,0.875
144,0.6152632633845012,0.004596975114610435,0.6106662882698908,0.5757721548928363,0.9876756281397187,2.5,0.5
141,0.6230254994498359,0.004670725928412578,0.6183547735214233,0.4936147588068446,0.9874779870287738,2.944444417953491,0.6111111044883728
142,0.544032531314426,0.2158665710025363,0.32816596031188966,0.4728202068821253,0.7614856154140828,2.1666667461395264,0.5555555820465088
139,0.38188917371961806,0.0598070356580946,0.32208213806152347,0.4530025080059501,0.9276985610539131,1.5,0.5
140,0.41959944301181373,0.004575517442491295,0.41502392556932244,0.25790562912917625,0.9877025945727061,9.5,0.8999999761581421
136,0.40326812532212997,0.004575517442491295,0.39869260787963867,0.26989655881461083,0.9877025945727061,10.0,0.9047619104385376
137,0.4743840429517958,0.02133348253038192,0.4530505604214139,0.3963736014980054,0.9542006423758083,1.6666666269302368,0.4761904776096344
129,0.19807189305623413,0.00740370220608182,0.1906681908501523,0.9085721164499648,0.9765073549160606,0.3636363744735718,0.09090909361839294
135,0.6167527940538194,0.06846379174126523,0.5482890023125542,0.552305548069153,0.9061492814911004,3.91304349899292,0.739130437374115
132,0.37331624031066896,0.05110765033298064,0.3222085899776883,0.5644939860956797,0.9278018946921395,4.541666507720947,0.75
133,0.6439306788974337,0.009516429901123035,0.6344142489963107,0.16298548619188766,0.9658717808006387,3.7916667461395264,0.75
134,0.43938719961378303,0.005250379774305547,0.4341368198394775,0.48238448179430227,0.9870773293199127,4.25,0.75
131,0.4084357579549153,0.013863160875108528,0.3945725970798068,0.4066421361849061,0.974557961135742,2.0,0.6000000238418579
130,0.6614580154418945,0.023010359870062946,0.6384476555718316,0.114463855637244,0.9496784425838987,6.0,0.8461538553237915
126,0.6768827650282118,0.02081163194444447,0.6560711330837673,0.19681182860532445,0.9674487722640821,3.444444417953491,0.7037037014961243
127,0.36589383019341365,0.014147525363498259,0.35174630482991537,0.6760237328170688,0.9633933296717414,3.777777671813965,0.6296296119689941
128,0.635564825269911,0.23638475206163195,0.39918007320827903,0.14843155429898652,0.6929169465641838,4.0,0.7777777910232544
125,0.3418966770172119,0.06183398564656574,0.28006269137064616,0.697410806677144,0.915278862968418,2.1785714626312256,0.6428571343421936
124,0.5298183017306858,0.11452633539835612,0.4152919663323297,0.28973006651541117,0.8444410228058905,5.206896781921387,0.7931034564971924
121,0.49462962150573736,0.08335005442301432,0.41127956708272306,0.23185558898541037,0.8833006602977725,4.900000095367432,0.800000011920929
122,0.6396793577406142,0.2642410861121283,0.3754382716284859,0.28348193135643485,0.6858280675839167,4.766666889190674,0.800000011920929
123,0.5517375310262045,0.16865199406941733,0.38308553695678715,0.22816032962440316,0.7554791159499218,3.2666666507720947,0.7333333492279053
117,0.18263242509629996,0.01094696256849499,0.17168546252780498,0.7326682226286905,0.9811376031121987,1.34375,0.375
118,0.428920390870836,0.04069882498847114,0.38822156588236484,0.46482609570336875,0.9440512018133689,2.28125,0.5
119,0.43947471512688535,0.10943323241339793,0.33004148271348743,0.6029014366866099,0.8924850290088187,1.65625,0.40625
120,0.4583878464168973,0.018327543470594586,0.4400603029463027,0.3438745620263168,0.9427225411021737,3.375,0.6875
114,0.32881190511915415,0.053054449293348495,0.27575745582580563,0.6206876379153871,0.944214738899916,1.8529411554336548,0.5
115,0.6400949584113228,0.08872625562879777,0.551368702782525,0.5784691235966984,0.912236434864107,2.914285659790039,0.48571428656578064
116,0.381998168097602,0.06873204973008895,0.31326611836751306,0.4585159766123978,0.9120485218697015,2.7142856121063232,0.6571428775787354
111,0.47979662153455943,0.007566346062554241,0.4722302754720052,0.24951254501410416,0.980325899635124,4.0,0.7777777910232544
112,0.6555950111813016,0.004967954423692522,0.6506270567576091,0.19784001707141638,0.9714578175674635,4.888888835906982,0.8333333134651184
113,0.4597077899509006,0.10684087541368276,0.35286691453721786,0.28733591363597816,0.8357615006867483,4.19444465637207,0.7777777910232544
106,0.4113619804382324,0.03820860120985241,0.37315337922838,0.3004075038425629,0.9534361713820086,7.864864826202393,0.837837815284729
108,0.4285066286722819,0.06226687961154516,0.36623974906073675,0.38628728151966213,0.9195360086846903,5.6052632331848145,0.7631579041481018
109,0.3629347642262777,0.0740027957492404,0.2889319684770373,0.41672720563416366,0.8924327737075468,6.210526466369629,0.8421052694320679
110,0.4124863783518473,0.03176426357693155,0.38072211477491574,0.5383918770970567,0.9540720539197077,1.7894736528396606,0.44736841320991516
93,0.3458343399895562,0.05114099714491101,0.2946933428446452,0.7379767338356343,0.9382161006647196,2.461538553237915,0.6153846383094788
104,0.35402918921576615,0.054346868726942256,0.2996823204888239,0.5587412207329367,0.8813699110624013,3.307692289352417,0.7179487347602844
107,0.6497324466705322,0.038225915696885854,0.6115065309736464,0.21799978154336247,0.9418219871836238,3.846153736114502,0.7435897588729858
105,0.4115139272477891,0.10380495919121632,0.3077089680565728,0.482223009804949,0.8490195112362378,4.525000095367432,0.824999988079071
103,0.49828693601820206,0.02763673994276261,0.47065019607543945,0.30102568996369955,0.9393623939873231,3.3902440071105957,0.7560975551605225
102,0.43479442596435547,0.17393186357286242,0.2608625623914931,0.3700592242900993,0.7655636989419762,3.355555534362793,0.7333333492279053
101,0.4463828828599718,0.08133085038926864,0.36505203247070317,0.5458352744797239,0.9110965261963555,7.404255390167236,0.7659574747085571
98,0.31268457306755915,0.07589138878716366,0.23679318428039547,0.6868523976004406,0.8833573169111335,3.6458332538604736,0.6875
99,0.6471200201246473,0.38552815649244526,0.26159186363220205,0.2084434906506174,0.5132076675825276,3.5833332538604736,0.6875
