turbine_id,lon,lat,depth_m,foundation,build_year,active_2024Q4
1,-2.690607905387878,47.16979789733887,-17.0,fixed,2021,True
2,-2.647484421730042,47.19311141967773,-14.0,fixed,2022,True
3,-2.632817506790161,47.17709922790528,-16.0,fixed,2021,True
4,-2.654267907142639,47.20116424560546,-14.0,fixed,2022,True
5,-2.675903677940369,47.189231872558594,-13.0,fixed,2022,True
6,-2.640839815139771,47.18451499938964,-14.0,fixed,2021,True
7,-2.687615871429443,47.192806243896484,-15.0,fixed,2022,True
8,-2.652381658554077,47.18275260925293,-14.0,fixed,2018,True
9,-2.677403807640076,47.198554992675774,-14.0,fixed,2022,True
10,-2.663774013519287,47.195518493652344,-14.0,fixed,2022,True
11,-2.645286798477173,47.169893264770515,-18.0,fixed,2022,True
12,-2.672724008560181,47.20634841918945,-14.0,fixed,2022,True
13,-2.597233772277832,47.167314529418945,-18.0,fixed,2021,True
14,-2.675458788871766,47.16611099243164,-17.0,fixed,2018,True
15,-2.660276651382447,47.20911407470703,-14.0,fixed,2022,True
16,-2.674000859260559,47.17698097229004,-13.0,fixed,2022,True
17,-2.686718106269836,47.17996406555176,-16.0,fixed,2018,True
18,-2.608992695808411,47.170404434204094,-18.0,fixed,2021,True
19,-2.659662008285523,47.173439025878906,-16.0,fixed,2022,True
20,-2.66422164440155,47.185935974121094,-14.0,fixed,2022,True
21,-2.630511403083801,47.16590881347656,-18.0,fixed,2022,True
22,-2.621246099472046,47.17394256591797,-18.0,fixed,2021,True
23,-2.614195346832275,47.142101287841804,-22.0,fixed,2021,True
24,-2.674782395362854,47.14340019226075,-21.0,fixed,2021,True
25,-2.644239783287048,47.15875053405762,-19.0,fixed,2021,True
26,-2.668800115585327,47.153573989868164,-19.0,fixed,2021,True
27,-2.681946873664856,47.15620040893554,-18.0,fixed,2021,True
28,-2.628394961357116,47.155118942260735,-20.0,fixed,2021,True
29,-2.65970242023468,47.16242980957031,-18.0,fixed,2021,True
30,-2.641468286514282,47.14784622192383,-22.0,fixed,2021,True
31,-2.650394201278687,47.13903045654297,-23.0,fixed,2021,True
32,-2.614458084106445,47.16214370727538,-19.0,fixed,2021,True
33,-2.662696719169617,47.14123344421387,-22.0,fixed,2021,True
34,-2.611607670783997,47.151165008544915,-21.0,fixed,2021,True
35,-2.638088583946228,47.13680076599121,-24.0,fixed,2021,True
36,-2.62782883644104,47.14518165588379,-22.0,fixed,2021,True
37,-2.625734448432922,47.13454055786133,-24.0,fixed,2021,True
38,-2.687275171279907,47.14561653137207,-21.0,fixed,2021,True
39,-2.655223488807679,47.15071868896485,-21.0,fixed,2021,True
40,-2.604851722717285,47.15523719787598,-19.0,fixed,,False
41,-2.571193218231202,47.17904090881348,-20.0,fixed,2021,True
42,-2.558821558952332,47.17602920532226,-22.0,fixed,2021,True
43,-2.546194434165955,47.1726951599121,-22.0,fixed,2021,True
44,-2.575335741043091,47.1708869934082,-17.0,fixed,2021,True
45,-2.531969308853149,47.16931343078613,-21.0,fixed,2021,True
46,-2.55986213684082,47.16672325134277,-16.0,fixed,2021,True
47,-2.694488406181335,47.15866661071777,-18.0,fixed,2021,True
48,-2.600971937179565,47.12999725341797,-22.0,fixed,2022,True
49,-2.600369095802307,47.13959693908691,-20.0,fixed,2022,True
50,-2.597335696220398,47.15746688842773,-20.0,fixed,2021,True
51,-2.613258719444275,47.13242530822754,-23.0,fixed,2022,True
52,-2.576350212097168,47.12568473815918,-21.0,fixed,2022,True
53,-2.581134557723999,47.15356445312499,-19.0,fixed,2021,True
54,-2.527230262756347,47.13447761535644,-16.0,fixed,2022,True
55,-2.543748497962952,47.163875579833984,-18.0,fixed,2021,True
56,-2.512494206428527,47.15017318725586,-16.0,fixed,2021,True
57,-2.531349897384644,47.14461898803711,-17.0,fixed,2022,True
58,-2.525010347366333,47.15213394165039,-15.0,fixed,2021,True
59,-2.592384457588196,47.14682579040527,-20.0,fixed,2022,True
60,-2.554994463920593,47.15781593322753,-17.0,fixed,2021,True
61,-2.552725672721863,47.12108612060547,-22.0,fixed,2022,True
62,-2.539573311805725,47.12794303894043,-19.0,fixed,2022,True
63,-2.58847177028656,47.12787055969238,-23.0,fixed,2022,True
64,-2.574491381645203,47.143293380737305,-20.0,fixed,2022,True
65,-2.515405774116516,47.16530990600586,-20.0,fixed,2021,True
66,-2.570352673530579,47.160688400268555,-18.0,fixed,2021,True
67,-2.567275047302246,47.132966995239265,-21.0,fixed,2022,True
68,-2.547879815101624,47.147600173950195,-16.0,fixed,2022,True
69,-2.5850430727005,47.13654327392578,-20.0,fixed,2022,True
70,-2.508277773857117,47.158138275146484,-16.0,fixed,2021,True
71,-2.527292370796204,47.16124153137207,-18.0,fixed,2021,True
72,-2.56425416469574,47.12336540222168,-21.0,fixed,2022,True
73,-2.585207462310791,47.1635513305664,-17.0,fixed,2018,True
74,-2.539092898368835,47.154958724975586,-16.0,fixed,2021,True
75,-2.514655351638794,47.14131164550781,-17.0,fixed,2022,True
76,-2.544142365455628,47.13757514953613,-18.0,fixed,2022,True
77,-2.557940721511841,47.14022254943847,-17.0,fixed,2022,True
78,-2.564526557922364,47.15054512023926,-17.0,fixed,2022,True
79,-2.500115871429443,47.14901161193848,-15.0,fixed,2021,True
80,-2.46787965297699,47.177520751953125,-3.0,fixed,2016,True
81,-2.205788850784302,47.056257247924805,-11.0,fixed,,False
82,-2.535659551620483,46.89931678771973,-27.0,fixed,,False
83,-2.527544379234314,46.91628837585449,-24.0,fixed,2024,True
84,-2.526706218719482,46.89181137084962,-27.0,fixed,,False
85,-2.561484098434449,46.89731025695801,-29.0,fixed,,False
86,-2.509765028953552,46.90115356445312,-21.0,fixed,,False
87,-2.544467687606812,46.90682792663575,-27.0,fixed,,False
88,-2.5186527967453,46.90880584716797,-21.0,fixed,,False
89,-2.536426067352295,46.92383003234863,-25.0,fixed,,False
90,-2.474957585334778,46.89546775817871,-20.0,fixed,,False
91,-2.483812928199768,46.90310096740723,-19.0,fixed,,False
92,-2.492631435394287,46.91058349609375,-20.0,fixed,,False
93,-2.57859206199646,46.88805961608887,-32.0,fixed,,False
94,141.26285552978516,43.2250862121582,-22.0,fixed,2023,True
95,141.2712173461914,43.21257019042969,-17.0,fixed,2023,True
96,141.25863647460938,43.222158432006836,-21.0,fixed,2023,True
97,141.24602508544922,43.2133846282959,-21.0,fixed,2023,True
98,141.25446319580078,43.21919631958008,-21.0,fixed,2023,True
99,141.25025939941406,43.21625900268555,-20.0,fixed,2017,True
100,141.24185943603516,43.210487365722656,-20.0,fixed,2023,True
