wd_sector_deg,ws_bin_m_s,wake_efficiency
100.0,0.0,1.0
100.0,3.0,0.2744426619038808
100.0,4.0,0.7713579957513627
100.0,5.0,0.8158787405611383
100.0,6.0,0.8337534533697812
100.0,7.0,0.8437173956097411
100.0,8.0,0.843557911303457
100.0,9.0,0.8481735630621795
100.0,10.0,0.8647675418809185
100.0,11.0,0.957110877254064
100.0,12.0,1.0
100.0,13.0,1.0
100.0,14.0,1.0
100.0,16.0,1.0
100.0,18.0,1.0
100.0,20.0,1.0
100.0,22.0,1.0
100.0,25.0,1.0
100.0,30.0,1.0
110.0,0.0,1.0
110.0,3.0,0.33967247885845664
110.0,4.0,0.7955588250518141
110.0,5.0,0.8365894419318959
110.0,6.0,0.8508716152557604
110.0,7.0,0.8582746973034775
110.0,8.0,0.8568628764563426
110.0,9.0,0.8588209832035439
110.0,10.0,0.8709102517081526
110.0,11.0,0.9378455648510602
110.0,12.0,1.0
110.0,13.0,1.0
110.0,14.0,1.0
110.0,16.0,1.0
110.0,18.0,1.0
110.0,20.0,1.0
110.0,22.0,1.0
110.0,25.0,1.0
110.0,30.0,1.0
120.0,0.0,1.0
120.0,3.0,0.30283954182454254
120.0,4.0,0.7719290908530414
120.0,5.0,0.8161364344177041
120.0,6.0,0.8312764320012926
120.0,7.0,0.8396004863814425
120.0,8.0,0.8379251083832946
120.0,9.0,0.8397294442445418
120.0,10.0,0.8531059061490642
120.0,11.0,0.927837130948752
120.0,12.0,1.0
120.0,13.0,1.0
120.0,14.0,1.0
120.0,16.0,1.0
120.0,18.0,1.0
120.0,20.0,1.0
120.0,22.0,1.0
120.0,25.0,1.0
120.0,30.0,1.0
130.0,0.0,1.0
130.0,3.0,0.25824508618681385
130.0,4.0,0.6591866478737497
130.0,5.0,0.7250350740564098
130.0,6.0,0.7468065121825824
130.0,7.0,0.7592880182618285
130.0,8.0,0.7565186820015282
130.0,9.0,0.7599274303750359
130.0,10.0,0.7801737256699411
130.0,11.0,0.8643744012192065
130.0,12.0,0.9980120095392123
130.0,13.0,1.0
130.0,14.0,1.0
130.0,16.0,1.0
130.0,18.0,1.0
130.0,20.0,1.0
130.0,22.0,1.0
130.0,25.0,1.0
130.0,30.0,1.0
140.0,0.0,1.0
140.0,3.0,0.2604617595460708
140.0,4.0,0.6806705470396403
140.0,5.0,0.7423569883450477
140.0,6.0,0.7630893391495257
140.0,7.0,0.775049639843149
140.0,8.0,0.7726249739409886
140.0,9.0,0.7742316578708077
140.0,10.0,0.7937693985842676
140.0,11.0,0.8788541119912692
140.0,12.0,0.9999722790873419
140.0,13.0,1.0
140.0,14.0,1.0
140.0,16.0,1.0
140.0,18.0,1.0
140.0,20.0,1.0
140.0,22.0,1.0
140.0,25.0,1.0
140.0,30.0,1.0
150.0,0.0,1.0
150.0,3.0,0.30266118238153783
150.0,4.0,0.7633305643771122
150.0,5.0,0.8091854248479124
150.0,6.0,0.8247301190482368
150.0,7.0,0.8332901802322303
150.0,8.0,0.831480649108593
150.0,9.0,0.8331454568891142
150.0,10.0,0.847007942281427
150.0,11.0,0.9220010826618136
150.0,12.0,1.0
150.0,13.0,1.0
150.0,14.0,1.0
150.0,16.0,1.0
150.0,18.0,1.0
150.0,20.0,1.0
150.0,22.0,1.0
150.0,25.0,1.0
150.0,30.0,1.0
160.0,0.0,1.0
160.0,3.0,0.34048924363559113
160.0,4.0,0.7945516281174959
160.0,5.0,0.8343957850755912
160.0,6.0,0.8481700293617769
160.0,7.0,0.8569462678257129
160.0,8.0,0.856070796343065
160.0,9.0,0.8578763133040478
160.0,10.0,0.868852303807173
160.0,11.0,0.9364577027377198
160.0,12.0,1.0
160.0,13.0,1.0
160.0,14.0,1.0
160.0,16.0,1.0
160.0,18.0,1.0
160.0,20.0,1.0
160.0,22.0,1.0
160.0,25.0,1.0
160.0,30.0,1.0
170.0,0.0,1.0
170.0,3.0,0.2746561008834845
170.0,4.0,0.7500016946099938
170.0,5.0,0.7985088973362033
170.0,6.0,0.817822828588289
170.0,7.0,0.8290424361325827
170.0,8.0,0.8285714284609037
170.0,9.0,0.8332856250434212
170.0,10.0,0.8519886093371547
170.0,11.0,0.9469540604352492
170.0,12.0,1.0
170.0,13.0,1.0
170.0,14.0,1.0
170.0,16.0,1.0
170.0,18.0,1.0
170.0,20.0,1.0
170.0,22.0,1.0
170.0,25.0,1.0
170.0,30.0,1.0
180.0,0.0,1.0
180.0,3.0,0.10784166547484698
180.0,4.0,0.2850977458087402
180.0,5.0,0.3393747717892731
180.0,6.0,0.39865674845151894
180.0,7.0,0.4245044782691987
180.0,8.0,0.43638192145345234
180.0,9.0,0.43889971698948804
180.0,10.0,0.4447029070311747
180.0,11.0,0.4943173162431154
180.0,12.0,0.6250336248621814
180.0,13.0,0.7648162735621704
180.0,14.0,0.9104871029170893
180.0,16.0,1.0
180.0,18.0,1.0
180.0,20.0,1.0
180.0,22.0,1.0
180.0,25.0,1.0
180.0,30.0,1.0
190.0,0.0,1.0
190.0,3.0,0.2744426619038816
190.0,4.0,0.77135735774531
190.0,5.0,0.8158782122036011
190.0,6.0,0.8337528445901158
190.0,7.0,0.843716739221422
190.0,8.0,0.8435571874858692
190.0,9.0,0.84817271171423
190.0,10.0,0.8647665781420986
190.0,11.0,0.9571093384215857
190.0,12.0,1.0
190.0,13.0,1.0
190.0,14.0,1.0
190.0,16.0,1.0
190.0,18.0,1.0
190.0,20.0,1.0
190.0,22.0,1.0
190.0,25.0,1.0
190.0,30.0,1.0
200.0,0.0,1.0
200.0,3.0,0.33967287438409466
200.0,4.0,0.7954565983158939
200.0,5.0,0.8365119231458708
200.0,6.0,0.8508043938832102
200.0,7.0,0.8582119152219061
200.0,8.0,0.8568005557984937
200.0,9.0,0.8587632453629823
200.0,10.0,0.8708650328709007
200.0,11.0,0.9378123626758419
200.0,12.0,1.0
200.0,13.0,1.0
200.0,14.0,1.0
200.0,16.0,1.0
200.0,18.0,1.0
200.0,20.0,1.0
200.0,22.0,1.0
200.0,25.0,1.0
200.0,30.0,1.0
210.0,0.0,1.0
210.0,3.0,0.30283954182454254
210.0,4.0,0.7719290908530414
210.0,5.0,0.8161364344177043
210.0,6.0,0.8312764320012923
210.0,7.0,0.8396004863814425
210.0,8.0,0.8379251083832946
210.0,9.0,0.8397294442445418
210.0,10.0,0.8531059061490642
210.0,11.0,0.9278371309487522
210.0,12.0,1.0
210.0,13.0,1.0
210.0,14.0,1.0
210.0,16.0,1.0
210.0,18.0,1.0
210.0,20.0,1.0
210.0,22.0,1.0
210.0,25.0,1.0
210.0,30.0,1.0
220.0,0.0,1.0
220.0,3.0,0.2581591508776629
220.0,4.0,0.6591981241035069
220.0,5.0,0.7250441657019685
220.0,6.0,0.7468141326394133
220.0,7.0,0.759295018636193
220.0,8.0,0.7565254653953294
220.0,9.0,0.7599318269223173
220.0,10.0,0.7801770995797631
220.0,11.0,0.8643760202778843
220.0,12.0,0.9980120767238941
220.0,13.0,1.0
220.0,14.0,1.0
220.0,16.0,1.0
220.0,18.0,1.0
220.0,20.0,1.0
220.0,22.0,1.0
220.0,25.0,1.0
220.0,30.0,1.0
230.0,0.0,1.0
230.0,3.0,0.26046186157355555
230.0,4.0,0.6806903366592927
230.0,5.0,0.7423729878756321
230.0,6.0,0.7631037185588396
230.0,7.0,0.7750628039570464
230.0,8.0,0.7726380308072505
230.0,9.0,0.7742444600823104
230.0,10.0,0.793778681616055
230.0,11.0,0.8788623127191708
230.0,12.0,0.9999722571734357
230.0,13.0,1.0
230.0,14.0,1.0
230.0,16.0,1.0
230.0,18.0,1.0
230.0,20.0,1.0
230.0,22.0,1.0
230.0,25.0,1.0
230.0,30.0,1.0
240.0,0.0,1.0
240.0,3.0,0.30266118238153766
240.0,4.0,0.7633276115398638
240.0,5.0,0.8091827898466161
240.0,6.0,0.8247273574110339
240.0,7.0,0.8332878469605476
240.0,8.0,0.8314782643958761
240.0,9.0,0.8331425718253103
240.0,10.0,0.8470053675004772
240.0,11.0,0.9219990740047082
240.0,12.0,1.0
240.0,13.0,1.0
240.0,14.0,1.0
240.0,16.0,1.0
240.0,18.0,1.0
240.0,20.0,1.0
240.0,22.0,1.0
240.0,25.0,1.0
240.0,30.0,1.0
250.0,0.0,1.0
250.0,3.0,0.34048924363559097
250.0,4.0,0.794602997990639
250.0,5.0,0.8344374785309473
250.0,6.0,0.8482084983884356
250.0,7.0,0.856982346767377
250.0,8.0,0.8561070940761552
250.0,9.0,0.8579119694523252
250.0,10.0,0.8688819418377539
250.0,11.0,0.9364811732189875
250.0,12.0,1.0
250.0,13.0,1.0
250.0,14.0,1.0
250.0,16.0,1.0
250.0,18.0,1.0
250.0,20.0,1.0
250.0,22.0,1.0
250.0,25.0,1.0
250.0,30.0,1.0
260.0,0.0,1.0
260.0,3.0,0.2746561008834844
260.0,4.0,0.7500016946099938
260.0,5.0,0.7985088973362033
260.0,6.0,0.8178228285882891
260.0,7.0,0.8290424361325827
260.0,8.0,0.8285714284609037
260.0,9.0,0.8332856250434212
260.0,10.0,0.8519886093371547
260.0,11.0,0.9469540604352492
260.0,12.0,1.0
260.0,13.0,1.0
260.0,14.0,1.0
260.0,16.0,1.0
260.0,18.0,1.0
260.0,20.0,1.0
260.0,22.0,1.0
260.0,25.0,1.0
260.0,30.0,1.0
270.0,0.0,1.0
270.0,3.0,0.10784166547484697
270.0,4.0,0.28525574602375375
270.0,5.0,0.33958376859212414
270.0,6.0,0.398865950104447
270.0,7.0,0.4247169106988893
270.0,8.0,0.43654664209506006
270.0,9.0,0.43907346989893126
270.0,10.0,0.44489265174364057
270.0,11.0,0.4944922702933565
270.0,12.0,0.625279678446647
270.0,13.0,0.7651141181415377
270.0,14.0,0.9107796064104776
270.0,16.0,1.0
270.0,18.0,1.0
270.0,20.0,1.0
270.0,22.0,1.0
270.0,25.0,1.0
270.0,30.0,1.0
280.0,0.0,1.0
280.0,3.0,0.2744426619038808
280.0,4.0,0.7713579957513623
280.0,5.0,0.8158787405611382
280.0,6.0,0.833753453369781
280.0,7.0,0.8437173956097408
280.0,8.0,0.8435579113034568
280.0,9.0,0.8481735630621793
280.0,10.0,0.8647675418809183
280.0,11.0,0.957110877254064
280.0,12.0,1.0
280.0,13.0,1.0
280.0,14.0,1.0
280.0,16.0,1.0
280.0,18.0,1.0
280.0,20.0,1.0
280.0,22.0,1.0
280.0,25.0,1.0
280.0,30.0,1.0
290.0,0.0,1.0
290.0,3.0,0.33967247885845664
290.0,4.0,0.7955588250518142
290.0,5.0,0.8365894419318959
290.0,6.0,0.8508716152557604
290.0,7.0,0.8582746973034775
290.0,8.0,0.8568628764563427
290.0,9.0,0.8588209832035439
290.0,10.0,0.8709102517081527
290.0,11.0,0.9378455648510604
290.0,12.0,1.0
290.0,13.0,1.0
290.0,14.0,1.0
290.0,16.0,1.0
290.0,18.0,1.0
290.0,20.0,1.0
290.0,22.0,1.0
290.0,25.0,1.0
290.0,30.0,1.0
300.0,0.0,1.0
300.0,3.0,0.30283954182454254
300.0,4.0,0.7719290908530411
300.0,5.0,0.8161364344177038
300.0,6.0,0.8312764320012921
300.0,7.0,0.8396004863814422
300.0,8.0,0.8379251083832943
300.0,9.0,0.8397294442445414
300.0,10.0,0.853105906149064
300.0,11.0,0.9278371309487519
300.0,12.0,1.0
300.0,13.0,1.0
300.0,14.0,1.0
300.0,16.0,1.0
300.0,18.0,1.0
300.0,20.0,1.0
300.0,22.0,1.0
300.0,25.0,1.0
300.0,30.0,1.0
310.0,0.0,1.0
310.0,3.0,0.2582450861868139
310.0,4.0,0.6591866478737497
310.0,5.0,0.7250350740564098
310.0,6.0,0.7468065121825824
310.0,7.0,0.7592880182618285
310.0,8.0,0.7565186820015282
310.0,9.0,0.7599274303750359
310.0,10.0,0.7801737256699413
310.0,11.0,0.8643744012192065
310.0,12.0,0.9980120095392123
310.0,13.0,1.0
310.0,14.0,1.0
310.0,16.0,1.0
310.0,18.0,1.0
310.0,20.0,1.0
310.0,22.0,1.0
310.0,25.0,1.0
310.0,30.0,1.0
320.0,0.0,1.0
320.0,3.0,0.2605307164083668
320.0,4.0,0.6806776705857918
320.0,5.0,0.7423629810159996
320.0,6.0,0.7630953312848379
320.0,7.0,0.7750550645069869
320.0,8.0,0.7726305182096578
320.0,9.0,0.7742389856346125
320.0,10.0,0.793774751556081
320.0,11.0,0.8788599527665989
320.0,12.0,0.9999722576059572
320.0,13.0,1.0
320.0,14.0,1.0
320.0,16.0,1.0
320.0,18.0,1.0
320.0,20.0,1.0
320.0,22.0,1.0
320.0,25.0,1.0
320.0,30.0,1.0
330.0,0.0,1.0
330.0,3.0,0.30266118238153766
330.0,4.0,0.7633650462834544
330.0,5.0,0.80921323042128
330.0,6.0,0.8247555351705999
330.0,7.0,0.8333140689015025
330.0,8.0,0.8315046161741451
330.0,9.0,0.8331689415887862
330.0,10.0,0.8470277866466688
330.0,11.0,0.9220180287688751
330.0,12.0,1.0
330.0,13.0,1.0
330.0,14.0,1.0
330.0,16.0,1.0
330.0,18.0,1.0
330.0,20.0,1.0
330.0,22.0,1.0
330.0,25.0,1.0
330.0,30.0,1.0
340.0,0.0,1.0
340.0,3.0,0.34048926537642155
340.0,4.0,0.7945035240710683
340.0,5.0,0.834357107042384
340.0,6.0,0.8481357558159095
340.0,7.0,0.8569208152810402
340.0,8.0,0.8560481139142081
340.0,9.0,0.8578550182719666
340.0,10.0,0.8688310573104634
340.0,11.0,0.9364403347405603
340.0,12.0,1.0
340.0,13.0,1.0
340.0,14.0,1.0
340.0,16.0,1.0
340.0,18.0,1.0
