farm_id,country,lat,lon,wd_deg
57,Vietnam,9.2189,105.8099,102.9
57,Vietnam,9.2189,105.8099,96.9
57,Vietnam,9.2189,105.8099,81.0
57,Vietnam,9.2189,105.8099,115.0
57,Vietnam,9.2189,105.8099,181.0
57,Vietnam,9.2189,105.8099,96.1
57,Vietnam,9.2189,105.8099,116.1
57,Vietnam,9.2189,105.8099,90.4
57,Vietnam,9.2189,105.8099,86.7
57,Vietnam,9.2189,105.8099,89.4
57,Vietnam,9.2189,105.8099,97.5
57,Vietnam,9.2189,105.8099,102.0
57,Vietnam,9.2189,105.8099,110.7
57,Vietnam,9.2189,105.8099,90.4
57,Vietnam,9.2189,105.8099,133.2
57,Vietnam,9.2189,105.8099,93.2
57,Vietnam,9.2189,105.8099,110.3
57,Vietnam,9.2189,105.8099,101.7
57,Vietnam,9.2189,105.8099,92.2
57,Vietnam,9.2189,105.8099,95.8
57,Vietnam,9.2189,105.8099,105.1
57,Vietnam,9.2189,105.8099,92.7
57,Vietnam,9.2189,105.8099,82.6
57,Vietnam,9.2189,105.8099,78.0
57,Vietnam,9.2189,105.8099,76.8
57,Vietnam,9.2189,105.8099,93.4
57,Vietnam,9.2189,105.8099,88.2
57,Vietnam,9.2189,105.8099,99.4
57,Vietnam,9.2189,105.8099,60.7
57,Vietnam,9.2189,105.8099,75.3
57,Vietnam,9.2189,105.8099,81.3
57,Vietnam,9.2189,105.8099,82.8
57,Vietnam,9.2189,105.8099,83.1
57,Vietnam,9.2189,105.8099,90.5
57,Vietnam,9.2189,105.8099,81.7
57,Vietnam,9.2189,105.8099,73.8
57,Vietnam,9.2189,105.8099,82.5
57,Vietnam,9.2189,105.8099,87.0
57,Vietnam,9.2189,105.8099,87.1
57,Vietnam,9.2189,105.8099,84.7
57,Vietnam,9.2189,105.8099,87.1
57,Vietnam,9.2189,105.8099,84.4
57,Vietnam,9.2189,105.8099,100.4
57,Vietnam,9.2189,105.8099,101.3
57,Vietnam,9.2189,105.8099,157.5
57,Vietnam,9.2189,105.8099,180.1
57,Vietnam,9.2189,105.8099,197.0
57,Vietnam,9.2189,105.8099,180.8
57,Vietnam,9.2189,105.8099,145.3
57,Vietnam,9.2189,105.8099,98.9
57,Vietnam,9.2189,105.8099,84.5
57,Vietnam,9.2189,105.8099,87.5
57,Vietnam,9.2189,105.8099,87.2
57,Vietnam,9.2189,105.8099,103.6
57,Vietnam,9.2189,105.8099,112.2
57,Vietnam,9.2189,105.8099,113.4
57,Vietnam,9.2189,105.8099,89.4
57,Vietnam,9.2189,105.8099,88.7
57,Vietnam,9.2189,105.8099,97.9
57,Vietnam,9.2189,105.8099,100.2
57,Vietnam,9.2189,105.8099,103.8
57,Vietnam,9.2189,105.8099,86.0
57,Vietnam,9.2189,105.8099,92.6
57,Vietnam,9.2189,105.8099,96.2
57,Vietnam,9.2189,105.8099,90.6
57,Vietnam,9.2189,105.8099,83.2
57,Vietnam,9.2189,105.8099,96.5
57,Vietnam,9.2189,105.8099,89.7
57,Vietnam,9.2189,105.8099,83.6
57,Vietnam,9.2189,105.8099,91.4
57,Vietnam,9.2189,105.8099,97.0
57,Vietnam,9.2189,105.8099,94.7
57,Vietnam,9.2189,105.8099,91.1
57,Vietnam,9.2189,105.8099,91.1
57,Vietnam,9.2189,105.8099,96.6
57,Vietnam,9.2189,105.8099,107.3
57,Vietnam,9.2189,105.8099,131.5
57,Vietnam,9.2189,105.8099,187.0
57,Vietnam,9.2189,105.8099,173.9
57,Vietnam,9.2189,105.8099,119.3
57,Vietnam,9.2189,105.8099,118.9
57,Vietnam,9.2189,105.8099,121.6
57,Vietnam,9.2189,105.8099,123.4
57,Vietnam,9.2189,105.8099,125.3
57,Vietnam,9.2189,105.8099,107.1
57,Vietnam,9.2189,105.8099,86.4
57,Vietnam,9.2189,105.8099,85.1
57,Vietnam,9.2189,105.8099,72.8
57,Vietnam,9.2189,105.8099,84.8
57,Vietnam,9.2189,105.8099,89.7
57,Vietnam,9.2189,105.8099,80.9
57,Vietnam,9.2189,105.8099,90.1
57,Vietnam,9.2189,105.8099,95.6
57,Vietnam,9.2189,105.8099,92.2
57,Vietnam,9.2189,105.8099,109.2
57,Vietnam,9.2189,105.8099,138.9
57,Vietnam,9.2189,105.8099,143.5
57,Vietnam,9.2189,105.8099,126.0
57,Vietnam,9.2189,105.8099,109.3
57,Vietnam,9.2189,105.8099,135.0
57,Vietnam,9.2189,105.8099,142.4
57,Vietnam,9.2189,105.8099,132.2
57,Vietnam,9.2189,105.8099,119.5
57,Vietnam,9.2189,105.8099,143.9
57,Vietnam,9.2189,105.8099,147.6
57,Vietnam,9.2189,105.8099,155.5
57,Vietnam,9.2189,105.8099,161.7
57,Vietnam,9.2189,105.8099,153.1
57,Vietnam,9.2189,105.8099,219.4
57,Vietnam,9.2189,105.8099,233.6
57,Vietnam,9.2189,105.8099,247.5
57,Vietnam,9.2189,105.8099,172.3
57,Vietnam,9.2189,105.8099,141.8
57,Vietnam,9.2189,105.8099,116.1
57,Vietnam,9.2189,105.8099,105.5
57,Vietnam,9.2189,105.8099,104.0
