farm_id,year,n_turb,Sx_D,Sy_D,Nrow,Ncol,phi_stagger,gamma_skew,psi4,psi6,fft_spacing_m,fft_angle_deg,fft_peak_magnitude,nn_mean_m,nn_std_m,nn_cov,rdf_peak1_m,rdf_peak2_m
0,2014,8,5.68,10.38,1.0,1.0,1.0,,0.49241619562866795,0.08284641417125795,125.81962343048308,-98.1980688460163,7.471130449495612,9099.111212748912,3513.6152126682327,0.386149276617836,1100.0,2100.0
0,2015,8,5.68,10.38,1.0,1.0,1.0,,0.49241619562866795,0.08284641417125795,125.81962343048308,-98.1980688460163,7.471130449495612,9099.111212748912,3513.6152126682327,0.386149276617836,1100.0,2100.0
0,2016,47,6.62,9.44,1.0,1.0,1.0,,0.47465981968507004,0.14580565659530315,2651.650429449553,-135.0,26.576235127871378,1224.818703703911,301.3916832471287,0.24607044482232812,700.0,1300.0
0,2017,170,,,,,,,0.6390015823320642,0.35438168009102494,374.53212707919175,-177.13759477388825,76.55533984919548,936.2257897947997,211.11086750221008,0.22549140367996165,2500.0,3300.0
0,2018,227,,,,,,,0.6259861951787676,0.38034258091897405,267.68647884309365,-177.9545915111128,91.75564353462993,916.7576248938856,206.29217863644632,0.2250236845974688,3300.0,4300.0
0,2019,436,,,,,,,0.5832771119021019,0.4112819343388624,258.4670687983416,-178.02506598911802,169.60135028142034,935.1611357172693,201.30882035485888,0.21526645266374855,4500.0,5700.0
0,2020,635,,,,,,,0.5823802699073581,0.4253347947008156,258.4670687983416,-178.02506598911802,227.64718489244632,895.9274109440684,180.25245440191267,0.201190913683481,5700.0,6500.0
0,2021,928,,,,,,,0.5766749792883011,0.36995253967599423,3750.0,180.0,280.2675600965154,866.2804266703638,166.9013818393712,0.19266438061041447,5300.0,5700.0
0,2022,928,,,,,,,0.5766749792883011,0.36995253967599423,3750.0,180.0,280.2675600965154,866.2804266703638,166.9013818393712,0.19266438061041447,5300.0,5700.0
0,2023,928,,,,,,,0.5766749792883011,0.36995253967599423,3750.0,180.0,280.2675600965154,866.2804266703638,166.9013818393712,0.19266438061041447,5300.0,5700.0
0,2024,928,,,,,,,0.5766749792883011,0.36995253967599423,3750.0,180.0,280.2675600965154,866.2804266703638,166.9013818393712,0.19266438061041447,5300.0,5700.0
1,2016,2,,,,,,,,,,,,,,,,
1,2017,78,5.68,12.26,1.0,3.0,0.062,,0.6288504363883709,0.49274580437886967,3638.0343755449944,-165.96375653207352,64.16136570858484,773.0086841025064,166.3102905401513,0.21514672986273642,1100.0,1700.0
1,2018,238,37.66,44.25,6.0,9.0,0.012,,0.5867118539805618,0.54532246662183,356.7386206158706,-177.27368900609375,130.27574804286144,869.6620008665827,195.7896674314969,0.22513306001228117,3500.0,5900.0
1,2019,325,44.25,64.94,7.0,12.0,0.005,,0.6405310473706618,0.5485350514061257,318.8603746861024,-177.56335175318986,162.06143938392094,845.6447807268232,187.51340978998581,0.22174016095602211,5300.0,6700.0
1,2020,455,,,,,,,0.6722173913009937,0.5704236240402544,312.22908534135996,-177.6140559696112,181.68585626681494,833.0431269899083,174.22014784420747,0.2091370088769942,5300.0,6700.0
1,2021,588,64.94,71.52,12.0,13.0,0.002,,0.6596122768958254,0.563477672158568,394.6002313234923,1.507435758774968,218.22353168322013,870.6388256920421,180.81734716030346,0.20768353285482954,5300.0,6500.0
1,2022,588,64.94,71.52,12.0,13.0,0.002,,0.6596122768958254,0.563477672158568,394.6002313234923,1.507435758774968,218.22353168322013,870.6388256920421,180.81734716030346,0.20768353285482954,5300.0,6500.0
1,2023,588,64.94,71.52,12.0,13.0,0.002,,0.6596122768958254,0.563477672158568,394.6002313234923,1.507435758774968,218.22353168322013,870.6388256920421,180.81734716030346,0.20768353285482954,5300.0,6500.0
1,2024,588,64.94,71.52,12.0,13.0,0.002,,0.6596122768958254,0.563477672158568,394.6002313234923,1.507435758774968,218.22353168322013,870.6388256920421,180.81734716030346,0.20768353285482954,5300.0,6500.0
2,2014,183,45.19,47.07,8.0,10.0,0.165,,0.29436204062653676,0.40560173493863844,155.7018858415215,-170.4399035191137,78.81045735986267,530.3972957853055,50.075086462505126,0.09441052369689032,900.0,1300.0
2,2015,183,45.19,47.07,8.0,10.0,0.165,,0.29436204062653676,0.40560173493863844,155.7018858415215,-170.4399035191137,78.81045735986267,530.3972957853055,50.075086462505126,0.09441052369689032,900.0,1300.0
2,2016,204,45.19,47.07,9.0,10.0,0.013,,0.28928689597307883,0.4014292737216234,3750.0,180.0,75.65122983569644,538.1785913069951,53.05876546529512,0.09858951344838728,1300.0,2100.0
2,2017,233,43.3,45.19,9.0,10.0,0.004,,0.2694912002166753,0.38402401914911355,236.1985069572144,-97.23692202596801,77.21805151196972,546.2802656445396,56.48875530612263,0.10340617968227948,2100.0,2500.0
